,model-name,map_mood/theme---action,map_mood/theme---adventure,map_mood/theme---advertising,map_mood/theme---background,map_mood/theme---calm,map_mood/theme---children,map_mood/theme---christmas,map_mood/theme---commercial,map_mood/theme---cool,map_mood/theme---corporate,map_mood/theme---dark,map_mood/theme---deep,map_mood/theme---documentary,map_mood/theme---drama,map_mood/theme---dramatic,map_mood/theme---dream,map_mood/theme---emotional,map_mood/theme---energetic,map_mood/theme---epic,map_mood/theme---fast,map_mood/theme---film,map_mood/theme---fun,map_mood/theme---funny,map_mood/theme---game,map_mood/theme---groovy,map_mood/theme---happy,map_mood/theme---heavy,map_mood/theme---holiday,map_mood/theme---hopeful,map_mood/theme---inspiring,map_mood/theme---love,map_mood/theme---meditative,map_mood/theme---melancholic,map_mood/theme---melodic,map_mood/theme---motivational,map_mood/theme---movie,map_mood/theme---nature,map_mood/theme---party,map_mood/theme---positive,map_mood/theme---powerful,map_mood/theme---relaxing,map_mood/theme---retro,map_mood/theme---romantic,map_mood/theme---sad,map_mood/theme---sexy,map_mood/theme---slow,map_mood/theme---soft,map_mood/theme---soundscape,map_mood/theme---space,map_mood/theme---sport,map_mood/theme---summer,map_mood/theme---trailer,map_mood/theme---travel,map_mood/theme---upbeat,map_mood/theme---uplifting
0,Musicset Supervised,0.041083712219931304,0.0949175502204427,0.17899845813492332,0.0335331740456927,0.04486194269726922,0.4857856064484002,0.5450107210708269,0.10623030744154077,0.04441889908913526,0.4053796870035269,0.35113612773005104,0.8419398375232233,0.05935135156597035,0.037532663576988055,0.05167864497853378,0.08484354338035989,0.14797524742955895,0.16912365785128067,0.43299750866492853,0.15844463751920798,0.3629529221448372,0.0891588702058672,0.08254440475053881,0.06846960369887228,0.049881245089420545,0.2889423899323569,0.22498029875183329,0.06048314578489647,0.031520751704373066,0.1372507606254452,0.18238360037056228,0.25407132284735395,0.052063710048549476,0.10173572088295162,0.3658576592297132,0.030173974298253078,0.02773855684763936,0.10707294107266781,0.08184762103642047,0.11878009765920361,0.2024408902439859,0.014859462662605969,0.11496145545885972,0.14831099361376426,0.03759526230630612,0.03731850662848255,0.06867431166847222,0.044611562591680066,0.11017381142900008,0.07980951369835855,0.6467316122946164,0.2111119371993722,0.011818013137887303,0.077973240988212,0.05750783414659865
1,Audioset Supervised,0.033015338396533436,0.07747157899603659,0.14274644594209934,0.026107972851996463,0.036310768637307436,0.4441604634915521,0.2987100909733388,0.10032900677708231,0.04108312410279999,0.41902753542232996,0.2851343057512061,0.7279144497318897,0.05397085112157458,0.029034176213116582,0.045111588062586735,0.08356197283189225,0.14953747393263306,0.15769024363186504,0.4293619386780816,0.042665494890951776,0.3110786273159447,0.10807094239092976,0.0597074065697085,0.057371882276679394,0.05682570220687298,0.23737496264065797,0.1642664705054645,0.06898588457968087,0.02111198636065402,0.06868953878915528,0.17156748050068596,0.21314448762652308,0.04319047697956807,0.10377066757922648,0.24959097739135158,0.02284523972599703,0.016428989267776584,0.10172536132827693,0.06919957640312495,0.10243289542013903,0.1626382559021074,0.01644365986606971,0.13373314558506683,0.13580095958871927,0.04343241784300548,0.030141154717237273,0.06348115501167502,0.028835344397658665,0.04750383182865109,0.15239260919344408,0.5955869310284687,0.16477273328996078,0.014386942108524781,0.05540855720085048,0.035327136171668806
2,Musicset ULarge,0.039868963891163414,0.06957195762799635,0.22854983618349808,0.030281327668358077,0.04977862373487986,0.48933732147841197,0.46489710615857155,0.09732596635214519,0.0427849530360955,0.4562191900441741,0.32731213547974375,0.8399503115356918,0.05622578808872417,0.03613765171728807,0.048192152264824296,0.08294402996370201,0.14919474500088467,0.17602502657575586,0.4419311620707074,0.17271821981030794,0.34406812065305525,0.10397149083455769,0.07616656370767258,0.06861849481508052,0.03533703731814226,0.2656692265508254,0.2297571064001009,0.034702921753303036,0.023400440426640988,0.1133216033862517,0.16332802608203162,0.2579481749060027,0.05058791341505315,0.10814434846092721,0.3695470306574678,0.02436498906691441,0.02144287402203239,0.0913563804359823,0.10356371302275148,0.11785152142067856,0.18993864131456467,0.01728914117368345,0.11586864120458018,0.1419532727834931,0.026661844166410063,0.0415138733433058,0.054746269091694146,0.06351539363783346,0.06817748774430814,0.10261695805506309,0.6714687486721038,0.20557638807516576,0.014276934809284148,0.07351268275327145,0.04912384153663855
3,Audioset ULarge,0.03549406522010482,0.11952008221249727,0.14081566864585116,0.046332207641151854,0.03713762681277448,0.4708975331532756,0.3674578267646706,0.10151422196008723,0.027511098785834232,0.38048462665921057,0.29518533591595314,0.7837387873101701,0.05522415226088808,0.029678836334694786,0.049188616369179886,0.08631573330083199,0.16632648504025446,0.14937794401169266,0.44487570405010907,0.060158442213139464,0.31125432924141244,0.08838723998649274,0.05191346787257682,0.055264891887143154,0.039793781308723984,0.2393882825575135,0.16331622662705952,0.04595282123785153,0.023216822158252735,0.07996459259719278,0.16844397441606815,0.19887704341420265,0.04392125136679801,0.12531564589692276,0.3007421953263144,0.022670490259677968,0.02058563416632938,0.08566800901001512,0.08136434033729752,0.10590911690513782,0.18896974419154963,0.026816801131535006,0.1331001815269851,0.11631465113231017,0.019087487873127727,0.03379080761631195,0.062885327407063,0.048194318730782414,0.06492255605315346,0.125546239971371,0.6527101781933836,0.17474626721743164,0.012633549605780288,0.052553463750971564,0.044666829389454925
4,Musicset USmall,0.037254244204375744,0.0785164188421511,0.22596191873694552,0.0300370811347518,0.04752621304578899,0.4243912143528152,0.3683139138009692,0.11058119586015994,0.03359320911479399,0.3691925818722516,0.2914658462559717,0.7940222188736982,0.05283695061315348,0.03140226288563518,0.05201218354548532,0.08100460518139106,0.13433403150932344,0.16456876152894678,0.4075495194946482,0.061915469934332355,0.3257642158065358,0.07231801965037496,0.04100709273823963,0.05651293746438302,0.05192675514346251,0.2499129235697519,0.1527112415367109,0.043416854326494114,0.01912283586022613,0.0710700475532989,0.14683016922986966,0.2218639314122151,0.0448568487874132,0.09061958044251378,0.3039395458370037,0.02333731738465082,0.017854570185927263,0.08047244687659771,0.07889881715304142,0.11401810232571764,0.1729395303518397,0.018767370106877672,0.10129400694079739,0.12894502480408954,0.015621835804664834,0.040888268938311156,0.053424738510989354,0.027464935886808265,0.04524893500193644,0.09526868215542832,0.6055824423752605,0.20153199652324041,0.0096414936173191,0.06488805647006364,0.04886972926132403
5,Audioset USmall,0.033521227088734666,0.08955526587802934,0.16958837172300262,0.02985308099163454,0.03281942135558636,0.5020709325038624,0.3965941248853422,0.09455888230759178,0.025083020949314215,0.3621541650427371,0.22980286008699405,0.7353376346208628,0.05605765756098485,0.031356458259456856,0.049433451276718436,0.07652222703000561,0.157437565086313,0.14459248912811945,0.39108930628055033,0.05141896981504843,0.31709632362541673,0.08477535631509638,0.04249442274234696,0.04881647676163256,0.03396696083191239,0.23257541529854614,0.23751502111842043,0.04552994837253078,0.019158598333724904,0.0791565238074353,0.15002788653514013,0.20490926378709431,0.042428073739996054,0.12671416997425267,0.27030775470765195,0.02540055678392884,0.02301015621117149,0.06943673669251965,0.0638297898403685,0.11050389365065502,0.15924533551755188,0.018244337008443096,0.11834883722314729,0.10766911598403907,0.01731265143774771,0.029594205147948183,0.04870192594102146,0.055701805727453826,0.049361432177642404,0.1299909320940778,0.6210211329663036,0.17183227879910007,0.014299249861055487,0.045175214581737476,0.042144258385663484
