,model-name,roc-auc_mood/theme---action,roc-auc_mood/theme---adventure,roc-auc_mood/theme---advertising,roc-auc_mood/theme---background,roc-auc_mood/theme---calm,roc-auc_mood/theme---children,roc-auc_mood/theme---christmas,roc-auc_mood/theme---commercial,roc-auc_mood/theme---cool,roc-auc_mood/theme---corporate,roc-auc_mood/theme---dark,roc-auc_mood/theme---deep,roc-auc_mood/theme---documentary,roc-auc_mood/theme---drama,roc-auc_mood/theme---dramatic,roc-auc_mood/theme---dream,roc-auc_mood/theme---emotional,roc-auc_mood/theme---energetic,roc-auc_mood/theme---epic,roc-auc_mood/theme---fast,roc-auc_mood/theme---film,roc-auc_mood/theme---fun,roc-auc_mood/theme---funny,roc-auc_mood/theme---game,roc-auc_mood/theme---groovy,roc-auc_mood/theme---happy,roc-auc_mood/theme---heavy,roc-auc_mood/theme---holiday,roc-auc_mood/theme---hopeful,roc-auc_mood/theme---inspiring,roc-auc_mood/theme---love,roc-auc_mood/theme---meditative,roc-auc_mood/theme---melancholic,roc-auc_mood/theme---melodic,roc-auc_mood/theme---motivational,roc-auc_mood/theme---movie,roc-auc_mood/theme---nature,roc-auc_mood/theme---party,roc-auc_mood/theme---positive,roc-auc_mood/theme---powerful,roc-auc_mood/theme---relaxing,roc-auc_mood/theme---retro,roc-auc_mood/theme---romantic,roc-auc_mood/theme---sad,roc-auc_mood/theme---sexy,roc-auc_mood/theme---slow,roc-auc_mood/theme---soft,roc-auc_mood/theme---soundscape,roc-auc_mood/theme---space,roc-auc_mood/theme---sport,roc-auc_mood/theme---summer,roc-auc_mood/theme---trailer,roc-auc_mood/theme---travel,roc-auc_mood/theme---upbeat,roc-auc_mood/theme---uplifting
0,Musicset Supervised,0.7763601368691189,0.7333081761006289,0.8171634363067123,0.6834092543754495,0.7472662496142732,0.9187118408571696,0.9126798990519064,0.799499917487859,0.7654133273666653,0.9041778181930911,0.8427636796193497,0.9638869772035986,0.6787111002205342,0.7011006990926669,0.7660100278673776,0.6412389958278504,0.6490155590917127,0.7895818924628775,0.8695218219762272,0.934431643625192,0.7900030618934404,0.8894720196090059,0.8189565276273023,0.7900651169558732,0.851868271777558,0.7929016882068711,0.9257631954350928,0.8044190488882965,0.6967193087670198,0.6837214405222305,0.7840021034487795,0.8141789360455624,0.7268792234743255,0.6913168869811229,0.8161045358144626,0.5540258916831673,0.648051009171227,0.8857105538140021,0.8160574769964896,0.8203172441190658,0.7713990781402396,0.73815814168363,0.7949246323837629,0.7387425349980417,0.7487514863258026,0.6340285049289547,0.7503089814384362,0.8481593329941407,0.8619461710096422,0.8919738549129461,0.9166370160946511,0.9021713194941542,0.6032165389001978,0.80926289802499,0.7091406412298318
1,Audioset Supervised,0.7116167664670658,0.6803704974271012,0.7672331107371012,0.6257971709422201,0.6840743961623699,0.8972866093973361,0.792016915626492,0.75430683907775,0.747396363044628,0.864393994192595,0.7908104972537963,0.9526831146880427,0.6468071551090419,0.6150795775695375,0.7308082636648893,0.645129601860636,0.6454276224394433,0.7622837749483177,0.8681584573971834,0.9064976958525346,0.7543675174379151,0.8505373368387067,0.7743296316359697,0.7381570810142238,0.8486739646921074,0.7318293948932768,0.8887113647170709,0.740293418626863,0.6137413651407121,0.5840848624482295,0.7580206157456775,0.7998098366323796,0.678099430617488,0.6803275856462286,0.7779574362833581,0.5219809060529995,0.5984624954816365,0.8439959944270289,0.7332008370246511,0.7992054709003718,0.7273565927165487,0.700181904803153,0.7909441491591355,0.7243857464121781,0.7618037135278515,0.6345873187246025,0.7221415909803877,0.8057657273219649,0.8144523468005419,0.8843592222580299,0.8807453993531367,0.9216535433070866,0.633786651652302,0.7379635227730754,0.6191630311843593
2,Musicset ULarge,0.7823481608212147,0.7169628359062321,0.8286823388891905,0.6827019899304723,0.7636799730692625,0.9180051034722315,0.8632194256871973,0.7743366613230233,0.7424230096415931,0.9179230432730893,0.828509854025318,0.9685814027292923,0.6750616678918566,0.6735534731518668,0.7593202115287561,0.6341371606940661,0.641650880250562,0.7899938396882806,0.8742493933492935,0.927357910906298,0.7772693285622827,0.8961269577707934,0.8129807692307692,0.7823020117137764,0.8206299946572088,0.775450398758506,0.9065430337612934,0.752582128340108,0.6768508029586193,0.6829575687758852,0.7834993694522756,0.8114189260571835,0.729472074613328,0.6947303383574785,0.8346998489640619,0.5037756539183128,0.67464840827512,0.8938697318007662,0.8090659743612308,0.8242501631622258,0.7717530683275325,0.7643899692494261,0.7868848610854948,0.7373892627196592,0.7675386444708681,0.6472447224648571,0.7135468045460902,0.8522050255215087,0.8403558052434457,0.911103398696051,0.9070767100366385,0.8911238367931281,0.6461229734216871,0.784552599758162,0.7023290169194193
3,Audioset ULarge,0.718682634730539,0.7336809605488851,0.7759665442085769,0.6834292335970591,0.7245069711336157,0.9128401758159543,0.833094604733647,0.7924082936489226,0.719224197550954,0.8603122771847519,0.7867660880547479,0.9555500483171028,0.6589169321244793,0.6375368139223561,0.7415328154828517,0.6617212922442901,0.6563391932509914,0.7637359834011723,0.8728883553309649,0.9165591397849462,0.7509029706125419,0.8740865932646754,0.7717937432286024,0.713405362144858,0.840642726414987,0.7464702994450668,0.9233666191155492,0.7383720930232558,0.6457042269163279,0.6371293782056556,0.7555958067359052,0.7917771150872542,0.6958766068791284,0.6887875388192446,0.7895601012519669,0.5022944958085824,0.6627409443589808,0.8987591431556948,0.7535153079683573,0.834981981215062,0.7507174696220309,0.800215109648173,0.7957864556261632,0.711465846928402,0.75977316381597,0.6553665113200484,0.7225875825367849,0.8260762526875544,0.846536576619651,0.9043398861317005,0.8982264149733786,0.90430088284419,0.6671647393419666,0.7590790004030633,0.6564965491771114
4,Musicset USmall,0.7188836612489307,0.736544311034877,0.8141170651078898,0.650171821305842,0.7549639520857295,0.9007708647847056,0.8126226041879817,0.768665425055401,0.7189089133883894,0.89979815306611,0.7925316474285546,0.9604495095190041,0.6567295597484277,0.6272497396995389,0.750076799859566,0.6274872234293234,0.6174073653102978,0.7853178607467205,0.8589650527314986,0.9106374807987712,0.7685693278903938,0.8404297376900116,0.7512222372697724,0.7617592491542071,0.8369596107719764,0.7363968403309232,0.9136281502615311,0.7324803980364719,0.6428444503676062,0.6274774404125182,0.7604709875010347,0.8008110755755323,0.6928896043765048,0.6529071752597434,0.8176925181953574,0.5016812443806941,0.6197849679301272,0.8681121560431905,0.7492519581096542,0.837518799126018,0.7451930773051858,0.7440844846752421,0.7701530826109555,0.7190584745650825,0.70793926644105,0.5913389287051254,0.7058610093771615,0.8067176549754632,0.8073203044067256,0.8916102696315393,0.8983065516545019,0.8920424719637318,0.5945688423058599,0.7605375856509472,0.6839969531195901
5,Audioset USmall,0.723229255774166,0.7397667238421956,0.7877569056107522,0.6524094941261088,0.677995343226639,0.9142483066358499,0.8547302366823546,0.7531457753783771,0.6790152963671128,0.8801301327160813,0.7398764942579376,0.945587097372334,0.6546990116801438,0.6129852744310575,0.7370839093322801,0.6215493058318287,0.6452066126139779,0.7578033764555153,0.8598154106728646,0.907926267281106,0.759898602375223,0.8698531301271027,0.7476977248104009,0.6820400887627779,0.8298377837647353,0.7409240071315987,0.9073038516405135,0.7550754092534595,0.6326158903622754,0.6143435091472613,0.7450700419229027,0.7893472498343274,0.6746422957654847,0.6856657398826074,0.814496818772662,0.5413632891064719,0.6308812279861129,0.8659134447927551,0.7513762992949827,0.8380948327232485,0.7242086380206915,0.6970346629708231,0.7964403682030817,0.6951990740536996,0.7345010518613372,0.6313375181071946,0.6769698275373329,0.7774048482660145,0.8296826440353813,0.894609848203145,0.8967999820493834,0.9135170603674541,0.6876434665858201,0.7336809754131398,0.6675322576922189
