,model-name,weighted
0,Musicset Supervised,0.2859271523178807
1,Audioset Supervised,0.2099337748344371
2,Musicset ULarge,0.666721854304636
3,Audioset ULarge,0.2870860927152318
4,Musicset USmall,0.5081125827814571
5,Audioset USmall,0.19735099337748346
