,model-name,map_acoustic,map_alternative,map_ambient,map_american,map_americana,map_beautiful,map_bluegrass,map_blues,map_british,map_canadian,map_celtic,map_chill,map_chillout,map_christian,map_comedy,map_country,map_dance,map_downtempo,map_electro,map_electronic,map_electronica,map_emo,map_experimental,map_folk,map_funk,map_fusion,map_guitar,map_hardcore,map_house,map_indie,map_industrial,map_jazz,map_latin,map_lounge,map_mellow,map_metal,map_metalcore,map_piano,map_pop,map_psychedelic,map_punk,map_rap,map_reggae,map_rnb,map_rock,map_salsa,map_ska,map_soul,map_spanish,map_world
0,Musicset Supervised,0.2372215937211273,0.3103934271172577,0.3834127172591276,0.034179522195493466,0.2607781388854819,0.16247134202276112,0.8037319164698331,0.6590113190423887,0.10381588692256259,0.03455302220989183,0.5622992905512794,0.11280331242232862,0.26790380691506366,0.4348375564322294,0.8659441513176797,0.7730729469682821,0.442699385090662,0.20891829678389018,0.4370675578524876,0.46131990785339894,0.21823247034636317,0.3550012981619878,0.3277542849128941,0.4890730730047655,0.29806740145399546,0.31942944959516045,0.2679741518310606,0.7138070514776835,0.521981627957256,0.44464482396683436,0.6018238413463685,0.8120509008019698,0.3563019396940315,0.20869899669747435,0.0964796367658598,0.6939695482359076,0.8167690329883788,0.3903065852943841,0.49402708247724864,0.22160023115890645,0.607441154501163,0.7691769451108145,0.8787543803369218,0.638914202761418,0.6263117754407056,0.9104605139847851,0.8197103065525945,0.5571175331467978,0.5985485810443054,0.3339405217308596
1,Audioset Supervised,0.1914389557007973,0.26573315553827825,0.3636974039510086,0.03169609486352736,0.17153672176903298,0.12675510830174197,0.7287769089351083,0.45482848819256755,0.061549947938466715,0.029681419564879342,0.40461078229454456,0.07310102293651863,0.22171774626144453,0.2881163272200614,0.8474343650842465,0.58696564936755,0.39438549328705425,0.2084408270912938,0.31981674883119077,0.39863009229305785,0.17527376729477248,0.25877034402126237,0.23945409957574632,0.3907204501090484,0.26065831414467355,0.19675486575712137,0.24423805439071097,0.6312195834866711,0.3516380370050648,0.37061135862983124,0.5585318203155225,0.7287045990104977,0.20561309905557174,0.1570570706428599,0.08599934341824796,0.58437905729854,0.7603502429614944,0.2719166453995563,0.4081507097096293,0.1428717250367116,0.5206148084444754,0.7244990690372946,0.7964363645542131,0.5606236280129552,0.5596709904726456,0.9561397880055946,0.6724320707898076,0.436174494106614,0.228819253812237,0.1705059309120584
2,Musicset ULarge,0.23317359694959358,0.30119519611213136,0.38735150135570945,0.03188513251354783,0.21236729890164244,0.15190665350257895,0.7901942854747451,0.5909365713036524,0.09050837033109668,0.029960301573418308,0.48116043413349757,0.09384627717704064,0.26169350564624994,0.37937616181229283,0.8599461017622155,0.7317957640710205,0.45996797690849744,0.24618939747531107,0.40823423086415805,0.44343650938371443,0.2285727558950438,0.31316510741700687,0.3121898685009818,0.45236206161349024,0.32357615582604365,0.30134296541313754,0.2783819710869364,0.6873578726864198,0.5020916330074268,0.4367936893777714,0.6348299546018942,0.7921136553629011,0.30428787722033634,0.19502997641170297,0.09349402191181751,0.6548567606427577,0.8135220332875082,0.3662945203677699,0.4648585747373384,0.2377039023210224,0.5986064599361266,0.7625195308608891,0.8625392491645116,0.5956828477892213,0.6118945926648107,0.938422910465904,0.8239478524875145,0.4999675177136017,0.3338443132095287,0.276976821601195
3,Audioset ULarge,0.18205425257920466,0.2637729516514395,0.3829811962018685,0.03030756880341527,0.15813465977806263,0.1412935893298305,0.7075776541773787,0.45645943445241716,0.06375022968500356,0.027766758320356685,0.2975432503136909,0.0863936495220579,0.25333146932664724,0.2588526324373796,0.8493464147836713,0.6037388431720839,0.4022991162492806,0.19704694054532748,0.37337204138853985,0.4062726704191565,0.2525357520246711,0.2412280507898283,0.2377323609319075,0.38338826319251357,0.29403353462478693,0.17426443218467877,0.2111467201490046,0.6353855621801651,0.37264466858079964,0.3790381895443384,0.538008419760376,0.7176564648927275,0.21759067010673405,0.14598601012340975,0.08745022912810711,0.6017540444085597,0.7700269794294513,0.29764376500034107,0.41503608891027816,0.1540304299720336,0.5263126174621352,0.7476811073889961,0.7832407679634678,0.5462958065678974,0.5606992583527955,0.9240300469621155,0.6898546127472909,0.4037263923219828,0.2352425151279958,0.1760047640154138
4,Musicset USmall,0.2109436966629275,0.27112100517772464,0.3718333868949297,0.034785603973344986,0.15051669439075918,0.13131471576778606,0.7347078694411296,0.47041692382799005,0.07187157965613504,0.026678391857884388,0.3396596019664778,0.08494437889116618,0.22324127328180673,0.2576854338975152,0.8461207203507786,0.6152793732490148,0.42015787654720743,0.22809372740063968,0.32858647942212815,0.4076565408555631,0.2057859462187907,0.19911425045209666,0.2717200149456388,0.40013038007897017,0.2648738828405694,0.2223613624777976,0.2159818443111061,0.6012737159243805,0.42449436252297307,0.3945598477534934,0.5653081209169046,0.7399576649106094,0.23717197503751616,0.13635034255440515,0.08716339570307917,0.6236213908197282,0.7598880651478022,0.346857554010914,0.41968440775159177,0.20289131276839706,0.5163519247617229,0.7553057626166082,0.8023578562748901,0.5442527275720634,0.5732007822268037,0.9387280087721658,0.6810275536968959,0.422854796461368,0.23510657459253215,0.19284095991723485
5,Audioset USmall,0.19778830465380468,0.2600365384805991,0.3657527359506975,0.03122567815527287,0.11714912964024578,0.13432137604957378,0.6911254363829933,0.39638915260209284,0.06258422301121182,0.03170001764327934,0.2299475584654797,0.07590918246589647,0.22916310586835692,0.2643867730825793,0.8480136456877158,0.5512897225482732,0.3987535555027593,0.17207352271262216,0.26974662982730513,0.38746992397470204,0.2001771682075204,0.1866003532591933,0.20079604214483168,0.3713143906238671,0.21394605959695928,0.1526944773788931,0.1912170572652278,0.594597335596922,0.34918952170322415,0.36529837729760584,0.5304693842640459,0.6748530873182063,0.16402855970058497,0.1425309953233774,0.08719398342218035,0.5799936289525519,0.7593149411193314,0.283552360130418,0.40185531089456894,0.13658682721385948,0.4638742439303485,0.6608709062073947,0.7503589391677185,0.564676777003009,0.5463734041630272,0.9554431698778123,0.6676619106704176,0.3855436705562508,0.2113962861184884,0.14245871862701848
