,model-name,roc-auc_acoustic,roc-auc_alternative,roc-auc_ambient,roc-auc_american,roc-auc_americana,roc-auc_beautiful,roc-auc_bluegrass,roc-auc_blues,roc-auc_british,roc-auc_canadian,roc-auc_celtic,roc-auc_chill,roc-auc_chillout,roc-auc_christian,roc-auc_comedy,roc-auc_country,roc-auc_dance,roc-auc_downtempo,roc-auc_electro,roc-auc_electronic,roc-auc_electronica,roc-auc_emo,roc-auc_experimental,roc-auc_folk,roc-auc_funk,roc-auc_fusion,roc-auc_guitar,roc-auc_hardcore,roc-auc_house,roc-auc_indie,roc-auc_industrial,roc-auc_jazz,roc-auc_latin,roc-auc_lounge,roc-auc_mellow,roc-auc_metal,roc-auc_metalcore,roc-auc_piano,roc-auc_pop,roc-auc_psychedelic,roc-auc_punk,roc-auc_rap,roc-auc_reggae,roc-auc_rnb,roc-auc_rock,roc-auc_salsa,roc-auc_ska,roc-auc_soul,roc-auc_spanish,roc-auc_world
0,Musicset Supervised,0.9026179823928416,0.8261569267117799,0.9270088558710858,0.6698733620647176,0.9285355120036043,0.8150138618980549,0.992874752962794,0.9553303955291897,0.7734409050274709,0.7088610307510983,0.9427146146255893,0.8335103684154812,0.8603765478297714,0.9128117227935739,0.9717448391687454,0.9686711000227352,0.9251254654362959,0.9241942268258058,0.966332288401254,0.9251767478397486,0.9200977940767906,0.9400734299516909,0.8987125530902831,0.9128459517080668,0.9206625681889095,0.9373795060201521,0.8584489652698312,0.9789224034252176,0.9716774735116628,0.8838818531839264,0.9773366294186753,0.9602557856401007,0.9550488709133805,0.9155100110685574,0.7736623742700924,0.9602020029715772,0.9931612605865069,0.9118234573937829,0.8733507338556254,0.8848507686617679,0.9439890528778568,0.9899814627569936,0.9727423967442116,0.9450887945024924,0.848160610716728,0.9995581672778686,0.9804922057562043,0.9400844404727828,0.9866504769680602,0.9057674421210695
1,Audioset Supervised,0.8728262856593063,0.7834766139909177,0.9140313600198521,0.6397471031714445,0.9011492727038681,0.7997512881313626,0.9872003331284329,0.9062890018568689,0.7355272911211995,0.6999271402550091,0.9241950809487264,0.7874502202900455,0.8383426193219843,0.8487678967533777,0.9510144184471987,0.9434328295700661,0.9083382037794662,0.9043631806789701,0.9432706374085684,0.9019469454347695,0.9021532828570844,0.9234821256038648,0.8579450106603115,0.8782968912687789,0.888936510167905,0.890940931317782,0.8212795931780867,0.9717429162457305,0.9548062369045495,0.8356413964088014,0.9556420406777019,0.9358757564501482,0.8824553420963936,0.8774170247925295,0.7459593087149321,0.9435894773534669,0.9893668260644121,0.8912755900736479,0.8363435269435132,0.8450516744474916,0.9235097257902101,0.9861324570273003,0.964394397697483,0.936276117951383,0.8135220731210328,0.9994624368547401,0.9642907616108433,0.9064932594231937,0.9001611991542278,0.8403931060758869
2,Musicset ULarge,0.8970452686775389,0.8222624732781756,0.9270075634205479,0.6576454668470907,0.9216326350003218,0.8219815828415554,0.9926004507809351,0.9434604014203167,0.7764218201716014,0.6785063752276868,0.9388407703833644,0.8117697302861397,0.8640335245969801,0.8976137662163071,0.9657828917745503,0.9633373119862153,0.9247179943091238,0.9180753457069246,0.9670602577499129,0.9225856547223397,0.9235442749230135,0.9356772946859904,0.8820061668030896,0.903161782934206,0.920419128210579,0.9368156851333164,0.8594309311393161,0.9770587386347236,0.9675365020192607,0.8814194606673785,0.978567093710156,0.9576424746429387,0.931314459049545,0.9137302078082697,0.7729565420338391,0.9567359869863707,0.9934285878896123,0.9147193383442687,0.8639843049776689,0.889152901933692,0.9415015237569831,0.9883923154701719,0.973109039579094,0.9478540965663803,0.844375923026017,0.9995471214598153,0.9842077413290475,0.9310181726788469,0.9360402230270549,0.8801155337412313
3,Audioset ULarge,0.8699975946505027,0.7890127718856929,0.9216490634903403,0.6443221402228009,0.8955799060307653,0.8094713312770775,0.9860105887251889,0.9010559263125664,0.7377399127676699,0.6716575591985428,0.9047801776121039,0.8032848220706169,0.8545505304299275,0.8540996168582375,0.9550717635729615,0.9445905278146726,0.9139810615103048,0.904606358553727,0.9519366074538488,0.906676536346607,0.9060355088421169,0.9167826086956522,0.8632486061914316,0.8752397243294164,0.8984049538321224,0.9037399252742456,0.8213568411598196,0.9686198104584596,0.9589042454046123,0.8458451487903398,0.9481896585322398,0.9352985866970001,0.877901921132457,0.8791500594999923,0.7538968057409199,0.9470462226111808,0.9904660943711471,0.8905118204250577,0.8398903172796585,0.8453639541943182,0.92480417147168,0.9876525109538254,0.968977433133513,0.9327501763696592,0.8196054098266172,0.9983504911707094,0.9710069906626833,0.9112886335234611,0.8756463667385433,0.8461936058629732
4,Musicset USmall,0.8802809448212825,0.7938119642442518,0.9223792980442639,0.6780019179525667,0.9061594902490828,0.8182453333095616,0.9886842087869234,0.9123958980566443,0.7485373791488644,0.6567920282867246,0.9139074662865914,0.8050405720605789,0.8584361919922703,0.8617073334677691,0.9511195906173278,0.9473845592370559,0.9198132492598294,0.9114985891301681,0.957725531173807,0.9092362076258385,0.9009688749294473,0.9065951690821256,0.8727704495681547,0.8841558827904209,0.9013210904739536,0.922387586586779,0.8178754448305389,0.9727926107663444,0.9638086362224293,0.8521772832565563,0.965427294036424,0.9475464761076977,0.8989568587799124,0.8907460623476774,0.7573715849842406,0.9478892407645013,0.9909339171515815,0.893064668357194,0.8476023835536731,0.8746292768368679,0.92450340809768,0.9867947421638018,0.9612080423105831,0.9330404967963141,0.8237087241568044,0.9992488843723766,0.9749460170970509,0.9195284737881971,0.893462013523981,0.8370957439655752
5,Audioset USmall,0.8732101794390725,0.7752891998337551,0.9128565224808847,0.646681676730232,0.8762389779236661,0.8043968068605253,0.9779599849299042,0.8844989945690613,0.6913114435964407,0.6348783885138755,0.9069820560611044,0.7977766583806948,0.8522676423884592,0.8546454258250992,0.956928709701804,0.93265681276998,0.916192655641623,0.8942351508140982,0.9465865552072449,0.8994162789292405,0.8925785876593467,0.9020753623188406,0.8336001429423425,0.870795279884972,0.8958316903992073,0.892557044643182,0.8097028702207721,0.9680781257516717,0.9566437310384486,0.823710254853686,0.9483650414516138,0.9244649473286564,0.8635321873946747,0.8792254088350993,0.7543431908148907,0.943965250841164,0.9897286397418908,0.8717511361784227,0.8337956426825551,0.8349627706715236,0.921658618615425,0.9795382541287496,0.9600107243029203,0.9324134046747395,0.8126732877241474,0.9992599301904299,0.9705189260606778,0.9026918673247833,0.8800496856267577,0.8234720634707188
