,model-name,roc-auc_genre---60s,roc-auc_genre---70s,roc-auc_genre---80s,roc-auc_genre---90s,roc-auc_genre---acidjazz,roc-auc_genre---alternative,roc-auc_genre---alternativerock,roc-auc_genre---ambient,roc-auc_genre---atmospheric,roc-auc_genre---blues,roc-auc_genre---bluesrock,roc-auc_genre---bossanova,roc-auc_genre---breakbeat,roc-auc_genre---celtic,roc-auc_genre---chanson,roc-auc_genre---chillout,roc-auc_genre---choir,roc-auc_genre---classical,roc-auc_genre---classicrock,roc-auc_genre---club,roc-auc_genre---contemporary,roc-auc_genre---country,roc-auc_genre---dance,roc-auc_genre---darkambient,roc-auc_genre---darkwave,roc-auc_genre---deephouse,roc-auc_genre---disco,roc-auc_genre---downtempo,roc-auc_genre---drumnbass,roc-auc_genre---dub,roc-auc_genre---dubstep,roc-auc_genre---easylistening,roc-auc_genre---edm,roc-auc_genre---electronic,roc-auc_genre---electronica,roc-auc_genre---electropop,roc-auc_genre---ethno,roc-auc_genre---eurodance,roc-auc_genre---experimental,roc-auc_genre---folk,roc-auc_genre---funk,roc-auc_genre---fusion,roc-auc_genre---groove,roc-auc_genre---grunge,roc-auc_genre---hard,roc-auc_genre---hardrock,roc-auc_genre---hiphop,roc-auc_genre---house,roc-auc_genre---idm,roc-auc_genre---improvisation,roc-auc_genre---indie,roc-auc_genre---industrial,roc-auc_genre---instrumentalpop,roc-auc_genre---instrumentalrock,roc-auc_genre---jazz,roc-auc_genre---jazzfusion,roc-auc_genre---latin,roc-auc_genre---lounge,roc-auc_genre---medieval,roc-auc_genre---metal,roc-auc_genre---minimal,roc-auc_genre---newage,roc-auc_genre---newwave,roc-auc_genre---orchestral,roc-auc_genre---pop,roc-auc_genre---popfolk,roc-auc_genre---poprock,roc-auc_genre---postrock,roc-auc_genre---progressive,roc-auc_genre---psychedelic,roc-auc_genre---punkrock,roc-auc_genre---rap,roc-auc_genre---reggae,roc-auc_genre---rnb,roc-auc_genre---rock,roc-auc_genre---rocknroll,roc-auc_genre---singersongwriter,roc-auc_genre---soul,roc-auc_genre---soundtrack,roc-auc_genre---swing,roc-auc_genre---symphonic,roc-auc_genre---synthpop,roc-auc_genre---techno,roc-auc_genre---trance,roc-auc_genre---triphop,roc-auc_genre---world,roc-auc_genre---worldfusion,roc-auc_instrument---accordion,roc-auc_instrument---acousticbassguitar,roc-auc_instrument---acousticguitar,roc-auc_instrument---bass,roc-auc_instrument---beat,roc-auc_instrument---bell,roc-auc_instrument---bongo,roc-auc_instrument---brass,roc-auc_instrument---cello,roc-auc_instrument---clarinet,roc-auc_instrument---classicalguitar,roc-auc_instrument---computer,roc-auc_instrument---doublebass,roc-auc_instrument---drummachine,roc-auc_instrument---drums,roc-auc_instrument---electricguitar,roc-auc_instrument---electricpiano,roc-auc_instrument---flute,roc-auc_instrument---guitar,roc-auc_instrument---harmonica,roc-auc_instrument---harp,roc-auc_instrument---horn,roc-auc_instrument---keyboard,roc-auc_instrument---oboe,roc-auc_instrument---orchestra,roc-auc_instrument---organ,roc-auc_instrument---pad,roc-auc_instrument---percussion,roc-auc_instrument---piano,roc-auc_instrument---pipeorgan,roc-auc_instrument---rhodes,roc-auc_instrument---sampler,roc-auc_instrument---saxophone,roc-auc_instrument---strings,roc-auc_instrument---synthesizer,roc-auc_instrument---trombone,roc-auc_instrument---trumpet,roc-auc_instrument---viola,roc-auc_instrument---violin,roc-auc_instrument---voice,roc-auc_mood/theme---action,roc-auc_mood/theme---adventure,roc-auc_mood/theme---advertising,roc-auc_mood/theme---background,roc-auc_mood/theme---calm,roc-auc_mood/theme---children,roc-auc_mood/theme---christmas,roc-auc_mood/theme---commercial,roc-auc_mood/theme---cool,roc-auc_mood/theme---corporate,roc-auc_mood/theme---dark,roc-auc_mood/theme---deep,roc-auc_mood/theme---documentary,roc-auc_mood/theme---drama,roc-auc_mood/theme---dramatic,roc-auc_mood/theme---dream,roc-auc_mood/theme---emotional,roc-auc_mood/theme---energetic,roc-auc_mood/theme---epic,roc-auc_mood/theme---fast,roc-auc_mood/theme---film,roc-auc_mood/theme---fun,roc-auc_mood/theme---funny,roc-auc_mood/theme---game,roc-auc_mood/theme---groovy,roc-auc_mood/theme---happy,roc-auc_mood/theme---heavy,roc-auc_mood/theme---holiday,roc-auc_mood/theme---hopeful,roc-auc_mood/theme---inspiring,roc-auc_mood/theme---love,roc-auc_mood/theme---meditative,roc-auc_mood/theme---melancholic,roc-auc_mood/theme---melodic,roc-auc_mood/theme---motivational,roc-auc_mood/theme---movie,roc-auc_mood/theme---nature,roc-auc_mood/theme---party,roc-auc_mood/theme---positive,roc-auc_mood/theme---powerful,roc-auc_mood/theme---relaxing,roc-auc_mood/theme---retro,roc-auc_mood/theme---romantic,roc-auc_mood/theme---sad,roc-auc_mood/theme---sexy,roc-auc_mood/theme---slow,roc-auc_mood/theme---soft,roc-auc_mood/theme---soundscape,roc-auc_mood/theme---space,roc-auc_mood/theme---sport,roc-auc_mood/theme---summer,roc-auc_mood/theme---trailer,roc-auc_mood/theme---travel,roc-auc_mood/theme---upbeat,roc-auc_mood/theme---uplifting
0,Musicset Supervised,0.8917783459334073,0.8545528102875307,0.873514592895674,0.6995699286349438,0.9374003466204506,0.7785384797076682,0.9177256253538472,0.8698984027497533,0.7390001479230677,0.9166722016111433,0.9572087701858695,0.921017194047103,0.9165765476915051,0.8724597240507517,0.8813994778067885,0.8497067891218277,0.7877468301025367,0.9508485068151012,0.8549857002603833,0.8961544104860447,0.8398960304612508,0.9154059106355003,0.9106642406936658,0.9247964087319083,0.8671320535194881,0.9679295554977905,0.9010442439051763,0.8739782804779732,0.9206147973520645,0.8896527271512883,0.962868749672196,0.7791095852801954,0.9506623024258868,0.8711608976394623,0.8064643837595723,0.8480156060049193,0.8319555250385096,0.9261539471463136,0.8734430503274073,0.9382322172247209,0.9070390995609771,0.812533248490882,0.8119696605268015,0.9349184900561266,0.8999266975308642,0.9495401724986252,0.9738628811921941,0.9672520328616814,0.8746778540240554,0.7959293501962494,0.8865512995896033,0.8955432039218989,0.8552087705894653,0.9445617095508068,0.9113561227804551,0.8777809587668477,0.8920780547345861,0.8671865692075841,0.9183378202344767,0.95205063992944,0.8236023919551254,0.8414009339639442,0.8693036265432099,0.8454168317787434,0.8529169612871161,0.9315726940246192,0.8918320770100712,0.9242168668623238,0.7457091800400558,0.7380135511613422,0.9301806673992118,0.9770377689222457,0.9510088455475496,0.9292587439468197,0.9359126598260701,0.9724160808782877,0.9597487765825496,0.8828080294377347,0.8079012778962416,0.9149895905621096,0.9402459166049322,0.85100189897185,0.9261733985288937,0.9528335837384003,0.9333214484697765,0.7972780768116152,0.8292919371095832,0.7543228608051901,0.7537773007095043,0.8335648529927594,0.7927449047910143,0.8932671795006858,0.8233434575094527,0.8018183018183018,0.6786368037275725,0.7914590967278737,0.6614346052080305,0.714348853292846,0.6573291427150019,0.7412640370426467,0.7530749641336244,0.7915360092124228,0.804623210684963,0.680221573342494,0.8182980113781969,0.8096299779721611,0.9036013377926422,0.7685879751020315,0.8913308585419794,0.7262735293518147,0.5658557895040869,0.7723290098090874,0.648311858400262,0.8322610692314357,0.8412012062774525,0.8641086722931097,0.5201493146966666,0.8239270199826239,0.7402119394933346,0.8858511508353779,0.826283177984909,0.7152374560723888,0.8196678770273541,0.7991180793728564,0.860591407425373,0.7712547737297161,0.8203126492597806,0.8062525601082383,0.7457234735159148,0.8798348798994472,0.7559684195277415,0.8133700164304078,0.930663088395953,0.9418986810993815,0.8018619717925091,0.7418674932483107,0.947617421239333,0.8077675087662604,0.9591852767820873,0.7803363994743758,0.7961404165107869,0.8004388223086489,0.6949143716191999,0.7023547463396186,0.72180651774236,0.8777414316495644,0.8906710594763309,0.8234465832279001,0.9231567880455254,0.7689780583623544,0.8159247049150519,0.8270167739056049,0.8309801550889313,0.9190294627383016,0.8777525704113062,0.8120541895584988,0.7578661006197238,0.7702636815662802,0.8603278627165257,0.7941954763236534,0.661857468988169,0.871096781674113,0.6739232315052264,0.7442770551683344,0.8391817391991154,0.8638336971670305,0.7923180979708957,0.8153042577220233,0.7505938679195703,0.8279411747064194,0.7953527298554702,0.7975527808702261,0.6132994701203489,0.8269994658510728,0.8608762972882491,0.8114508263147232,0.8076837786894334,0.9308055504010226,0.9562516268980478,0.7352295063013065,0.8368709492254484,0.7513870190309981
1,Audioset Supervised,0.8914037300733993,0.810654529692241,0.8219113231758213,0.6857443740167355,0.914790294627383,0.7568935573062121,0.927831707186042,0.8558928451423267,0.727899369169751,0.8771844479495038,0.9254177841964102,0.8998901892790059,0.8920066733327536,0.8148920960605885,0.8423626341746446,0.8228842409294477,0.8447221113061559,0.9453417061961977,0.8177225301697065,0.8828335579514824,0.8109139515264826,0.8950697838364476,0.9008192011700387,0.9074073053522617,0.813792071802543,0.9626115587903994,0.8849138128931219,0.8537634000909969,0.9151440171978551,0.8540095469124591,0.9466335127712429,0.7574275603586306,0.9036611624790843,0.85023316043894,0.7916197081346626,0.8275146306296118,0.8129550309530037,0.8868043963463811,0.8268008489658526,0.9248457104780943,0.8750198184698317,0.7585462519649752,0.7774993427566186,0.9212001343715676,0.8874749228395061,0.9547335822407456,0.9629371736883025,0.955408251808932,0.8462350635037704,0.7540436109899695,0.876922328621371,0.8593725676341263,0.8039123002708184,0.9325189707806367,0.8876356799205464,0.8295374925602526,0.87062317430801,0.8394514373263827,0.8483907946157186,0.9446414349465607,0.7960425930769901,0.8224590001302816,0.8241743827160494,0.832050362976012,0.8195166068672258,0.9140002494023668,0.8608186211733463,0.8968639375510574,0.732532681933899,0.7289637547492154,0.9273533966645798,0.9660950491790405,0.91492741992099,0.9046261129704141,0.9295274161214095,0.9559639838875287,0.9556448593915612,0.8206138040541309,0.78833625685013,0.8664567586323312,0.9227465514382911,0.8169022732490572,0.9252609513915928,0.9424109589041096,0.9089646524124108,0.7352998872166194,0.7556159036484916,0.7414682099866036,0.7638908787142079,0.8176724608526582,0.7675033579932715,0.8898868915329712,0.782701724606516,0.756067881067881,0.703738162234123,0.778519770930839,0.6343961017147473,0.6765579550009765,0.6201792631650307,0.7240880751980564,0.756385881297825,0.7551698154037584,0.786977251316074,0.6787766231535555,0.7945461854851109,0.7730532946391238,0.8519692307692308,0.7563997697165918,0.8542832319721981,0.7351811628967172,0.5958033677035497,0.7435183840862116,0.6464436355231987,0.7152795829361985,0.8140996093801055,0.8391229680565294,0.5503113577728762,0.7899502408972435,0.7415753994493807,0.8207963638779499,0.8008906642994525,0.6969607393158503,0.7815318324860808,0.7839562932486761,0.8387262722687292,0.7420867754291497,0.7911042671853106,0.7492412770130209,0.7247438365164072,0.8282908068006581,0.7780906852093292,0.7717611735889804,0.9150786111243053,0.862392890283154,0.7928084872543034,0.7228445393519117,0.9248076218846829,0.7760768615949639,0.9556767984384621,0.7505200759234925,0.748372400032681,0.7648914429649813,0.6854601623143186,0.695437678966989,0.7005240395867354,0.8649227660784962,0.8525537401343574,0.8023027705872914,0.8946521463412308,0.7229062560503091,0.7706322288894687,0.821960633598228,0.7683484920913921,0.8611715771230503,0.8124033698929853,0.7323219886728322,0.6951402918069585,0.7551673164644785,0.8454825090829593,0.7674401698217453,0.6278966613319903,0.8400089579760585,0.602770091930235,0.7293995328954991,0.8197709501619146,0.7851663327853804,0.7511631481861037,0.7956973109487238,0.6706371729784841,0.8241023432467157,0.7716617852871673,0.7377355723399575,0.68346740241481,0.8269425261177135,0.8573251948921518,0.7897238864287575,0.8213815878191086,0.8936946317258063,0.9522017353579175,0.6825171591040478,0.747625846484727,0.6350452921133549
2,Musicset ULarge,0.8929635712532065,0.8504320184944372,0.853193636397613,0.6874914498734581,0.9282946273830156,0.7766313756547594,0.9296748118669493,0.8668995959658985,0.7379843324817484,0.9100178602318254,0.9544118198698351,0.918052304580263,0.9138091252934527,0.8591894301336137,0.8591981433130258,0.8479465502693581,0.8072747545825077,0.9505581756359789,0.842433029044631,0.8953311125119555,0.8440157664333432,0.918262414156376,0.9099996517742104,0.9208753479788883,0.8593991523310895,0.9671027929411085,0.903028664418677,0.8616223588949464,0.9153322810343196,0.8787408534808998,0.9642932069480139,0.7713179772748011,0.9447925763464372,0.8690093504110652,0.7936714347637625,0.8540629329111419,0.8225115892114977,0.9202458878031398,0.8658118382529434,0.9332804264534399,0.9006277368780684,0.7941441603248645,0.8119472862840298,0.924540551149896,0.9079976851851852,0.9525538334635756,0.9710266831007028,0.9681682451710163,0.8755177471234713,0.7775351068469254,0.8855547955616355,0.8840277724611311,0.8447909211369335,0.9315795900566943,0.9057274161131728,0.8746129447838895,0.8865180660236124,0.8621389962439097,0.8984177160225792,0.9560388062375572,0.8170584837387741,0.8295399265402815,0.8446701388888889,0.847535290985214,0.8450629353047534,0.9304884154063375,0.8872832837056227,0.9333101368591974,0.7455783061155018,0.7516408201196492,0.9248592095102883,0.9743794060649936,0.9375721971548737,0.9218210097059795,0.9356722472437341,0.9721728141537004,0.9591714588548361,0.8681715862194415,0.8079363509283809,0.9068589755612656,0.9346153119707536,0.8546921690102743,0.9258239712153703,0.9511929297392842,0.9265308326930668,0.7870397897332011,0.833394323427258,0.7547469204048393,0.6941493992686749,0.829825915578397,0.790239405167359,0.8959475037328023,0.8091930538933576,0.7776994026994027,0.6924223170252035,0.7814948930175223,0.6300290257683903,0.6852285558640719,0.6402467504114198,0.7252727042306635,0.7416196906780752,0.7870367608131973,0.7981531292969508,0.6604603229130883,0.8107549907744349,0.8019649773275395,0.875724414715719,0.7578917667981486,0.8883500513387568,0.7242086287837246,0.5538226034716807,0.751143958512438,0.6348908277318747,0.8043713716315744,0.8374527191344497,0.8622420902651139,0.4899082133624268,0.7960792986335993,0.7338954096468775,0.8615887644928283,0.819806776150318,0.7172884981252372,0.8076775599128541,0.7790449886907439,0.8604218221230185,0.7500293986831287,0.8041572482323548,0.8282027729851172,0.7516156864423943,0.8810363696822106,0.7416731855714906,0.8164302052078922,0.9395121835367881,0.9223029899480903,0.8207601291538699,0.6977404469599849,0.9490976322788345,0.7865463246237279,0.9639571394628126,0.7796139582420791,0.7833743995940675,0.797646676752715,0.6854012642962369,0.6902633313523151,0.7351200006895258,0.8761951888630999,0.8833351046275527,0.8207934375881052,0.9234345274139485,0.7882630741819981,0.795687108496918,0.8053354987747073,0.8180458878980986,0.9117261698440208,0.8547974955898322,0.7946537059538274,0.7608329673547065,0.7650182685520296,0.8517476455761671,0.7996289853287559,0.645513613440809,0.8763308391884336,0.6456571212189379,0.7727804913744215,0.8437690545770477,0.8588598350503113,0.7890838286534125,0.8081003328250104,0.748494308327815,0.8346885208142641,0.7947823505687862,0.7971861313138721,0.6303971943401178,0.8182720960058133,0.8625412501793486,0.8014402622210645,0.8462899644294477,0.9179472817284409,0.9426616052060738,0.7462449678890886,0.8064065815095766,0.748750103880994
3,Audioset ULarge,0.8601624605277639,0.8118884554255166,0.8261230540877728,0.6628271848423357,0.8735493934142115,0.7762580412098982,0.9250939115557705,0.8602442095583199,0.7349311079129596,0.8657289375899124,0.9278161749535795,0.8874411212252564,0.8894308103643161,0.8125281179532614,0.8498241949521322,0.8322037061076134,0.8151326346876813,0.9467532421782804,0.8210886096018636,0.8985658855751674,0.8455946898014091,0.887853770782672,0.899433958979002,0.9112283812211067,0.8392761572342724,0.9611349392022643,0.8661765981216873,0.8460032208111495,0.8937079072666131,0.850090878989545,0.9430813096901239,0.7739024010871611,0.9266567560180525,0.850539289368759,0.8063950296199971,0.8245059512029629,0.7757414915569506,0.9034899750548605,0.8253633489763215,0.9234931867399634,0.8533482340164917,0.7533667571538779,0.7982122980025395,0.910439085518444,0.8900443672839506,0.9517343926369715,0.9657619383430043,0.9548026919547262,0.8459952943551893,0.7122546881814217,0.8797624259005928,0.8681361027533425,0.7986336286423168,0.9187806367204535,0.8814178354237702,0.8109663761084281,0.8448582639827055,0.8427103212011128,0.8490508033000435,0.9296289313978348,0.7737896721597349,0.8250245921527427,0.8071932870370371,0.8488183096562374,0.8234956850059183,0.9134723721054058,0.8752207940462059,0.8886405353342813,0.7414014787361198,0.7050579519440489,0.9141948044691937,0.9695034549304631,0.9190957086968453,0.892148936436907,0.9308341586783146,0.9441939815180476,0.9542958302325057,0.8548766669572039,0.8008232305426051,0.8734362398484536,0.91985569870494,0.7974231290144034,0.9213732589895048,0.9439847989394609,0.9062929946445017,0.7606431414923456,0.7373317154908419,0.7195871476897702,0.7593448931776053,0.8272374970258075,0.7883877889641578,0.8988749931624381,0.8193120646167197,0.7330874830874831,0.629540961947697,0.7648451310950211,0.5965003000713377,0.6832411454884243,0.6711566085243283,0.6944375755365219,0.7541373208764273,0.7848777151336458,0.7942140748522577,0.682610786671247,0.787375550971247,0.7880548733278181,0.8717150501672241,0.7464018217469619,0.8944459363399415,0.7574737369604524,0.5750296045980995,0.7201326910308758,0.6190430333262713,0.7247747162290963,0.8426850913552149,0.8405759841317335,0.5164441176703113,0.7944096042966591,0.7367304503401252,0.8305848218478886,0.8162911673324457,0.7010002480813929,0.7754761558944565,0.7685981891766728,0.8573408645629247,0.7334509122601044,0.8118345572521626,0.7820184203666696,0.758757637977564,0.8240293652066207,0.7856120527306968,0.7899936587945227,0.9215517978435377,0.8756590620547205,0.8280242462959675,0.6921987047101115,0.9209353996693106,0.7714471684509138,0.9491874228747934,0.7635648999853993,0.7638141740951447,0.7696915570270977,0.6879263372543611,0.7138399697444486,0.7191717336865827,0.8662096550429498,0.8617803184973458,0.8095329121118336,0.9025873865798244,0.6797582082017072,0.7691182632481876,0.8292152754532344,0.7899798299007623,0.8970155979202773,0.8070183228848351,0.7366756417450135,0.7229014785536525,0.7468519755406784,0.8487290662352102,0.7710596582696587,0.6383611645095448,0.8314942053676792,0.6042125942922272,0.764947648927672,0.8273280151646789,0.8195332004855814,0.8060750153720024,0.8043980283510787,0.7635459695813493,0.8083745307928266,0.7768317217916748,0.7925396814815309,0.6695516975338861,0.8201450065209551,0.8731826007939165,0.7864370785216057,0.8625589221553297,0.9119055964481833,0.9565379609544469,0.7484680309862412,0.7591242334408695,0.6847361422754092
4,Musicset USmall,0.8780657122780877,0.8073139719693686,0.8105326197802746,0.6712590346337126,0.9003015597920278,0.7591067483639699,0.9307286049019973,0.8577821319935678,0.7384411990397327,0.892939697813928,0.943456120937037,0.9064470452246786,0.8904932179810451,0.8172519341011777,0.8611940818102698,0.8346461024209775,0.8240151281143347,0.9468944447032125,0.8180762124288824,0.8911562038083645,0.848356380674434,0.9019748984134276,0.9048824737960093,0.9154600249411112,0.8265112606997423,0.956676197903128,0.8844368377825503,0.8559649861509112,0.8989106664910774,0.8332814633862122,0.9412313032532459,0.7678880524284519,0.9314665315618604,0.8578328569916376,0.7857246062707701,0.8362545588193718,0.7957828348882495,0.9093910009940545,0.8452948843124062,0.9294995169082125,0.8737244271585295,0.7581827636402201,0.7872852771889002,0.9259729671582301,0.9022492283950617,0.950583919423461,0.9678678080153755,0.9600527934228652,0.8395047014383344,0.7410920191888356,0.8774987080103359,0.8775227488679795,0.8126986116898377,0.9361988661142608,0.8945024063718425,0.8130306705943511,0.8684584891901843,0.8439111413957942,0.8707494572297004,0.948129771281548,0.8061976850640858,0.8271966499691029,0.8298418209876544,0.8550430953390709,0.8288401891147187,0.9170841352667746,0.8739746075682223,0.9029303198087804,0.7635142990204644,0.7584484461027894,0.9168129130415473,0.9709516374278128,0.9205871184320533,0.9062973965579915,0.9327897290020717,0.953793539214912,0.9545019507024785,0.8086528295165587,0.8002456143809518,0.8781368981750661,0.9221778246936535,0.8369046580871818,0.9243853571625653,0.9469002209456474,0.9159254193678336,0.7521928151040777,0.7713930779453401,0.7343025665243497,0.6948767569545313,0.8229189861496378,0.7734852851279365,0.889198070490704,0.788468690548279,0.7572187572187572,0.60047981402479,0.7554824709938296,0.5979232798740832,0.6651121745220892,0.6276395317368344,0.7246127739019965,0.7570547304984631,0.7758262005324966,0.7757533686093987,0.6426421332875301,0.7963040079954897,0.7841871436851183,0.8564414715719063,0.7488058323263185,0.8644372482426349,0.7472064060389455,0.5636679374981949,0.7409914796501812,0.6611133581145715,0.7445917453715738,0.8343411785515434,0.8519816098903552,0.4941338772541486,0.7936687465445067,0.7220874822312032,0.8520179423562859,0.8125231543127681,0.7027661630299895,0.7862076978939724,0.7818572013450297,0.8236473914180363,0.720845041437918,0.7997199170067857,0.7705817186549657,0.7573827608520616,0.8552148315385418,0.7591018397798058,0.8105691485158946,0.9214169002042464,0.8624904392323431,0.7848183261481949,0.7027815851599531,0.9334792788949402,0.7704527866824995,0.9541936950862142,0.7404876624324719,0.7490786967159891,0.784316657029474,0.6873937411518297,0.6952775406558971,0.7317413244066266,0.8550496189145508,0.8680730742768924,0.8188315482671124,0.8867991551001531,0.7212225852067337,0.784006250872935,0.8133877173189852,0.7855228546145361,0.8985441941074523,0.8296605482736766,0.776213754879442,0.7211252622846825,0.7588904939671494,0.8517157456958555,0.7819762817453597,0.6321072878071046,0.8499300567213808,0.5914072224471738,0.7655467744787761,0.826631387726088,0.80675497342164,0.7992416478786637,0.8079856151512433,0.7377915471047625,0.8112032697246958,0.7679655876344257,0.7699807342324025,0.6157001813261481,0.8074040633278292,0.8588018317470946,0.7836278255332697,0.8183324692915557,0.9157915415260625,0.9471952277657267,0.7034076456553043,0.7574775845031534,0.7312922795645309
5,Audioset USmall,0.8567316565217024,0.7747261956364687,0.7914094215343763,0.6670466722907499,0.8869878682842288,0.7440893112695038,0.9220585743626618,0.8524545913103316,0.7329549481807004,0.8691141339612272,0.9291150102218805,0.8964340413235081,0.8852477501956352,0.7794393245619119,0.8472654482158398,0.8148669435970662,0.8424355661365297,0.9404773134609943,0.8478465018995176,0.8726904182245022,0.8190536719943455,0.878611967017038,0.8930391405787512,0.9078985696650586,0.7907279980054849,0.9492136729919418,0.8547189927918093,0.8492594529011247,0.9050297048802067,0.8455156654345778,0.9337728687973528,0.7486196339536603,0.9036544961235142,0.8438036766522,0.8117873139719693,0.803373950411354,0.7714436742523324,0.8958962432244875,0.8133667901322041,0.919848209228719,0.8260057610362569,0.7391907124884325,0.7642314167929879,0.9051472614244142,0.8921180555555556,0.9501751034702324,0.9548540161852296,0.9501544015179234,0.8511131738424478,0.7145180985608374,0.8634996200030399,0.8508051104458922,0.8168251107344464,0.9113144352376799,0.8782611178753612,0.8016770509217753,0.867901200963292,0.8349509743469691,0.8368354320451585,0.9388340034130165,0.7927674601098613,0.8196938022994111,0.8306558641975309,0.8245158894586363,0.8150484871503337,0.9087787073277853,0.872148710452187,0.8988835436144141,0.7505932835223463,0.7561471921296714,0.9062344650534438,0.959234671183239,0.9061452941814677,0.8817117704324864,0.9258840206771993,0.9454324302977648,0.9475633132625217,0.8270210967905745,0.7909646711410381,0.8744091940656826,0.9117329796454587,0.7978120000071189,0.9170998652071114,0.9434623066725586,0.892170852900042,0.7355821967992742,0.788332274031702,0.7801292280325425,0.7443888762764577,0.8256583957844618,0.7677269192542968,0.8689923155934902,0.7639394170572501,0.7298039798039798,0.6227509505511684,0.7629880080736381,0.6292986634558404,0.7055578478114992,0.6105232436795095,0.71444412847468,0.7585946743545189,0.7703506826235311,0.7821576657435387,0.6604122294744075,0.7732352903490339,0.7693338625611381,0.8393284280936455,0.7521375316354683,0.8411041781849775,0.7477535164458754,0.5875357421367299,0.74768802110267,0.6980155749439854,0.6740281027062935,0.8234612425424537,0.8385648673898639,0.5321134644119252,0.800895663849617,0.7292206085037564,0.7981616644788538,0.807862997484835,0.6990919083286529,0.7835942870975551,0.780761512285812,0.8217904797274508,0.7399973351516261,0.792055162866814,0.7364453905639065,0.7441139616713895,0.843392559479932,0.7932406200202811,0.7660621924363398,0.9276103168194556,0.9025272457612312,0.8249834775089232,0.6810468720559494,0.9185470874797943,0.7476551746214668,0.9444193925024719,0.7607551467367499,0.7267717618930901,0.7709222793412913,0.680476815369797,0.687064887352099,0.704703295071283,0.8685372526773136,0.8621019482371893,0.8109240554641695,0.8860434179345728,0.7573847469714756,0.7232078151723338,0.8092758582214453,0.7816337727677835,0.8948006932409012,0.8357257904998728,0.7052796873927734,0.7010140047821207,0.7447312874626129,0.8395916645187413,0.7707158410777728,0.6290356159404996,0.8456801609817493,0.6101400698849747,0.7950457042850435,0.814044704209778,0.8299865918913538,0.7768774339003894,0.7894025020528426,0.5902942011162615,0.7930557938163623,0.7489115002917949,0.783923416907211,0.6709713677004476,0.7900259211357579,0.8439368214644412,0.8077696738155191,0.8444964534331426,0.8894553147815967,0.9678459869848156,0.6923553957893188,0.7445750501351469,0.7002617801047121
