,model-name,map_genre---60s,map_genre---70s,map_genre---80s,map_genre---90s,map_genre---acidjazz,map_genre---alternative,map_genre---alternativerock,map_genre---ambient,map_genre---atmospheric,map_genre---blues,map_genre---bluesrock,map_genre---bossanova,map_genre---breakbeat,map_genre---celtic,map_genre---chanson,map_genre---chillout,map_genre---choir,map_genre---classical,map_genre---classicrock,map_genre---club,map_genre---contemporary,map_genre---country,map_genre---dance,map_genre---darkambient,map_genre---darkwave,map_genre---deephouse,map_genre---disco,map_genre---downtempo,map_genre---drumnbass,map_genre---dub,map_genre---dubstep,map_genre---easylistening,map_genre---edm,map_genre---electronic,map_genre---electronica,map_genre---electropop,map_genre---ethno,map_genre---eurodance,map_genre---experimental,map_genre---folk,map_genre---funk,map_genre---fusion,map_genre---groove,map_genre---grunge,map_genre---hard,map_genre---hardrock,map_genre---hiphop,map_genre---house,map_genre---idm,map_genre---improvisation,map_genre---indie,map_genre---industrial,map_genre---instrumentalpop,map_genre---instrumentalrock,map_genre---jazz,map_genre---jazzfusion,map_genre---latin,map_genre---lounge,map_genre---medieval,map_genre---metal,map_genre---minimal,map_genre---newage,map_genre---newwave,map_genre---orchestral,map_genre---pop,map_genre---popfolk,map_genre---poprock,map_genre---postrock,map_genre---progressive,map_genre---psychedelic,map_genre---punkrock,map_genre---rap,map_genre---reggae,map_genre---rnb,map_genre---rock,map_genre---rocknroll,map_genre---singersongwriter,map_genre---soul,map_genre---soundtrack,map_genre---swing,map_genre---symphonic,map_genre---synthpop,map_genre---techno,map_genre---trance,map_genre---triphop,map_genre---world,map_genre---worldfusion,map_instrument---accordion,map_instrument---acousticbassguitar,map_instrument---acousticguitar,map_instrument---bass,map_instrument---beat,map_instrument---bell,map_instrument---bongo,map_instrument---brass,map_instrument---cello,map_instrument---clarinet,map_instrument---classicalguitar,map_instrument---computer,map_instrument---doublebass,map_instrument---drummachine,map_instrument---drums,map_instrument---electricguitar,map_instrument---electricpiano,map_instrument---flute,map_instrument---guitar,map_instrument---harmonica,map_instrument---harp,map_instrument---horn,map_instrument---keyboard,map_instrument---oboe,map_instrument---orchestra,map_instrument---organ,map_instrument---pad,map_instrument---percussion,map_instrument---piano,map_instrument---pipeorgan,map_instrument---rhodes,map_instrument---sampler,map_instrument---saxophone,map_instrument---strings,map_instrument---synthesizer,map_instrument---trombone,map_instrument---trumpet,map_instrument---viola,map_instrument---violin,map_instrument---voice,map_mood/theme---action,map_mood/theme---adventure,map_mood/theme---advertising,map_mood/theme---background,map_mood/theme---calm,map_mood/theme---children,map_mood/theme---christmas,map_mood/theme---commercial,map_mood/theme---cool,map_mood/theme---corporate,map_mood/theme---dark,map_mood/theme---deep,map_mood/theme---documentary,map_mood/theme---drama,map_mood/theme---dramatic,map_mood/theme---dream,map_mood/theme---emotional,map_mood/theme---energetic,map_mood/theme---epic,map_mood/theme---fast,map_mood/theme---film,map_mood/theme---fun,map_mood/theme---funny,map_mood/theme---game,map_mood/theme---groovy,map_mood/theme---happy,map_mood/theme---heavy,map_mood/theme---holiday,map_mood/theme---hopeful,map_mood/theme---inspiring,map_mood/theme---love,map_mood/theme---meditative,map_mood/theme---melancholic,map_mood/theme---melodic,map_mood/theme---motivational,map_mood/theme---movie,map_mood/theme---nature,map_mood/theme---party,map_mood/theme---positive,map_mood/theme---powerful,map_mood/theme---relaxing,map_mood/theme---retro,map_mood/theme---romantic,map_mood/theme---sad,map_mood/theme---sexy,map_mood/theme---slow,map_mood/theme---soft,map_mood/theme---soundscape,map_mood/theme---space,map_mood/theme---sport,map_mood/theme---summer,map_mood/theme---trailer,map_mood/theme---travel,map_mood/theme---upbeat,map_mood/theme---uplifting
0,Musicset Supervised,0.037540220841426435,0.018215248882634996,0.11183045680297181,0.01646666321738635,0.046330171092003096,0.1555723136048906,0.04622951260899129,0.544080734844444,0.07982193816107867,0.29189687285823646,0.130629779026034,0.059354896034012686,0.0896112547927228,0.06462362607672563,0.03555038641681542,0.29741434317883364,0.025441473166005046,0.7252589274648085,0.030171111362779286,0.05455076823565715,0.023612828494805872,0.11233525421766904,0.3792116063063682,0.1811539691791086,0.05578593296871167,0.22071210672049482,0.04011714583774723,0.09032357540437098,0.4066332324591428,0.17239011596902978,0.34573329283877546,0.22110118982212024,0.10092659256395185,0.6569783363528724,0.007387853640781812,0.07064290693147046,0.06216956837502726,0.09969614356577775,0.46443085223327424,0.5084260197440674,0.23159620518751195,0.04177252856278593,0.019064674802441645,0.055808495847972366,0.04112085354237852,0.08260955832840468,0.7810561639753029,0.5447183790482182,0.029701800794880096,0.04680016158025715,0.2907194872574937,0.2467062183938088,0.15738758688411533,0.19694598980298852,0.539387558031082,0.017417595581317464,0.28960505053324376,0.14605760922650313,0.07449885476883333,0.6910173790580725,0.06473244575780028,0.12527079257808135,0.13605476331341695,0.346863403493472,0.4694351827921524,0.35839840763242875,0.26786186778082943,0.2449465283280892,0.09532017709477714,0.017268823297432595,0.19894092160735596,0.5225360812995501,0.5303440903732983,0.2998616667999915,0.6720097935009192,0.21038225196078306,0.3137712645097712,0.0631819389587745,0.4901601871425752,0.06314162257491766,0.0911186450067235,0.05604469303269262,0.3417780931589442,0.3892434387851192,0.278218622495546,0.1815080225749402,0.011907207324121353,0.07860213656529536,0.016899219756579195,0.2448017522050942,0.3544438302388196,0.10873057706193565,0.04158834533357646,0.0064205705532578376,0.0146707660652238,0.08625954679401918,0.009067995940025468,0.05169522489978119,0.0853502170940889,0.03010407780397458,0.052552842883391036,0.363571502230132,0.24135147489115186,0.04629461861556563,0.06046635529181902,0.2001165715502716,0.0441968708419881,0.06743024269801653,0.04561086879764062,0.3390139137249168,0.04378139395961755,0.04990511640442965,0.004753241068635299,0.00827222693684954,0.54426199249914,0.6508711624580732,0.005904197053387369,0.02045934953433455,0.03485519618920599,0.14317002025699557,0.10157772590733675,0.27293676482792745,0.036356448546788434,0.03653792969206026,0.04589876610215923,0.11735909135457373,0.1187656577318904,0.02473112220688008,0.07913182054244851,0.1723426208567464,0.020892321489172964,0.022985499195012315,0.3724777148741596,0.39846901834174236,0.06437554386854252,0.012434110345968495,0.3760502818050774,0.13637887517187947,0.7819966253547018,0.03594811214941423,0.02435362296920951,0.030513298931356566,0.036212653584281045,0.08242428057331273,0.05443877925760761,0.29761157801963284,0.106777684412262,0.2040605955062733,0.09327401840030955,0.02158629046228106,0.03432107511694093,0.020087516829914522,0.21953935068589717,0.1717214552368041,0.030921539220377693,0.035961745843225236,0.10342902244792573,0.07314896704162496,0.15326473740196989,0.027503126779198427,0.03670547925365029,0.3345807316666179,0.0159391364728632,0.01481098653538135,0.03759250439289678,0.08556047052789678,0.04093698169709407,0.11914128774426123,0.008011722261742543,0.059040602414024465,0.06838215238437835,0.010054693884935075,0.01184708657476557,0.0591610406079284,0.01878872882708358,0.024088288006570924,0.014759542348120526,0.6463872287412922,0.21697478409970375,0.00914324311649993,0.05396680771939324,0.04503032788251742
1,Audioset Supervised,0.0582109287896268,0.012406406066622749,0.04569247502227581,0.016969022010548073,0.02102482066260952,0.14800060316749836,0.04746294418389537,0.5264264267760732,0.06078086379321752,0.14627198864019073,0.08439455762835918,0.023123119061074737,0.06451747471333937,0.06863302381234412,0.03202465851134745,0.25724389513367785,0.03632709930104154,0.6866559886743006,0.033115200683840794,0.028542506330460325,0.02266686082059659,0.07956179089042006,0.33969798590141337,0.19447311576824533,0.037524707706747346,0.1510693097269454,0.026434955170805494,0.08651940441492258,0.2685337979076187,0.10017488532007686,0.20281356027955375,0.21125070255727074,0.10563466857400682,0.6192704680001196,0.008777879190982064,0.056038220609470654,0.05358477996441122,0.03995222046301368,0.3855257500774716,0.4721460852900164,0.1667070359219169,0.02723764620064729,0.011629179985467827,0.0373898335568425,0.03125735141846787,0.0693651072692021,0.7178889519831562,0.4812442666694476,0.029075796857320653,0.03991018471099108,0.25790170893791475,0.17420718064868204,0.10344448233890013,0.19544243698952857,0.46229767711229486,0.010811638853147716,0.14760256581926204,0.12761282469329666,0.05247279803102137,0.6785543007099879,0.04651705975138674,0.1153955724445481,0.0400120742003026,0.33373233417524784,0.39545094685212523,0.3183785462934857,0.18648200514296304,0.17220904902822293,0.1043175723553319,0.01728564621085639,0.15804025527921717,0.4812121243490152,0.39591806601787016,0.17410057098032106,0.639652133983317,0.10193756307113634,0.3107384694798402,0.046303135659042705,0.4507252998850026,0.0444013095989818,0.0777006194384196,0.03335944965128868,0.3165568797389345,0.37636475073574316,0.1974283765878735,0.11185465954312389,0.009060045121776317,0.048081501054478004,0.01908256502973491,0.1999242905232839,0.31148574610566393,0.13679397095621507,0.04144005338884771,0.003798859690865635,0.014037064424072432,0.07928508405541697,0.009538122842571906,0.04646055920790977,0.08376446387668424,0.022253270524400966,0.05807745828707525,0.30984410545635543,0.2156275524944705,0.03963652505435536,0.06440887216709888,0.17632017111172077,0.03180521409566834,0.06075183872330338,0.03473159567021929,0.3004538096647914,0.005728544823836546,0.05201820329037227,0.003841218304358297,0.005969296088513471,0.4718455174241074,0.6148353365893093,0.006394527401287709,0.018247344424961683,0.04240752410251346,0.09872933008061122,0.08525749853203902,0.24496087716137502,0.029005987852244623,0.04721978882413009,0.03333865341800469,0.10232565905002274,0.09104960251999424,0.017941060947101396,0.06966689651364764,0.14094867070005576,0.0293486296001888,0.01792597641914724,0.2669436271938228,0.17248389043933174,0.07295458794703065,0.010317846611460764,0.3663409188808793,0.11180550272757846,0.6674537843402413,0.03402523449945074,0.025594075325767646,0.02599224608384655,0.03483108440564208,0.0766783011703538,0.045374182233228325,0.26807499246694405,0.019336213761489855,0.17363599721824885,0.08094745783473017,0.028972310208029702,0.023268594121573092,0.020404007748872497,0.1801677309763802,0.05925969089915553,0.06471560387136263,0.023979381604659126,0.05946744230594464,0.062298388279759684,0.14912789171159715,0.03355125606680781,0.03154137913718109,0.2880970764270479,0.011198241377514727,0.0107571861900438,0.024245899342850086,0.08829972503065561,0.022155367049509742,0.11290125411851137,0.004607943229583449,0.07217342922472063,0.05791134351625776,0.009770519845271032,0.012956933446130626,0.04532636332457759,0.010834562388053009,0.022512031056036535,0.018646349122541525,0.5541236087608346,0.14218186613774653,0.006181696685929242,0.0296779785950233,0.018030440442286865
2,Musicset ULarge,0.04662451704408021,0.017880726761305855,0.10431115484525644,0.010960964034530328,0.02912111179737035,0.15138410014886514,0.06283864954288969,0.5493105151912115,0.0882408574834091,0.2726807087321495,0.15643362069057698,0.049425893382506546,0.08283531760073154,0.06321528225894447,0.028249753813148787,0.3070484754785546,0.017907489486828028,0.720684902450198,0.02392574341190805,0.051937075174583666,0.022770583019648474,0.10445905816820683,0.38509577422761326,0.174215081776768,0.053411157537192784,0.3227057611993533,0.040808174488693144,0.09956835578266,0.3923665989264572,0.14711098935600966,0.35772111134706885,0.21473994958054385,0.10425495137974553,0.6525534811655674,0.006748450927162904,0.0698051176623839,0.0775092722626671,0.09106670558263376,0.43723718800316996,0.5026496622080849,0.2193427751204076,0.041055624606241965,0.012793766625138906,0.04039607329379346,0.04575589708102722,0.06423408190948933,0.7600068856573152,0.5548269775004204,0.029463809351836522,0.03811978552679055,0.29380562385389863,0.1990453683198431,0.16648736496088137,0.19949406648581663,0.5350045761796807,0.01731255829742411,0.2646239596114546,0.14223982590068224,0.054242618363068214,0.7080736125725319,0.06384748915098741,0.11615593476275268,0.07568377866457669,0.34004446998412496,0.4663109590742451,0.3730456615552949,0.2502544833699818,0.2748017159307144,0.09269934299596222,0.01923386618581664,0.20771435817934275,0.5185381107322056,0.49798512882529056,0.24310132786747368,0.6611076265728536,0.21503139024784473,0.3573053574853344,0.0637468657823259,0.48373819303644167,0.06424476349974562,0.0847166216296993,0.05748797217542732,0.3370592352585312,0.41426219009344845,0.25752209906416323,0.16865938808120357,0.013787682648655823,0.06201138488889346,0.01289692147549795,0.22243282096755135,0.3549944208789477,0.13185267698682523,0.03536943979264172,0.006701641563070864,0.015086114886369873,0.07990715828592838,0.0077375988019531385,0.043623182479616635,0.0823992205168122,0.02970274122659801,0.04556552597468071,0.3706003333540535,0.2402430207907076,0.04103963193366895,0.06315479537766248,0.19561099499449,0.029661479355743852,0.0644690418364027,0.048180336927979045,0.3511171199273908,0.009190011322088312,0.05098662675447701,0.004222854386107994,0.006375335791823447,0.5617811319548416,0.6492696515791216,0.005898539803127872,0.01835868677870417,0.03327823698053122,0.10777419232800681,0.09884466067648504,0.28907209638147724,0.030029227672298084,0.02889845380960027,0.04361222452458646,0.1072068881112359,0.1227781054733511,0.025182229864483763,0.07921241332573896,0.18780118840496493,0.016957958513496126,0.023484630654939803,0.3879993596949969,0.3520591841914461,0.07122987525466194,0.010740636270974904,0.3837870577636347,0.12516598534990303,0.7928975027767616,0.034598708475753144,0.025940755493150086,0.02886014050822139,0.035912297646238045,0.08232258335306866,0.053593228895133314,0.30015952040972244,0.04972966812577811,0.20038953779424204,0.10424579352598974,0.035860518762241805,0.02510733202001207,0.017651160555652617,0.19730676493758484,0.11480433439310078,0.02124465264915872,0.02431870485072367,0.10007034901066664,0.06548155459202509,0.14436451343367662,0.02568260616315068,0.03445250279268984,0.36173447820354165,0.013641187962871084,0.013005018155174304,0.02944775482780322,0.10388499141508521,0.03387005693987824,0.1254415063092346,0.0079231725593081,0.07302404936872814,0.06408194692538939,0.009914368128274656,0.015197224847726043,0.05896156430250477,0.013624467871451126,0.027120368867080163,0.018173635543502233,0.6645389895010444,0.20347149039106446,0.008502042735419378,0.04241272752907952,0.03256554003015152
3,Audioset ULarge,0.02434663182350351,0.009425788354574315,0.04647624892542265,0.011071927377283845,0.018479010843946087,0.18011140684907945,0.04791729596621566,0.5366501397219196,0.07703086533639641,0.10487427056017522,0.05520149710352362,0.03313571789795303,0.06902463180538854,0.025537317641322752,0.025123810876791344,0.27101652744855326,0.02449770807542076,0.7008430310517756,0.01915837513022428,0.039391826942266235,0.023407296947287548,0.07717521067508736,0.33072113192088815,0.18150355314553082,0.03968528500429022,0.12937534638080403,0.017523641588890797,0.0706350997512344,0.1914925622749492,0.07210704844073314,0.15791166473713703,0.2259206027061329,0.13938901105528792,0.6261234519147286,0.007520969283502493,0.05429192457272462,0.030053829213290414,0.05236153317344343,0.3808463486852382,0.4853342208700648,0.1423049696771521,0.02669144616436699,0.010486328831090493,0.03401108183688518,0.022753332090621883,0.07262742956157996,0.7199609181522137,0.49694332551176074,0.027394853882349704,0.0273087653478221,0.28705189256770836,0.1606343090923458,0.097660788767886,0.127816126415234,0.454854298613458,0.010971278671372554,0.13608377801585284,0.13056670061943904,0.024099822252151605,0.5457518451048445,0.04862595575919724,0.10787162898602726,0.05105144480466575,0.3359611566843513,0.40666870421095,0.3201773270570433,0.2312115687964561,0.12633189112345392,0.08683038718045186,0.015381790786465949,0.15362433079601265,0.46298886778588066,0.33321297843177966,0.11484087562104146,0.6498749390320874,0.06515813136057268,0.30840565616400006,0.03470671310537719,0.4551125749877001,0.05918210619377207,0.07307489094483438,0.02840288783970398,0.29053825056064,0.38768357628295963,0.17083680296881013,0.11026633045868352,0.008131191999625578,0.03971657441826023,0.01881601380428362,0.23110800459422937,0.3360576164230439,0.10786587211617808,0.034073075547172156,0.0042905978060589515,0.010978917215837873,0.08283938932404496,0.00788596801124954,0.04146257607065485,0.0914748305917784,0.02799085555863874,0.050913158177395904,0.34422928763653365,0.22664655978393472,0.03635074020797449,0.0381416859981361,0.18768708462989028,0.027362277051547663,0.053496054157131656,0.052260941137812544,0.32833457662709487,0.00453150455073141,0.045643929254089645,0.004097941674220792,0.0045800249125828195,0.5063628522153494,0.6201728280460431,0.005762724683957604,0.017841404017294796,0.03142097415176263,0.08729097891464709,0.09606677313826789,0.25465650581475785,0.034801376556391796,0.028008589129479865,0.04134135531162603,0.10608990117258087,0.12416013154103896,0.019960442161591995,0.07954499614288234,0.10263183250395258,0.025760525081257483,0.01996112119723485,0.29809543687819384,0.14935262169880575,0.06784735627301625,0.014198742145780712,0.2981421672804525,0.11373234121759816,0.6886885421105343,0.034553313716256265,0.025764417869135366,0.02557736719220224,0.03478829821999884,0.08643057750908831,0.05088835029632961,0.2798771102012952,0.02827869682179463,0.19057686842963967,0.06959116186680535,0.012643482727095399,0.027557063771029365,0.02161061215610041,0.17327302619658042,0.05764663656613572,0.01252633413968544,0.02340988610553554,0.055450912214965786,0.049254130447500266,0.11517478478526645,0.024909715105010985,0.030926259095863978,0.18863068216087184,0.011405156495832156,0.015976489833534616,0.024931554769045572,0.0800231320723948,0.02640111851639048,0.10241659229884725,0.006528968472881111,0.04824594643306614,0.05532030342641357,0.009057401480389965,0.013145191730453962,0.05090970561409298,0.014238098666172984,0.022663626746870297,0.034184513392793624,0.594965150794189,0.1694879738739611,0.011043236815944551,0.028959666048847196,0.027147602439948796
4,Musicset USmall,0.08942406913940719,0.00877356690438171,0.04066159249750202,0.010041416073111412,0.018411920359674552,0.1508787104151367,0.07577059450128541,0.5277407555921663,0.08207311434507215,0.17511378445211265,0.18206976238967976,0.02646918200424677,0.06416425340958196,0.03417193815740453,0.02934613085040738,0.2810155911198388,0.06484189587616351,0.7165538365514804,0.02090755475770086,0.04883130257993605,0.02584650978201949,0.0813122188515383,0.38405972289338786,0.19655887588560025,0.04264318706260527,0.13832709463274273,0.02617538575334236,0.090680809616009,0.2742631377138502,0.07431742466496584,0.22530088680487245,0.21084484686967592,0.1325781649665349,0.6379545197637709,0.0063836190149188085,0.06053932537480103,0.04315707753507922,0.07813283106627408,0.4089473202359026,0.46528755667630284,0.17305818298158734,0.03007535348548115,0.00946622070581062,0.03272286283622505,0.02643350084078605,0.06616371839362982,0.7350085315205395,0.5032698327368946,0.028466039878659213,0.029829523599310744,0.27505199134322944,0.1704148290561338,0.10975754729589235,0.1430530707458388,0.4753719752138951,0.013427445715371758,0.2094292457821705,0.12872318184700168,0.03210301679272445,0.6450944865873054,0.05918910147408235,0.10750299514553525,0.04133373863775058,0.3394851035855374,0.4292041075817519,0.3241488182429255,0.22691390347315554,0.2167616819915354,0.13989186256086755,0.02052751372338038,0.1475328921129425,0.4882122726956849,0.3616559081548812,0.141890034737903,0.6681246096105778,0.11195998945277517,0.32367969567871013,0.03240174419258515,0.4688190862347617,0.05239739953276939,0.07761748124536878,0.04050188326185159,0.3023858268160234,0.38138303029858994,0.17736647640463854,0.11341335518732736,0.009629993299085591,0.0359155895054112,0.014833756745104398,0.22493436205020584,0.321575043929337,0.1312366478451644,0.054000157531364966,0.004067003037214269,0.009986397624865364,0.06944162179179504,0.007290680310974749,0.05150552731922005,0.07999610895539705,0.025382997070466862,0.049745839367750955,0.33582448685028304,0.2102433430621304,0.030251119049174782,0.041573182255739353,0.18576251588517306,0.02866440274062175,0.06592834936069301,0.036843519691322935,0.3221786758022799,0.005660762282609693,0.0535359390144979,0.004155478363673477,0.004980320323904821,0.4911692050454038,0.6360319023094817,0.005819923831033924,0.01840236075864162,0.03220998954726983,0.10906965006635579,0.09075091372854838,0.26652560458158814,0.026616411809833117,0.03836987803730125,0.03382426762582432,0.08874640637588273,0.1016129679172996,0.020603471465644112,0.08195353438743933,0.18398000108932924,0.020340652837606343,0.022570205117415216,0.2553298663623349,0.21375219683607546,0.0683886289528096,0.012166192941595304,0.3245360104502999,0.1239247198072082,0.6679502338067317,0.031394041879035516,0.021688183923463184,0.024588330402255932,0.03656418023769117,0.08178832648592103,0.05113557049780957,0.260845935973033,0.037054421438609146,0.19392680360443157,0.07497429381372378,0.01621967280881659,0.02220028718164112,0.017813396415101143,0.17208176874412418,0.06571062383921789,0.02239804325108924,0.02224598236336275,0.06528879398925365,0.059644812588636874,0.14132971336598582,0.024643037387979395,0.03154754255655548,0.2542442588122635,0.011364442131170634,0.012409450041473967,0.02376073983831493,0.06558183075970259,0.028892120368759305,0.11705317280996574,0.006624846326135557,0.0555940133058025,0.060248481662891894,0.011479589459737658,0.015313458447965236,0.038205389873384545,0.014041508757436481,0.019541465786689735,0.016697824509039505,0.5654203151288578,0.18340715630920593,0.007415356947827639,0.02659894383690724,0.029433913126451963
5,Audioset USmall,0.06187083797450088,0.009444138776257762,0.025439096188153033,0.010201369934768965,0.01752453562110118,0.13714102440139647,0.04284091940143335,0.5242551636503244,0.061099231013900045,0.11872578924821278,0.08537792288136405,0.02181988965447196,0.06851615608033591,0.0254739469368644,0.02794769283689256,0.25440965525508485,0.025100749248747164,0.6756433244221709,0.02555345545350736,0.029914525887373422,0.019947300479996242,0.06384432410965143,0.31864070848541587,0.2106483443034422,0.030466071060632916,0.09110666684422396,0.024955559258736944,0.07441678681058436,0.14239442241131725,0.11564796340440904,0.16893044519771142,0.20277958482323388,0.1108210471030975,0.6146101642962375,0.008892145110210395,0.04535221875306535,0.04475606186952752,0.03583695936626151,0.36928200800246297,0.41298322363657386,0.13883103099593486,0.025620681861293095,0.00919866264481626,0.028744568869691213,0.02058869009147535,0.04967288403684886,0.6586106013363068,0.48124500583475205,0.030948295380894764,0.022091320085690924,0.24192508196686782,0.12560012470055604,0.10831534045567645,0.13177060245537617,0.42972262565951164,0.009407976252801584,0.1703951744785405,0.12473188979695508,0.040793005572659996,0.5719808263402197,0.041677685452938006,0.10085722571197457,0.03123298242778878,0.3177500522499896,0.39322589998442864,0.2913190506188698,0.21710000626832834,0.20185227995709282,0.08264066982816091,0.01844639354534731,0.09014646819668237,0.4690140991299454,0.31463520433449044,0.11354561450285308,0.6359189679475514,0.08489087931977939,0.24770690685372243,0.0303471799268238,0.44707332819373674,0.07738582400192573,0.06806482925303102,0.02808259466412952,0.2910910720601347,0.35713052555876135,0.1596784756462318,0.11779873507588313,0.013972944550854184,0.0544101316382443,0.015572247016966337,0.19679315807982467,0.31911521248837316,0.0794372823599922,0.022049427948139966,0.003863737166436792,0.008961536945464784,0.06978446915390137,0.007814118949428434,0.03441244524889476,0.0802182876013575,0.02159429080256434,0.05115087138103673,0.3381277986726198,0.22234014259291776,0.03314229124735355,0.04073860183350134,0.17414023674039505,0.02951793541054307,0.06569464352633243,0.02612373323178695,0.2974357539211792,0.006942261944136746,0.05040344859658373,0.00553790000983562,0.004199392691331248,0.48393123600553467,0.5967451580874648,0.006239762149372583,0.02370542613682867,0.035609606298380087,0.11102257651404657,0.07900951138351639,0.24388209562747842,0.03878667515005457,0.06474663981720605,0.030271284791680696,0.09561114740008572,0.09081528637150292,0.01778410161948849,0.07240820381003923,0.14462871039326033,0.022302849445868238,0.019495257682700797,0.36761207265546725,0.2704954790888567,0.07423580667525381,0.01240277575045486,0.2743860544819772,0.0933720735299703,0.652354221258752,0.03279488084196686,0.01797134583596799,0.02506582635056623,0.032396955121407,0.0846935687544952,0.04275537114568819,0.2692530531400945,0.016568394549401927,0.19973973286458935,0.06408232154865143,0.048955786210803945,0.028639204112948242,0.01659625391639399,0.18025078182605542,0.0920561075712917,0.03898973537863064,0.010109752394637473,0.06903101300906642,0.05031321273583468,0.12622907753814736,0.024222759728012893,0.03545051703794014,0.22113836303160056,0.011934761711753953,0.015496228779496985,0.020315007845939342,0.05805726453248699,0.025454277520682835,0.09919297629633352,0.003874520542126623,0.06058898550746538,0.04948948948756619,0.009056167905680614,0.01317524363621555,0.029226948395674125,0.010765989371725394,0.01755103367242279,0.03691347077144087,0.576350336596909,0.13595911439035463,0.006650053514585503,0.02953392619175524,0.02973620501179811
