,model-name,roc-auc_00s,roc-auc_60s,roc-auc_70s,roc-auc_80s,roc-auc_90s,roc-auc_Hip-Hop,roc-auc_House,roc-auc_Mellow,roc-auc_Progressive rock,roc-auc_acoustic,roc-auc_alternative,roc-auc_alternative rock,roc-auc_ambient,roc-auc_beautiful,roc-auc_blues,roc-auc_catchy,roc-auc_chill,roc-auc_chillout,roc-auc_classic rock,roc-auc_country,roc-auc_dance,roc-auc_easy listening,roc-auc_electro,roc-auc_electronic,roc-auc_electronica,roc-auc_experimental,roc-auc_female vocalist,roc-auc_female vocalists,roc-auc_folk,roc-auc_funk,roc-auc_guitar,roc-auc_happy,roc-auc_hard rock,roc-auc_heavy metal,roc-auc_indie,roc-auc_indie pop,roc-auc_indie rock,roc-auc_instrumental,roc-auc_jazz,roc-auc_male vocalists,roc-auc_metal,roc-auc_oldies,roc-auc_party,roc-auc_pop,roc-auc_punk,roc-auc_rnb,roc-auc_rock,roc-auc_sad,roc-auc_sexy,roc-auc_soul
0,Musicset Supervised,0.7574256326879942,0.969099271127957,0.9267744218133613,0.9279301318468804,0.8476183165162041,0.9843308851041752,0.9609900682003011,0.8458194357862535,0.909524451594815,0.9212399473328337,0.8567382605828026,0.8957865723142784,0.9403841256452224,0.810847300709636,0.967213852710471,0.7741334031701115,0.8187605790093372,0.8999371357329304,0.908977391693925,0.9728302209885709,0.9473676760632799,0.8676479570275873,0.9565586200611252,0.9301144118608515,0.8964867402266135,0.9113166889636295,0.8939446321506871,0.9157001327187174,0.9418624178245198,0.9388458885336919,0.8764073691609924,0.7080736948002222,0.9349936581924492,0.9738716175618456,0.9125103127788056,0.9046625456909335,0.9306868607063823,0.9429013609377543,0.9737527943328789,0.7985703832501978,0.9697929325680561,0.9670274389445804,0.8595433096467908,0.8877437799139196,0.9645256609007522,0.9736561069960308,0.8535624721448914,0.8106533427761003,0.8380367641850252,0.949627178293322
1,Audioset Supervised,0.7287498962925874,0.9558990045889858,0.9008760452109568,0.9053461624201029,0.815779062393943,0.9784254288286156,0.9536831569928811,0.8287463063215017,0.8638543135812474,0.9051029097956813,0.8306430068007878,0.876076641325608,0.9315119203546898,0.798290126748894,0.9481388501602733,0.7594919536218344,0.7956416866876704,0.8816252630063668,0.8750928809094428,0.9523407941574619,0.9388188401782812,0.8531199514458399,0.95059832392999,0.9164288916570663,0.8797270797218948,0.8798729186741306,0.8617859489762094,0.8750917744138726,0.9172209964515451,0.9199184273785955,0.8599552222740628,0.6683182179912611,0.9140210956749854,0.9616479562061682,0.8860460596198613,0.8825341295614461,0.9050716740505685,0.9272938837164667,0.9650768543304546,0.7765305327701119,0.9626307259843255,0.9513291421650563,0.8401101525305515,0.8588016440742582,0.9558229429940512,0.9642892157091596,0.8319649800068079,0.7959540749968612,0.8212322023092725,0.9300384385452372
2,Musicset ULarge,0.7541983307837078,0.9694468302891643,0.9252707262954099,0.9287468902569778,0.8513785295304784,0.9825962346522451,0.9629916996214561,0.8479658391885887,0.9048820028204575,0.9151381333475225,0.8492336141671816,0.8948064822674097,0.9382679719228695,0.8042068596820092,0.9616626080217041,0.7720803745078139,0.8164873443084691,0.9005103169516974,0.9045404370277941,0.967492618841027,0.947310649540244,0.8629581666072396,0.9563624109296381,0.9295256882542641,0.8970522754208445,0.9118150888186932,0.8908892526706947,0.9050490760253765,0.9364857445428783,0.9380793313597267,0.8799882278143147,0.7246298743224373,0.9317039718131623,0.9712519805340807,0.9075319392113751,0.9029121922533814,0.9240761616258765,0.9388623712966965,0.9726374582621495,0.7868164511592258,0.9697760843831978,0.9645293505612577,0.8561870141816014,0.8823551320107496,0.9619205015082088,0.9694946652312387,0.8498727002986365,0.8068765610125052,0.835221541403981,0.9437566136988932
3,Audioset ULarge,0.7269349255999383,0.9569026077071652,0.9098835974402261,0.9101259866732978,0.811652261552548,0.9789110401029021,0.9574483160933909,0.8310321856188342,0.8636994821273434,0.9102158967297866,0.8247397705680947,0.8759037900874636,0.9313774846485662,0.7958795939795484,0.9449316995707793,0.7720744408989633,0.8072317249104541,0.8848395452943703,0.8769450355153903,0.9515315934379416,0.94025962546609,0.8516378500147467,0.9525717543629111,0.9165528577179202,0.8838422240887664,0.8826591808052813,0.8664155409138224,0.8771098918181212,0.920397213662761,0.9219460085593734,0.850774256571358,0.6653902460997912,0.9233928699262653,0.9632764892874288,0.8881102727438073,0.8857065567295883,0.9076397274471387,0.9264039270844044,0.9625240989539079,0.772755030918476,0.9637771585629837,0.953914192258826,0.8488988958634469,0.8635942944035837,0.9547954026799474,0.9642765522276989,0.8335976818613469,0.8078261198150616,0.8299702486363958,0.9282352305876347
4,Musicset USmall,0.7427200125467776,0.9599608805920611,0.9083600437142443,0.9146645706843104,0.8192263121952927,0.9790179708149088,0.9581642694135628,0.8378558092762253,0.8754471296890711,0.9135013826888064,0.830956596615199,0.8787195076945787,0.9329849031246548,0.8040578609566685,0.9501250192066055,0.7666789024873418,0.8052312545202306,0.8890791007741741,0.8798195630730721,0.9550654526504888,0.9436758960699765,0.8588864457738512,0.9523270095672484,0.9211855114722111,0.885777355400283,0.8925045119740469,0.8688395198855541,0.8940133495179827,0.9250082745335558,0.9249539845676478,0.8603189182899328,0.6719308848481208,0.9230473467747708,0.9623787737133473,0.8896444024005215,0.8858875100974726,0.9124229145136228,0.9315281569736054,0.9659513214699442,0.7825097418623513,0.9631148952966312,0.9557310310684635,0.8454642629711617,0.8718493328286117,0.9542454136218681,0.9657458662194804,0.8343519275149346,0.7933874626545471,0.8252406672805837,0.9329577116001824
5,Audioset USmall,0.7212444816739905,0.9482046201777433,0.8881438787546562,0.8998407786111917,0.7941743084473386,0.9748059527353103,0.9484888007083997,0.8282672140737578,0.8509881448473956,0.9031875632801625,0.8139835423666004,0.8693176366387423,0.9286703227241508,0.7954654936260044,0.937504351818497,0.7459336573982798,0.794904495518412,0.8752182243467278,0.86208997386306,0.9417650913006752,0.9351958738866589,0.8514993242916067,0.9470740306643664,0.9111756050367882,0.8780127573729399,0.8701487545636489,0.8570311818514879,0.8620935626256077,0.908987748340674,0.9095135125280995,0.8379200118330553,0.6750784546314509,0.9136910878696838,0.9556461139772989,0.8754425104957344,0.8743527733350979,0.898577545425231,0.9166478774510609,0.9574669368684295,0.7650703820099862,0.959414702698118,0.9472074467146946,0.8276117529726106,0.8546713859380133,0.950524263546396,0.9603939404832711,0.8266012948046444,0.803738019286161,0.8255312743500743,0.9230753454396297
