,model-name,map_00s,map_60s,map_70s,map_80s,map_90s,map_Hip-Hop,map_House,map_Mellow,map_Progressive rock,map_acoustic,map_alternative,map_alternative rock,map_ambient,map_beautiful,map_blues,map_catchy,map_chill,map_chillout,map_classic rock,map_country,map_dance,map_easy listening,map_electro,map_electronic,map_electronica,map_experimental,map_female vocalist,map_female vocalists,map_folk,map_funk,map_guitar,map_happy,map_hard rock,map_heavy metal,map_indie,map_indie pop,map_indie rock,map_instrumental,map_jazz,map_male vocalists,map_metal,map_oldies,map_party,map_pop,map_punk,map_rnb,map_rock,map_sad,map_sexy,map_soul
0,Musicset Supervised,0.03438271812918533,0.5453585332130046,0.31709337431079476,0.4920255046720214,0.19690498548763113,0.8413597394806778,0.30645721978777846,0.09190619067629323,0.39061693817006526,0.28689495728921804,0.2344226333879199,0.20879036682828106,0.5117651015146439,0.06322827144138997,0.7962434251765103,0.015046135032760439,0.046841459470657223,0.2878539144945911,0.294921971577452,0.7829617992381023,0.5950486091504268,0.13784050749171609,0.4526365081872672,0.5422094044424172,0.15633657095675182,0.3051109944381017,0.06249594254622332,0.39207238432342223,0.5312623103220249,0.4573522911105844,0.21197536954938193,0.016625491448804573,0.3000821610448762,0.6015719819144701,0.48751614485483535,0.15112970125024255,0.332849949291595,0.41730154545436887,0.8465448561865253,0.0546316959025051,0.7023714662690007,0.6230690521337384,0.0931678289612627,0.5130245063075543,0.6570626471995983,0.5936816315138504,0.44555844888726703,0.028320669215659115,0.04341573526151528,0.6473178875324119
1,Audioset Supervised,0.02969476365201154,0.4358521476698384,0.19843239935687956,0.4440816224323747,0.15173546713087316,0.8052363232923754,0.25459031780241964,0.08185174248295936,0.26236819107403575,0.2427254787878438,0.2027171102024759,0.18043397961063265,0.4700601966597421,0.05115467911905326,0.650363579633304,0.012845690290327479,0.03971768756782024,0.2424149532642842,0.20855072558824084,0.6665186326271901,0.5453855388389659,0.12124690015724408,0.39131129687744604,0.49442674275646514,0.13902464771502918,0.22355635102137902,0.05386460677082871,0.3460032435353838,0.42018743431030453,0.37498561077537856,0.18311846893102116,0.00898920958618322,0.2483203027743056,0.503718772736325,0.42084645439825924,0.10993794428529861,0.25390088843797787,0.3412939778293884,0.8100714883382474,0.047858318669522316,0.6493309541661855,0.5219428097556678,0.04635777782319576,0.4458726475514014,0.5756861885733641,0.5332318270675566,0.3992435154049667,0.029785352100531494,0.04461341142069578,0.5486472864287033
2,Musicset ULarge,0.03258062437500818,0.5248339351232268,0.3044742198005293,0.481820437403109,0.19242612151708896,0.8235694235872216,0.3110328757687725,0.09486607535290446,0.3854997961328888,0.26841315677773153,0.21681397202793976,0.2206724230823113,0.5071748248082698,0.059653574279688065,0.7539776790100071,0.01752334861827056,0.04602716078433037,0.2795913319290916,0.2926353602992952,0.7500215749371535,0.5851296772274074,0.13264107991797422,0.4426392203387144,0.5407158716387769,0.15884480296746767,0.2929336519735079,0.057067937728023044,0.381335824531934,0.4946003872760097,0.4506756734546623,0.1926392553139427,0.014059528680326193,0.26546975190871785,0.5440278821203712,0.47007084525928045,0.14044554478324106,0.3004752486133889,0.39670999380470456,0.8373785954991646,0.05627997060951373,0.6923156201562297,0.5846650410532634,0.09920244428606505,0.504429573552329,0.6312633767487733,0.5684991145101885,0.435411998283691,0.030293081625012434,0.04431746683399705,0.6193076027214315
3,Audioset ULarge,0.02890239032160643,0.4503285058498778,0.21641965085095058,0.4513075183570264,0.13639987135881065,0.8069973220589546,0.2502547062329198,0.07716184296984256,0.28100802403821584,0.2463012457544919,0.19129032109253097,0.18649493272746123,0.47396998859624767,0.047369322232379926,0.6496722913583282,0.01635930372350699,0.03657093897051175,0.248185752730332,0.21208205444882702,0.6727277421928282,0.556360938965594,0.11533534324525847,0.4033103625584391,0.4910665015945141,0.13513836136063656,0.2346812941852422,0.048925976878621144,0.3474423997007498,0.42522378254737775,0.3797117784249053,0.16523953369321415,0.00894618991666089,0.21483306440663238,0.47467729298498473,0.4209948151141276,0.10976329703437898,0.27449884055867496,0.34675844679650825,0.8084255273872566,0.041514716218809096,0.6506366207597412,0.5353979165162389,0.08538555149241682,0.46040260166371355,0.5606469256436066,0.5417186905755771,0.3970899081417784,0.029123776192661138,0.06653414087845455,0.5482007993572567
4,Musicset USmall,0.03354512447392397,0.4663239566354905,0.22733173421120767,0.4506589066223502,0.1723154539085804,0.8162739586927279,0.2900428145513236,0.08274549207888197,0.29458569553651964,0.2460572158510141,0.19663701413506704,0.1787193453244665,0.46567319711534044,0.05269943571920437,0.6713273840112486,0.015586381375490429,0.039451602706805255,0.24150633671816604,0.22719396307265313,0.6804492619495548,0.5690636674614195,0.13837825612692523,0.41089840204325684,0.5176536612117084,0.1394668641459024,0.2577548590957007,0.05472085312657239,0.3655931168689423,0.43129417000837333,0.40444742088832963,0.16732992067330446,0.009273148800552477,0.24564936078518074,0.4674648912036864,0.43614614758248227,0.10949681920495101,0.2685959562922054,0.36558816862154586,0.8156513178691307,0.052479536983083296,0.6564263490628307,0.5366127518273375,0.06867349187084301,0.475985911432596,0.5558234442189102,0.5411271397368737,0.4038020046127803,0.02784818419074708,0.04620099743950485,0.574091714624709
5,Audioset USmall,0.027155525670675855,0.40931950614912804,0.14995996696924124,0.41240392955778116,0.12979629548511862,0.777988966356927,0.20772412355662387,0.07958328316013574,0.23907769082403343,0.24019728073759183,0.18718002859301638,0.17167848626848037,0.46845544183305754,0.0478492288612652,0.5526221824632603,0.012739848762718374,0.03967122802826933,0.22405875420625243,0.1937917352716621,0.6061423992368793,0.5224501267046828,0.12148789813923787,0.3315455279289488,0.4793417867903538,0.12984481040938128,0.21215095815948617,0.046555107950667494,0.33434688393536743,0.4021688485032225,0.33250556317818036,0.1482437220979164,0.008383708934642336,0.20148883828158246,0.39201763472455275,0.405093179187746,0.0974206611705227,0.24942109900191753,0.3150658106207508,0.7854289339665165,0.049344106976679875,0.6141371595643078,0.48842951772426,0.03690912902583389,0.44025481452290177,0.5145248751336665,0.5229658375613244,0.38810258190836716,0.02618804178840876,0.03904790411568961,0.4999716725612659
