,model-name,precision_class_<bass>_micro,precision_class_<brass>_micro,precision_class_<flute>_micro,precision_class_<guitar>_micro,precision_class_<keyboard>_micro,precision_class_<organ>_micro,precision_class_<reed>_micro,precision_class_<string>_micro,precision_class_<synth_lead>_micro,precision_class_<vocal>_micro,precision_micro_class_micro_update
0,Musicset Supervised,0.6751717369970559,0.8047808764940239,0.6228070175438597,0.6908396946564885,0.6985854189336235,0.8904494382022472,0.8279569892473119,0.9373040752351097,0.0,0.5481927710843374,0.731201171875
1,Audioset Supervised,0.6553352219074599,0.7883817427385892,0.41605839416058393,0.7184684684684685,0.6095744680851064,0.8818443804034583,0.8614457831325302,0.899390243902439,0.0,0.7657657657657657,0.686279296875
2,Musicset ULarge,0.699438202247191,0.76,0.6994818652849741,0.68,0.6702702702702703,0.9219219219219219,0.8658536585365854,0.9774193548387097,0.0,0.64,0.73974609375
3,Audioset ULarge,0.6724137931034483,0.7403100775193798,0.7293233082706767,0.7159309021113244,0.6772727272727272,0.9057142857142857,0.9861111111111112,0.9741935483870968,0.0,0.5058823529411764,0.720947265625
4,Musicset USmall,0.7026496565260059,0.7903225806451613,0.725609756097561,0.745679012345679,0.6483279395900755,0.8583106267029973,0.8561643835616438,0.9204892966360856,0.0,0.5025906735751295,0.7138671875
5,Audioset USmall,0.6747104247104247,0.7948717948717948,0.7984496124031008,0.6522633744855967,0.6506159014557671,0.8552278820375335,0.8424657534246576,0.9270516717325228,0.0,0.41899441340782123,0.6982421875
