,model-name,roc-auc_Acerbic,roc-auc_Aggressive,roc-auc_Agreeable,roc-auc_Ambitious,roc-auc_Amiable/Good-Natured,roc-auc_Angry,roc-auc_Angst-Ridden,roc-auc_Anguished/Distraught,roc-auc_Animated,roc-auc_Atmospheric,roc-auc_Austere,roc-auc_Autumnal,roc-auc_Belligerent,roc-auc_Bitter,roc-auc_Bittersweet,roc-auc_Bleak,roc-auc_Boisterous,roc-auc_Brash,roc-auc_Brassy,roc-auc_Bravado,roc-auc_Bright,roc-auc_Brittle,roc-auc_Brooding,roc-auc_Calm/Peaceful,roc-auc_Campy,roc-auc_Carefree,roc-auc_Cathartic,roc-auc_Celebratory,roc-auc_Cerebral,roc-auc_Cheerful,roc-auc_Circular,roc-auc_Clinical,roc-auc_Cold,roc-auc_Complex,roc-auc_Confident,roc-auc_Confrontational,roc-auc_Crunchy,roc-auc_Cynical/Sarcastic,roc-auc_Delicate,roc-auc_Detached,roc-auc_Difficult,roc-auc_Dramatic,roc-auc_Dreamy,roc-auc_Driving,roc-auc_Druggy,roc-auc_Earnest,roc-auc_Earthy,roc-auc_Eccentric,roc-auc_Eerie,roc-auc_Effervescent,roc-auc_Elaborate,roc-auc_Elegant,roc-auc_Energetic,roc-auc_Enigmatic,roc-auc_Epic,roc-auc_Ethereal,roc-auc_Exciting,roc-auc_Exuberant,roc-auc_Fierce,roc-auc_Fiery,roc-auc_Flowing,roc-auc_Fractured,roc-auc_Freewheeling,roc-auc_Fun,roc-auc_Gentle,roc-auc_Giddy,roc-auc_Gleeful,roc-auc_Gloomy,roc-auc_Greasy,roc-auc_Gritty,roc-auc_Gutsy,roc-auc_Happy,roc-auc_Harsh,roc-auc_Hedonistic,roc-auc_Hostile,roc-auc_Humorous,roc-auc_Hypnotic,roc-auc_Indulgent,roc-auc_Innocent,roc-auc_Insular,roc-auc_Intense,roc-auc_Intimate,roc-auc_Introspective,roc-auc_Ironic,roc-auc_Irreverent,roc-auc_Joyous,roc-auc_Knotty,roc-auc_Laid-Back/Mellow,roc-auc_Light,roc-auc_Literate,roc-auc_Lively,roc-auc_Lush,roc-auc_Malevolent,roc-auc_Manic,roc-auc_Meandering,roc-auc_Melancholy,roc-auc_Melodic,roc-auc_Menacing,roc-auc_Messy,roc-auc_Naive,roc-auc_Nihilistic,roc-auc_Nocturnal,roc-auc_Nostalgic,roc-auc_Ominous,roc-auc_Optimistic,roc-auc_Organic,roc-auc_Outrageous,roc-auc_Paranoid,roc-auc_Passionate,roc-auc_Pastoral,roc-auc_Plaintive,roc-auc_Playful,roc-auc_Poignant,roc-auc_Positive,roc-auc_Powerful,roc-auc_Precious,roc-auc_Provocative,roc-auc_Quirky,roc-auc_Rambunctious,roc-auc_Ramshackle,roc-auc_Raucous,roc-auc_Rebellious,roc-auc_Reckless,roc-auc_Refined,roc-auc_Reflective,roc-auc_Relaxed,roc-auc_Reserved,roc-auc_Restrained,roc-auc_Reverent,roc-auc_Rollicking,roc-auc_Romantic,roc-auc_Rousing,roc-auc_Rowdy,roc-auc_Rustic,roc-auc_Sad,roc-auc_Searching,roc-auc_Self-Conscious,roc-auc_Sensual,roc-auc_Sentimental,roc-auc_Sexual,roc-auc_Sexy,roc-auc_Silly,roc-auc_Sleazy,roc-auc_Slick,roc-auc_Smooth,roc-auc_Snide,roc-auc_Soft/Quiet,roc-auc_Somber,roc-auc_Soothing,roc-auc_Sophisticated,roc-auc_Spacey,roc-auc_Sparkling,roc-auc_Sparse,roc-auc_Spicy,roc-auc_Spiritual,roc-auc_Spooky,roc-auc_Sprawling,roc-auc_Springlike,roc-auc_Stately,roc-auc_Street-Smart,roc-auc_Strong,roc-auc_Stylish,roc-auc_Suffocating,roc-auc_Sugary,roc-auc_Summery,roc-auc_Swaggering,roc-auc_Sweet,roc-auc_Tender,roc-auc_Tense/Anxious,roc-auc_Theatrical,roc-auc_Thoughtful,roc-auc_Tough,roc-auc_Trashy,roc-auc_Trippy,roc-auc_Uncompromising,roc-auc_Unsettling,roc-auc_Uplifting,roc-auc_Urgent,roc-auc_Visceral,roc-auc_Volatile,roc-auc_Warm,roc-auc_Weary,roc-auc_Whimsical,roc-auc_Wintry,roc-auc_Wistful,roc-auc_Witty,roc-auc_Wry,roc-auc_Yearning
0,Musicset Supervised,0.7489879785550648,0.8798608209845701,0.8438396435147221,0.6893299352388653,0.7216964780285683,0.9164444146452907,0.845174600458249,0.8239359086833707,0.5728700475000686,0.7328487358326068,0.9239752342519141,0.8284512497730436,0.8767421612387722,0.7887630695271032,0.7765218870503104,0.8687642503027119,0.7506583253801298,0.785517762023578,0.8160460271250983,0.7731264238939848,0.7353631449665953,0.8525693389057751,0.7459682237231006,0.8266578559597306,0.8255390508389232,0.771581429264981,0.7616352269717388,0.8176696388937617,0.8246293889568964,0.76612870429309,0.754970718881982,0.9074522560854937,0.8984780678546765,0.7485466582597731,0.7217156317243348,0.8679118740638567,0.8363365965943758,0.7912136321639228,0.8280479583059466,0.8394068690041347,0.8194182397543693,0.6928800852018063,0.7654267974622299,0.7355032364087601,0.8441705296935036,0.7318344359418884,0.8214203451357601,0.8205142769755096,0.8242245915818575,0.7625444401012583,0.7839373626605814,0.8499504380143978,0.7118820116134948,0.7329973026882451,0.786406902834644,0.8786796378928365,0.6979900903060817,0.7207449566365007,0.8504804958828839,0.8110315097259501,0.43918887860102573,0.830067231873838,0.7093931331243762,0.7279912636963829,0.8045709058696072,0.7516797612319603,0.8351515452387945,0.8347496173335366,0.9445749939226967,0.7750985814244524,0.6733687495971937,0.7892022988692045,0.9087869058474648,0.8649200552197462,0.9200475445730372,0.7830841469056035,0.8641945832374684,0.7800408202251145,0.8281734071969153,0.6303072686269408,0.7821928517623464,0.7836517016531318,0.8606547768567362,0.7848029670347162,0.7685045133749421,0.7987773188887912,0.7446031225348922,0.8026809965814957,0.7542244604927182,0.7607669132822612,0.6638234355999442,0.8329457716021379,0.9336099222563227,0.7739766663934394,0.7507757833891087,0.758281389971931,0.95432531909856,0.8997247422470079,0.8308685381193435,0.8379339767954699,0.8900143582456296,0.80215548207996,0.7017115333521885,0.8421844081552973,0.7342841611616315,0.8196670995064982,0.8439989284392415,0.8493087169111448,0.6970166032463897,0.8434804371152312,0.7578372941213182,0.6899077786493529,0.7929568959812439,0.856384915261864,0.49158871454435726,0.7843176648791869,0.704820612207848,0.800949218334423,0.7684289212161243,0.9204761123737669,0.7878411872868174,0.8621114370549927,0.8324846184347113,0.7390171421019496,0.7375359825849166,0.7877621649269785,0.781932571378689,0.7651534747051634,0.8031532861078315,0.7130050947584434,0.8396784174319476,0.7047616079062003,0.7850515034120455,0.9181669335410626,0.7157342325227963,0.7390366652497575,0.6337725822416624,0.8141039346492087,0.8013327587713815,0.8024898575103898,0.8059873755852623,0.8410479002163437,0.8330615790415394,0.7800326350011275,0.8202635029572592,0.8488280494209348,0.859401892650565,0.752360885265175,0.8242094511779926,0.7397188607353361,0.7379849248405295,0.7348975855927172,0.7609887606318347,0.9490186998164509,0.8227471343570897,0.8787380447483446,0.7210241692784447,0.8543006754231373,0.6217503022974608,0.8153340101522842,0.7414062253427435,0.7481372658340767,0.9362516366334106,0.8778266808316891,0.7576488445314831,0.7558877137697887,0.8049209884399194,0.7473816969743768,0.8036276047621418,0.7098959914971151,0.7278808226821347,0.9315120906029997,0.7648939924133267,0.8509670851713607,0.7651846416106841,0.8571656701257632,0.6960492164041867,0.7260540631130201,0.8013556403950857,0.8519653177266432,0.7669119603020854,0.7233191168309671,0.7556567425190253,0.8949818478302786,0.7788251680211655,0.7837920122818212,0.7770466416468785,0.7218093793159687
1,Audioset Supervised,0.69748825015942,0.8646338157633798,0.7758351255589423,0.6744726576131034,0.6944882782684549,0.9027138337604546,0.8109218264946852,0.7704474244892844,0.5768444029543395,0.7219754431851206,0.8847651031445498,0.8085307853698884,0.8630826031850994,0.7582839562318755,0.7547126622891602,0.8297036850883005,0.71311853854264,0.7566368005156442,0.7645552504863478,0.7344370623948853,0.6912820164747268,0.7693555281155016,0.692920769975726,0.7972296018241659,0.7744873247372933,0.742597295587874,0.7454210161570642,0.7953945441363508,0.7722590421544784,0.7228304689157649,0.7487930779565573,0.8824967840886602,0.839362169627723,0.7161643547709121,0.6924346154603692,0.8536715491005941,0.7961270730489767,0.7429521540986547,0.8059997900644108,0.8035322088385758,0.7930490648553985,0.6570883950006697,0.7474695347032463,0.6398866418486099,0.8034605277736194,0.7127421671203266,0.7896535282898919,0.7501642161681923,0.796626414754441,0.7078086609336609,0.7582628148242055,0.8284440848539045,0.6773209709719218,0.7223242214062288,0.7946218205807513,0.8601877860520669,0.6501662271237912,0.6776126115510307,0.8213278942074104,0.779865651187347,0.4561638528266451,0.7864246105519584,0.6835862574855501,0.6845506987747904,0.7810955161604513,0.694034123439826,0.7880145567272462,0.8073225842789162,0.903887007958625,0.7216501336719514,0.6364898001773882,0.7417743079780427,0.893334661547932,0.8309856885803671,0.9096884579293087,0.7295483199946786,0.8376508695847207,0.7401644371383614,0.7836154246039719,0.5862851288056206,0.7573014418541483,0.7660452525665253,0.8306120740182533,0.7312053313241825,0.7398066760655789,0.7679617378641995,0.7027597491350157,0.7762636987583508,0.7273557836265169,0.7048175306957708,0.6311302238037332,0.7927897099551949,0.9151878419686562,0.7416080203905588,0.7361945325742101,0.7299413877537091,0.8679050345465895,0.8834332685523335,0.7978082527995092,0.7879419184923335,0.8639726453217283,0.7730614759139027,0.7136022763307879,0.7956934161916903,0.7188286022278118,0.7882801777056915,0.8213532146349452,0.8200162985443714,0.6616987939278683,0.8257533523956816,0.736759061598865,0.6667484709376525,0.7665087706444569,0.7837674211217422,0.39094560953530477,0.7588594709644111,0.7184140973317583,0.750027386154886,0.721181323120247,0.8747744792520912,0.7585116868595002,0.8557641715573145,0.8084432653024856,0.7277311448809561,0.7159785627851281,0.7557052904258369,0.7583568716212424,0.7330863982208059,0.7640718994209253,0.6823034606768968,0.8105835884269774,0.6840509607946912,0.7736046547555107,0.8956845688896583,0.6769115691489361,0.7122751337889242,0.6359479979429216,0.7892404260785918,0.7866457493663408,0.7679299426083515,0.7505922528214556,0.8149480228371486,0.7771619617100608,0.7433905244860165,0.7931867955585314,0.7983383546624654,0.8269786859027219,0.7273882321634423,0.7995664805483681,0.7275268749065117,0.718506103238695,0.7008546902830002,0.7506429728635075,0.8764456600651708,0.7873148816555103,0.8688781177420983,0.6974673544687487,0.7955739576298996,0.5970050958714804,0.7799541116751268,0.6972307397237659,0.7199046610169492,0.9164596199154185,0.7831537410836242,0.7285017628410723,0.7168140624624981,0.7642210921588823,0.7178281404836364,0.771601078791796,0.6624063856487022,0.708126517856279,0.9191654840415171,0.7164039756520716,0.8279370534285377,0.7454085466723154,0.8021875032723541,0.6374789347744613,0.6891127143534708,0.7794726708765964,0.819144550530876,0.7284155445261595,0.7533701840039407,0.6784169396929665,0.8628753697919249,0.7534971035075996,0.718526792220958,0.734479586317225,0.6902329760328421
2,Musicset ULarge,0.7343237051557592,0.8734756534594365,0.8398137116863424,0.6953016290156837,0.7183930214807546,0.9111991427776784,0.8336287368545433,0.8300673884330985,0.5679896213722853,0.7297849462365591,0.9017201507320084,0.8267497074784643,0.875593762054334,0.7820962065516952,0.7688089655032831,0.8668241529779991,0.7464607827950972,0.7807647653323111,0.8104719987858552,0.7542556786780698,0.7216542952133418,0.8339143237082067,0.7368792369417299,0.8155169724869318,0.8107807170560062,0.7624515722224264,0.7597611816826133,0.8140284067715278,0.817558164408038,0.7587068569205743,0.7678424112298927,0.8941012764694241,0.865487027254872,0.7494220260613703,0.713693053962095,0.8623011319364755,0.8231547090798158,0.7700543056633049,0.8242655952906798,0.8376669390375743,0.8055982893578318,0.6831568131002461,0.7633819826315728,0.7433008015561592,0.8383948076859644,0.7243369279422399,0.8150463666768014,0.7989382386996701,0.8164863856769862,0.7338666145484327,0.7991397798343476,0.8462617961074324,0.7088317075329805,0.71265554875561,0.8001089039446265,0.8656996844466222,0.6873451610325262,0.7180080285319256,0.8480543594514753,0.8094464421881175,0.4665786726029826,0.8279517116481826,0.7084293697217758,0.7254942671191915,0.7901470706665512,0.6840534420791732,0.8411281325715736,0.8320110791052279,0.9253566232036724,0.7465276775711845,0.6558416886867441,0.7855297367027096,0.8985381976638749,0.8596226247906855,0.9156715670941508,0.7707543319132982,0.8617567217545946,0.7643197550786494,0.819295744551923,0.6144125683060109,0.7759168078251035,0.7810707050070654,0.8871472829272377,0.7657506990465377,0.7493229590564319,0.7883816003648795,0.7353577481509251,0.7920824434455064,0.7465217606575234,0.7504204271172211,0.643710462226475,0.8366468349125286,0.9305583584281433,0.7681159420289855,0.7530944413055761,0.7504237656875208,0.9187240362470135,0.8949349708442091,0.8187280257708237,0.8371287256716274,0.8867822727474577,0.7941575595870064,0.6777860626162377,0.8319302428073247,0.7189092198973622,0.8145924949756789,0.8355712734628735,0.8334373068060473,0.6832259976723378,0.838043471745164,0.7562532236659759,0.6818359220453811,0.786430907836149,0.8617395964149408,0.42760825286662646,0.7919071484582377,0.7013264581962904,0.7831073357327919,0.7612137095413877,0.9130817654271812,0.7854791361032021,0.8608624820715968,0.8222532600899058,0.731703986240797,0.7370657776283425,0.7796190423155693,0.7841991058568248,0.7676642116034869,0.7872586017878226,0.7088486929548753,0.8402745136763109,0.6999129788706592,0.7813988391892355,0.9078525987795906,0.7100945098784195,0.7397849704083969,0.6161547011430056,0.8120004625630679,0.8024167005023913,0.791469176726697,0.7897838619286441,0.8304650218296273,0.8369272237196765,0.7788309283219608,0.8182384081017744,0.8249882528538655,0.852034442891058,0.7503432676462473,0.8177048436152344,0.7338598891820749,0.712759333562828,0.7227550465070255,0.7542831105710814,0.9315803310636922,0.8101224460777879,0.8503591985112736,0.7005459327401108,0.8376716589613611,0.6614754275349801,0.8069608121827411,0.7289510484417221,0.7379497472494796,0.9355740290838709,0.8828846976365567,0.7452649053197459,0.7402449113860429,0.8004756332339285,0.7822374940478488,0.7944811063775451,0.6933982065343599,0.7467385239583434,0.9399657734368478,0.7315626194606992,0.8517458552633163,0.754389083903246,0.8619406892363111,0.692821180805812,0.7221199328720002,0.7938857980650516,0.8425703987784525,0.7611709717899958,0.7214220243551133,0.7430480391059126,0.8936890681151676,0.7778701367673448,0.7651619924275058,0.7400583934288596,0.7226331820572128
3,Audioset ULarge,0.71776764837864,0.8695904567706126,0.8009376305488078,0.6662758376711982,0.6992547813760768,0.9051995798319328,0.8220797041709166,0.7868944440695287,0.6503528184289283,0.7238335512932287,0.8896067700415526,0.8175831921160402,0.8443665619661652,0.7661112219891965,0.7627429096828476,0.8317662379200841,0.7240929600407737,0.7619431282911647,0.7917714096496916,0.7291100588045851,0.6940183447802921,0.8208657864741641,0.7253498817743903,0.8000603663389765,0.7730007013505494,0.7341803882732729,0.7524693978503206,0.7821533506665206,0.7734669995739794,0.7247144423226537,0.7381584501685298,0.8770371561448644,0.8787064025183179,0.7039869693148382,0.7023290818713163,0.8572541686146175,0.8068823146042488,0.734311588976691,0.8045295364579921,0.8114136273820569,0.7692922959823776,0.6676393310871379,0.759350681021663,0.7277979005265452,0.801379948459145,0.7169250161445946,0.7875617876853055,0.7498933141080258,0.794260262851877,0.7273343850048396,0.7383023791413117,0.8240121314492682,0.6929544699101293,0.7137251235323451,0.811198257536886,0.8572616549658826,0.686795332853832,0.6836656297134238,0.8265069917419119,0.791919776605122,0.5451954584556385,0.7797615231745625,0.688202992029263,0.6866054879152966,0.7871388001258132,0.704048049112931,0.7885592618487154,0.8060247841022792,0.8692164330281177,0.704267532801444,0.6384907883954959,0.7409300238771795,0.8957463927479483,0.8284693839534478,0.9167838598686269,0.7476354752783884,0.8444355694083293,0.7476334826388366,0.7776438282767397,0.6029658903634314,0.7661692442590238,0.7653228799564159,0.811420916017751,0.7005587066445236,0.7168129636510101,0.7766016829648971,0.7158340948319626,0.7720839467863767,0.7205873338095945,0.7023155192919859,0.6327102811501173,0.8131304359097331,0.9108634099762462,0.7747826867605788,0.7207092876700422,0.7421364888960934,0.8836608622656535,0.8849313201302798,0.7922969780641202,0.771866446515442,0.8657925899610699,0.7729066221564893,0.7079782994369167,0.8008311470124554,0.7489588803818052,0.7820880740558379,0.814990112674803,0.8187236553700894,0.6665384454952803,0.807035684955731,0.7428725089436654,0.6653019238390527,0.7751370191625937,0.8469354779329049,0.38265691007845504,0.7658206578120662,0.7060201067108034,0.746425357022331,0.7216401307530731,0.882381655302764,0.7612062228356496,0.850164133897985,0.796236027390547,0.7316045000082599,0.7261419037821233,0.7664527891728902,0.7777923268299071,0.7482286642791017,0.751235101478608,0.6912349498058776,0.8178983575260854,0.6883574889060783,0.7506237675432638,0.9004017541581916,0.7184769186930091,0.7230681669554981,0.6299614574289838,0.7841102149468109,0.7846689870413784,0.7749480506629725,0.7534443472725434,0.7757855151245343,0.788338999290072,0.7560031179032634,0.7913238617341815,0.8119834710743802,0.826784160194458,0.7382037532050129,0.7965381996459213,0.714256871715934,0.7080039051698354,0.7055016821690085,0.7615254151478331,0.8911151149412812,0.7804043892461828,0.845797088905238,0.697852176752669,0.810446949953312,0.6145815339436863,0.7839139086294417,0.6929062362678048,0.7246463351174547,0.9122599221761302,0.8047213675685371,0.7204769331356932,0.7275136701129611,0.7667919562978263,0.7279126932036086,0.7868235859280054,0.6558430538932852,0.7223689684866429,0.9215335169880624,0.7414086315562483,0.8346475680280704,0.7309709697593254,0.8244683079049604,0.6645245439908305,0.7066066481858452,0.7859592896755521,0.8315511700578815,0.7328380982895206,0.7223199087150901,0.701750343345109,0.8783079276410627,0.7622620655998307,0.7297425601841163,0.6974391265211843,0.7112659814415958
4,Musicset USmall,0.7085519945206774,0.8599871996115199,0.7755813773576148,0.6650167137153542,0.695960222440301,0.9034265301865427,0.8193416191191497,0.7419437562061951,0.6547184316740342,0.7241179889566987,0.9046891843334531,0.8129860648792592,0.8631046453959332,0.7290252289450695,0.7556600618556503,0.8361262022800484,0.7206216990041423,0.7552061846660487,0.7789235502697333,0.726551125000497,0.7006957699108624,0.7802597834346504,0.7092011596171502,0.7996509776926882,0.7687701188699264,0.7279135485593038,0.7473425324223744,0.7924162776033203,0.7743923812399899,0.7307531473230073,0.7514672700741188,0.8810397288739362,0.8240675138785504,0.7105932114333754,0.6948165995361594,0.8490618282789646,0.7937974929280603,0.7628561738093104,0.7937981645430061,0.8095657557621547,0.7656026756198014,0.660591822837194,0.75165360025731,0.7703407452124627,0.8277204208859715,0.7136023010560845,0.7915405575978699,0.78473190163051,0.7869955182842685,0.7129355595264686,0.7286846581304935,0.8250956345235307,0.6951715622571792,0.6962010970578902,0.7744012900928825,0.8348313079818422,0.6578798050027971,0.6870129462041227,0.821962458898418,0.7879062280705232,0.4771839272932632,0.7860580005128533,0.68213617412181,0.6974403131414582,0.779862608434037,0.7067593074840335,0.8112024468981457,0.8004274883732818,0.9023897013489852,0.7173113703801846,0.6441371352109477,0.7664051547006954,0.8886409554971482,0.8322493789792402,0.9013037222395996,0.7321297805244555,0.8424589445170364,0.7220190427355584,0.7875994654777054,0.5753968253968254,0.7617841475922273,0.7694432810664488,0.8156409612325212,0.7302842347098493,0.7295144507119282,0.77309180987769,0.7023809523809523,0.7778982191795532,0.7285175544694286,0.7178448682967783,0.6256022034833111,0.8111256572779081,0.9203299847378128,0.7366147925229414,0.7391238211134773,0.7392118487172705,0.8470264103833488,0.8900644583247781,0.813452369995398,0.7713714756411535,0.8700438148526429,0.7756244426378173,0.6854909623839766,0.8173280841913472,0.7433824410108996,0.792591680786256,0.7994146173382696,0.8384814252796043,0.6583011531974219,0.8240434357784692,0.7190982362302427,0.6734616071143285,0.7759142882802825,0.8045398205834107,0.4154722389861195,0.7582640502247744,0.69662219990239,0.7498992157931141,0.7251568273381167,0.8850625209900264,0.7574464406227102,0.8430899003279103,0.8040237105548056,0.7192237871214888,0.7220689936122126,0.7470439737902103,0.7653762696646028,0.7438033426894741,0.7644311856974194,0.6961766453834783,0.8184592343899147,0.6841864542197614,0.7642808378187458,0.8851899135903983,0.6822877089665653,0.7057866434511548,0.6284816881314318,0.7934031218545061,0.7805887858635633,0.7481174549772412,0.7483291390767877,0.7926712590891696,0.8009993824203351,0.7589352964050007,0.7954849486664435,0.787851147534942,0.8344222544176365,0.7410502299538784,0.7972350083980208,0.718301708788924,0.7380225469006007,0.7194203938254502,0.7142972863507493,0.9184062826366428,0.8050248556240976,0.8381226468169819,0.6891530251232041,0.8252629285059985,0.6570003454828123,0.7784621319796954,0.6715252842336797,0.7239574041034791,0.9180388678628552,0.8613446653513431,0.7168847870138663,0.707340635354943,0.7808247544988325,0.7517573324067282,0.7856501790626752,0.654945707025598,0.7358502736575941,0.9207780282160447,0.7138946883484772,0.8309645341939272,0.7228673667009623,0.8387828937034671,0.6900963518392814,0.6835049666798579,0.7777870544659664,0.8253837865310181,0.7310887556527302,0.7167798375078721,0.6927787451121666,0.8791581506639269,0.7618522172437224,0.7480385130223672,0.7299063741982912,0.704756122212635
5,Audioset USmall,0.6977799296190453,0.8646448880796431,0.7819714997447046,0.6647466951606033,0.6865639952022681,0.9008818066233586,0.810178450890353,0.774747172867238,0.5878202136130255,0.7183602150537635,0.8792255175654385,0.8141479553753354,0.851931448724307,0.7498404991476929,0.7570197199822278,0.8188243357474126,0.7198474483957847,0.7534633473824998,0.7755405013866086,0.7173833351225195,0.6863862912672714,0.8280846314589666,0.7058627010778654,0.797716297029277,0.7552481402221543,0.7231399188018731,0.7428070888378501,0.7788124433287955,0.7651935697838079,0.7016461560223495,0.7366242181523647,0.8775541757371859,0.837240253625463,0.6972225725094577,0.6922633526518192,0.8431139779794631,0.7897796605468966,0.7449996296455123,0.7915959543016718,0.7909969949714849,0.7954744097091199,0.6598314135762746,0.7626314950368384,0.7542509306771304,0.8080073547633003,0.7094423256387383,0.7771030846623732,0.7515595074243185,0.783259792854891,0.7186732186732187,0.7489884423597025,0.8134198243210954,0.6800690606413494,0.7071900924792601,0.7712153261358996,0.8443889223434482,0.6666850475505475,0.6765461994092509,0.8271550747283419,0.7895272417789654,0.48685670757733956,0.7589288576190781,0.6812651420205377,0.6817910950928562,0.7749449567631386,0.7237360697096294,0.7876987656568247,0.7944401899653826,0.8699245709776179,0.7106684384649895,0.6128253523979634,0.7346133642953285,0.8915604733552489,0.8391337226103917,0.9091904910853925,0.7192091744950007,0.8302410585216987,0.7183479873919797,0.7526762791380031,0.5698130800589817,0.7613571536024968,0.7635156715528543,0.8334421837059365,0.7253784401844315,0.705048900100544,0.7507496349112699,0.6833844904207378,0.7600975604376405,0.7181671252449091,0.6972891961381047,0.624003872376054,0.8066823073965098,0.9131601638566595,0.7603436027744275,0.7354252683732453,0.7324776684782145,0.7318926365182203,0.8769991565591956,0.7799331185764687,0.7837051155609239,0.8656016400965111,0.7713995387961765,0.6467676274222439,0.784207615199638,0.7677681343689249,0.774039908154284,0.8107616127557381,0.8121648963075366,0.6576513817630426,0.8216231769381552,0.7308838672611366,0.6659091825377826,0.770334849072122,0.8289283683562478,0.38493889559444777,0.7449249209758568,0.6954144533488,0.7305060298472784,0.7093027508926685,0.8448671087263838,0.7446021684254465,0.8460543807870681,0.8006622649327043,0.7208170352735596,0.7183287269121907,0.7524125670042919,0.7463492271335666,0.755104122170802,0.7395438030584135,0.6868902671319507,0.8093094368190645,0.6790810874078899,0.749320151574984,0.8859833239566653,0.6936075227963526,0.7059198192895836,0.6121489280520241,0.7808514506966892,0.7786656812818559,0.7781590144468632,0.7454032733048956,0.7880261174504245,0.7807274742146061,0.7506053810464862,0.7861186670014507,0.7955605001059547,0.8232167278576884,0.7213931813249314,0.7876585410141178,0.7033728016882799,0.704501291377212,0.6937524737779537,0.749111482381531,0.8857123561575773,0.7734439941812137,0.8412926818712945,0.6974443193320352,0.8110994408849551,0.5842870098462601,0.7802984771573604,0.679428959181543,0.7143047502230152,0.9182518827022769,0.8382317636832738,0.7109327059958236,0.7174998623458804,0.7535191646399226,0.7090794435221291,0.7772498571914344,0.6587452662510495,0.688391564186171,0.9316178312046081,0.6982680036463081,0.8204920498547628,0.7400246373741654,0.8322957789249924,0.6570847737186358,0.6936252294963862,0.7830339703888113,0.8249332521039736,0.7228352502924635,0.7262481527899886,0.6815109673001309,0.8566428494040176,0.7505315341016132,0.7151685395857846,0.6952206565710359,0.6997516556494717
