,model-name,map_Acerbic,map_Aggressive,map_Agreeable,map_Ambitious,map_Amiable/Good-Natured,map_Angry,map_Angst-Ridden,map_Anguished/Distraught,map_Animated,map_Atmospheric,map_Austere,map_Autumnal,map_Belligerent,map_Bitter,map_Bittersweet,map_Bleak,map_Boisterous,map_Brash,map_Brassy,map_Bravado,map_Bright,map_Brittle,map_Brooding,map_Calm/Peaceful,map_Campy,map_Carefree,map_Cathartic,map_Celebratory,map_Cerebral,map_Cheerful,map_Circular,map_Clinical,map_Cold,map_Complex,map_Confident,map_Confrontational,map_Crunchy,map_Cynical/Sarcastic,map_Delicate,map_Detached,map_Difficult,map_Dramatic,map_Dreamy,map_Driving,map_Druggy,map_Earnest,map_Earthy,map_Eccentric,map_Eerie,map_Effervescent,map_Elaborate,map_Elegant,map_Energetic,map_Enigmatic,map_Epic,map_Ethereal,map_Exciting,map_Exuberant,map_Fierce,map_Fiery,map_Flowing,map_Fractured,map_Freewheeling,map_Fun,map_Gentle,map_Giddy,map_Gleeful,map_Gloomy,map_Greasy,map_Gritty,map_Gutsy,map_Happy,map_Harsh,map_Hedonistic,map_Hostile,map_Humorous,map_Hypnotic,map_Indulgent,map_Innocent,map_Insular,map_Intense,map_Intimate,map_Introspective,map_Ironic,map_Irreverent,map_Joyous,map_Knotty,map_Laid-Back/Mellow,map_Light,map_Literate,map_Lively,map_Lush,map_Malevolent,map_Manic,map_Meandering,map_Melancholy,map_Melodic,map_Menacing,map_Messy,map_Naive,map_Nihilistic,map_Nocturnal,map_Nostalgic,map_Ominous,map_Optimistic,map_Organic,map_Outrageous,map_Paranoid,map_Passionate,map_Pastoral,map_Plaintive,map_Playful,map_Poignant,map_Positive,map_Powerful,map_Precious,map_Provocative,map_Quirky,map_Rambunctious,map_Ramshackle,map_Raucous,map_Rebellious,map_Reckless,map_Refined,map_Reflective,map_Relaxed,map_Reserved,map_Restrained,map_Reverent,map_Rollicking,map_Romantic,map_Rousing,map_Rowdy,map_Rustic,map_Sad,map_Searching,map_Self-Conscious,map_Sensual,map_Sentimental,map_Sexual,map_Sexy,map_Silly,map_Sleazy,map_Slick,map_Smooth,map_Snide,map_Soft/Quiet,map_Somber,map_Soothing,map_Sophisticated,map_Spacey,map_Sparkling,map_Sparse,map_Spicy,map_Spiritual,map_Spooky,map_Sprawling,map_Springlike,map_Stately,map_Street-Smart,map_Strong,map_Stylish,map_Suffocating,map_Sugary,map_Summery,map_Swaggering,map_Sweet,map_Tender,map_Tense/Anxious,map_Theatrical,map_Thoughtful,map_Tough,map_Trashy,map_Trippy,map_Uncompromising,map_Unsettling,map_Uplifting,map_Urgent,map_Visceral,map_Volatile,map_Warm,map_Weary,map_Whimsical,map_Wintry,map_Wistful,map_Witty,map_Wry,map_Yearning
0,Musicset Supervised,0.07873139490782824,0.535714799330683,0.08802308001142531,0.1312775479565517,0.2927619843792437,0.38102414671784757,0.2430670336245698,0.06954511267583084,0.02412434099393347,0.16435267382523647,0.18348631310256996,0.13865248313791514,0.1934566028789944,0.06938739036451513,0.2802531732402964,0.1621524979503965,0.22962441189813396,0.28605225465191775,0.03684182362430952,0.16217487460898766,0.22282584401676533,0.059761925305739046,0.14610492641057696,0.13528349230169417,0.0929227470314842,0.17508711150336947,0.25709055641362233,0.31293113221843816,0.28630480771410777,0.16675579655709175,0.06116395898096901,0.2612521313066891,0.1428120494430384,0.17758185457142395,0.38354964830261035,0.35469236536343723,0.06741418367200416,0.13864505178636385,0.13402227501878042,0.18648384415977542,0.05663445876091116,0.2950778386144925,0.11238895479116594,0.0065521505011209395,0.1796570980933996,0.3835472272271279,0.3107941716370009,0.0817498520409259,0.13404679339993458,0.08167070084895853,0.144575806549351,0.30265446425634046,0.40571813368237375,0.03512235384595828,0.027798735153113315,0.17848598176353775,0.08563271903032031,0.26892040048288535,0.2646306235452773,0.3001051055533233,0.0035227927327935184,0.05714253971205339,0.26682733813432613,0.2592920212292588,0.21421070950343785,0.020056581992482392,0.0849355428941133,0.22785832189742478,0.12297779027757995,0.11226874823218905,0.09601998749440717,0.16063531950549736,0.3373665077870625,0.21138747443606204,0.3301559428475802,0.23288237555523955,0.3884756975991073,0.09194415771565817,0.1638342591723512,0.013732012661182322,0.38249040889264246,0.3715825884668484,0.006257694200392173,0.07829775334673794,0.16344246320894232,0.22959077664439143,0.07424646953701373,0.25098875387730285,0.14561177737411446,0.28585325929483646,0.22201411541822502,0.1431506602664007,0.36720541598490064,0.07546829943455995,0.029034066043012497,0.17298924361849027,0.029370785684432427,0.4106246917371186,0.13619579864445305,0.027987277461875786,0.28544615520189737,0.2776251914622627,0.03174679857206628,0.17228067130266386,0.02979980268204217,0.24184461065247895,0.11844098744858873,0.11886325076967748,0.34960102814189864,0.11778229551936437,0.19459471176926973,0.2779085472551363,0.30909434153812204,0.06821894318601394,0.0023603865557989814,0.06752872475572157,0.08792232023796687,0.24039353308611755,0.1946115447860977,0.1367820587468286,0.19255888430374793,0.2887420020627499,0.15953115775877716,0.2509944655193472,0.41864919409917334,0.1741127445847851,0.05572157344308704,0.15421121782083128,0.23196275172138991,0.16483160756862827,0.32202082148461186,0.4023738714546231,0.18625327888701504,0.06947281687373318,0.024630707406002844,0.1693000943469332,0.0295310589637495,0.2569999935725858,0.2852863997329984,0.15029616991762054,0.07861694920423448,0.1705890656662668,0.06638031879192555,0.20083760051691651,0.31681602873210046,0.16729328897930207,0.17447788047781082,0.05357551802110095,0.18163490138814617,0.2529642893446156,0.07318314671234886,0.07287439726489413,0.043308933812838464,0.20172845158937075,0.33167112524334147,0.040230276816548755,0.07167267179186833,0.1092580521966873,0.06568251822890439,0.3492093435857075,0.16012888202605477,0.33997874408025147,0.3928486576738343,0.07703841824819344,0.23551856893205145,0.21838806473041958,0.2265003179026585,0.024786792047907624,0.2721207691200759,0.2000458827591095,0.018572625140783422,0.35599205609952383,0.04360643769591066,0.32624125204013493,0.13574510956518462,0.14890123596010366,0.08398777167072655,0.15501615793151816,0.2940769613622909,0.34596971969728774,0.27164151315519924,0.03702380145302414,0.1216471407444577,0.12249058908321403,0.26754171768895796,0.19877613231961577,0.1248977162975756,0.2118941582655381
1,Audioset Supervised,0.07907948621825804,0.5009987104447154,0.08030748345661241,0.11888766282307266,0.2642969683605395,0.32458473773865104,0.18434721455923017,0.10550220156236434,0.008282811970995486,0.16347473771566928,0.1656195893484695,0.1177957826552533,0.1126405570480901,0.059033667423127704,0.2588037586557933,0.14138874428754905,0.19845164324507536,0.2464192455625441,0.030364379058972088,0.14373095731486485,0.1843296966149389,0.034309750342531066,0.1133794072385345,0.11962903056984767,0.05054542680121005,0.1557337002439696,0.2284083046573049,0.2977897871117713,0.22727686701162028,0.1205496327456236,0.06719129586007482,0.24672634518623227,0.11548482686915273,0.12280501162033919,0.32916635348522677,0.3493457891697648,0.044655444276585965,0.10624734740477979,0.10928080358174047,0.16231964794394121,0.03510652287120988,0.24784621419987093,0.1102187885451626,0.004612787049743013,0.15909328489824298,0.36158871377897656,0.2769826501164135,0.05808387776950857,0.13230817182108934,0.05209851913461239,0.07662705952657363,0.2661023483066114,0.35915816612247614,0.036835815273502444,0.032299950324995844,0.154424497036191,0.08619225689161579,0.23650537137893143,0.2223880605796697,0.2678978634346541,0.004678362863142556,0.04098649572009622,0.23523160993062664,0.21071461228579588,0.1955440661797248,0.012680386514089502,0.05551527927110781,0.17296005717821275,0.06103533923462161,0.0865374163247076,0.0953984938402632,0.11749745525513125,0.3115105680155278,0.19803043934081338,0.3200636336863546,0.18945721615627262,0.32175616913448324,0.061943005684558745,0.12565218930750818,0.015031259774261245,0.34627934375348157,0.3308100574998237,0.012503828471922407,0.07529819112685267,0.15598834252889823,0.1613728007582188,0.06806068287510386,0.22444040289030967,0.12128649157078845,0.23483157180924485,0.19093928409005817,0.11608456029257286,0.2988605751704304,0.08256428545811799,0.02975742444286593,0.15447703874168983,0.012837072707932148,0.39690452392358994,0.11476913345593555,0.01925970111020511,0.24089773498922926,0.24678635557643122,0.05252728809597669,0.14868823876411907,0.02146357950415537,0.2045633922887854,0.11229835788622007,0.10189757169383615,0.3189479302779871,0.07185451212140147,0.1699435780826177,0.25486769195841497,0.2468459815906197,0.036088098714095,0.002001531551496009,0.06257080095376988,0.09428028738087106,0.1932863559652217,0.15217304986163951,0.09794578209467923,0.17507491569176567,0.2576290025133295,0.0962989827027303,0.21123076539724214,0.37938985864496394,0.14824203295873972,0.043675225359477654,0.12883876427001184,0.15083678574541326,0.14191406188925684,0.28712017981922827,0.37703585990236865,0.1746415870838091,0.05389173818225517,0.017781244987610745,0.1501275026637607,0.032212541640279854,0.22555890117649188,0.25821128578336583,0.12791287282952907,0.059756610132417814,0.15460667217509655,0.05687228611192569,0.17924469972124904,0.2856579225220645,0.118871843461793,0.14135905628411116,0.05091476013389395,0.15796474396871363,0.24543158392201414,0.06629572813233531,0.07546171311074476,0.04103815834123541,0.14909225924774,0.20678708514804786,0.05020664560726933,0.045868045126697274,0.0702333853868588,0.03346793838602261,0.3191552546944596,0.11647373949431511,0.30099350518847195,0.37817732816738764,0.026114633680614226,0.2167555740636192,0.18037951106277952,0.20644519645328205,0.0190071555729086,0.25297025688669444,0.17921276124847504,0.015072300673313952,0.2654227804971538,0.03512854295568165,0.2800330508215924,0.11492357343052731,0.14389201527965007,0.06241774704060091,0.1403921999543524,0.27281223716217085,0.3043647265423126,0.22447305260877792,0.04576749461582055,0.08941786448241824,0.07870218703774412,0.2408027720230943,0.14151242348561383,0.1034583525465,0.1994097668388404
2,Musicset ULarge,0.0676493616063566,0.5126329001235348,0.05985531370542604,0.1309120952435458,0.2831268866605214,0.3715247200088201,0.24032255673922925,0.10111392270737651,0.013955640325464197,0.1625326771268463,0.1637182790125403,0.13584251790856025,0.15517715772037805,0.07184737951384039,0.2684624147838943,0.17708237643676294,0.2385612788413421,0.27065578823148534,0.029809029736121165,0.13417531408118985,0.2132654463876812,0.058685227337683964,0.13582918869545743,0.1272863265410929,0.07313628050792446,0.17677551374211573,0.261599124101209,0.31778415324686843,0.2731561289944601,0.1645519655925583,0.05495266125919961,0.2745179909452148,0.12214713401609341,0.1547319567730215,0.3656804427980626,0.32902117730465896,0.051704780368252386,0.11321835984587611,0.13561353876547536,0.1923231992934744,0.07528022552277013,0.2809915311687111,0.11355953789227874,0.006477510320052514,0.1630159270298121,0.3742375488823042,0.29974186982950957,0.0681557503587737,0.16491667857521103,0.06910789710206873,0.12802433464529633,0.28434869519363887,0.405151460324405,0.031044179122059905,0.02874047515842186,0.1789827386885549,0.07754151483573021,0.27642457357557254,0.19195042297349738,0.3046573191270618,0.0037909830575981727,0.053753383216941765,0.2636760808545124,0.257451162014019,0.19820337151834172,0.01137559438364289,0.0892299513480729,0.1804314878649166,0.09067538844438143,0.10273705239834754,0.08303878474367545,0.16970210815636338,0.3190708601109789,0.2073129668221313,0.3266448391149065,0.24302474604334937,0.401416800607636,0.08039586208251646,0.16646841711778498,0.014256316217235563,0.3847589728285046,0.3597034377498696,0.006287217506754956,0.078234668306615,0.16886499357726217,0.21138608755787205,0.08463065376726742,0.238857499707442,0.11614317443562897,0.2718157029517889,0.22033612571053746,0.13525614627706023,0.2950134334564809,0.07343933647459068,0.032940776020094646,0.1645575797098962,0.011959517741287869,0.362313433021741,0.13117285204114187,0.02565360670796925,0.26218509602070245,0.2630969408465628,0.0385994021081685,0.14617361038207966,0.02593251793554665,0.24183189529487661,0.1020852731118732,0.11495231056240601,0.3282750199581447,0.0743112718042778,0.19664706585885072,0.28414842629691034,0.2774364902427734,0.10602294199591965,0.002039610596944467,0.06064335335099269,0.09595381911700787,0.22214022755536336,0.21261919398284992,0.14104911991563135,0.21423131305444829,0.2618662267535567,0.22956439651501542,0.23250374987523123,0.4068490862735954,0.16537382767648787,0.052687294094143626,0.1645178988691774,0.22510269244264958,0.15586529662571372,0.3199891691003794,0.405610841344412,0.1806293821569132,0.07468205151017547,0.02786167693730942,0.16073842079571193,0.02880961489713806,0.2688946891092414,0.2777052018528116,0.16495094424081416,0.07122911174218262,0.1730898422259086,0.07021597118412018,0.19692329427330957,0.31559259441511733,0.12700028234077884,0.15748179550228214,0.05787268282938816,0.171249946099647,0.24683741322023028,0.10818284505630016,0.055584126200805224,0.054814143094663904,0.20465660316777973,0.2909442818830648,0.04468810437118066,0.06981761401120236,0.09099735007813042,0.08697801833344776,0.33974052080496403,0.13216024189249886,0.3228060890940948,0.4036351077851235,0.059502888103991555,0.2277823447629328,0.20470305587888113,0.22938483135650656,0.025408637176713145,0.257506684527269,0.19225842177466462,0.018814777494925786,0.3178996531344665,0.037714820142418386,0.312362297990454,0.12381355922367868,0.1962769077319715,0.08484108796613439,0.16337925749275603,0.26347439859386484,0.3338475039159911,0.26780462085608325,0.03511827074152757,0.11554280102285282,0.10096742012485109,0.2685923365607685,0.18329935526288124,0.10547076941997226,0.21466040929464222
3,Audioset ULarge,0.0830913233859199,0.5292621093490126,0.07537878250110244,0.11314867166516772,0.27436381807222593,0.3620984325902992,0.2045193534028595,0.06386026611226626,0.01219183525139006,0.1675673274775472,0.1044809190859741,0.13007549491744927,0.1057469166360101,0.06486326701885164,0.2647062203404275,0.13747483808155453,0.2074445131188985,0.25908993442979394,0.027094113181874043,0.14557794938611823,0.18443561703131012,0.046059870415429624,0.13113686252661383,0.10978729976347087,0.05436397559536946,0.1508336303710953,0.24038451522217455,0.26983104794482365,0.21857912754685885,0.12374017064685161,0.06650042506271645,0.23980463793066456,0.15455047664749086,0.12438398246401723,0.35242273949130554,0.3270699385366263,0.06583938683085798,0.1080964101902707,0.1079673885008674,0.1826552731975561,0.02905713602332773,0.26722497671471673,0.12017269236870842,0.006239153201064034,0.1311215026775512,0.37354240362035984,0.26335428055529053,0.06328308388894317,0.15173856115053722,0.056882994955718774,0.07799315075044005,0.2437505961999675,0.3805292184261714,0.032123322943633244,0.04760050595995891,0.15845002719097323,0.07347656360228237,0.23463052533232034,0.22024140352773372,0.2976297841478303,0.004496568912770097,0.04443232825228858,0.24870913416357343,0.21583042715489836,0.20462151619548527,0.011364919128389647,0.06377769485746453,0.18311137671317365,0.039457468666872025,0.07455933825673944,0.08975355599059379,0.1139841870703316,0.33510096251323307,0.15040076457974041,0.34784529778312867,0.2106475053283754,0.3620099287892943,0.06929238095339636,0.1339042999458432,0.012759782867424763,0.37003915267361165,0.34416048172873615,0.005323204010214386,0.06221712416645266,0.1481573656197105,0.14310462170494934,0.052989365649178714,0.21607336021157836,0.10638592993508787,0.23461847715118736,0.19352611885768045,0.13883210503606344,0.2767963827858547,0.09034149198130204,0.03257137842937871,0.15989832447661984,0.01267106642878981,0.3982604249512884,0.12379090539604266,0.016815217031654003,0.24196201875544185,0.24280036540618904,0.05733237976244248,0.13772999382373782,0.029687273309097643,0.1969155847117345,0.10915268902367468,0.07656894630300697,0.3169978311676899,0.07529635202802881,0.1805707389154251,0.25726128594408015,0.26285859038481274,0.08907287320113431,0.0018951560382716645,0.05750633317880173,0.08645667336104304,0.1889819086166022,0.15239289312654178,0.1114257931760142,0.17340489308931561,0.23856832526028926,0.10928465271989447,0.19612960041572672,0.3971274628364196,0.13768866245511582,0.05839628843131818,0.14327223802934363,0.1279351678385069,0.1438230878830844,0.29169084797183426,0.3841957290544655,0.1628188468164949,0.06377688758297244,0.021486268248466153,0.16091568147994129,0.031253366423727495,0.22137447718853742,0.25712487807774503,0.12726833877917626,0.06660513396361323,0.1191924248519432,0.06538521727660812,0.18693942407544858,0.25766633310373444,0.09767351768164234,0.13061608056226987,0.06247874697901709,0.15665012895034935,0.2410294929072588,0.07774611516496532,0.05373358244203928,0.043560055957536425,0.12152723685051905,0.16067402984743873,0.03174792326835496,0.06521660842589315,0.08965079237229906,0.06871943531043187,0.29713141942932186,0.0987215317680027,0.30666339719869284,0.38975997767401777,0.038129835058415044,0.2093103562166852,0.1929171105592682,0.19048861205759607,0.02332498506270828,0.24536894635658968,0.166881899650976,0.01468479150374905,0.28420611733150275,0.03576869988882261,0.2927887771319445,0.12716252764578334,0.1257393038569695,0.07983894305437014,0.1565000921664348,0.28352069169076183,0.330757552384738,0.22893018591517766,0.03981535826016246,0.09342308807061293,0.12573729996491848,0.24016200731427217,0.14086089476377972,0.09112489286308835,0.2077178757085829
4,Musicset USmall,0.07109191439805569,0.483596036084306,0.045934114573562626,0.10481765920006111,0.2695559357230515,0.3329729972390794,0.21849533223819637,0.07032224100844113,0.01882867706534212,0.16203841637155145,0.174774707036722,0.1319131326553954,0.12893449963838996,0.0475689086258633,0.25174993621351227,0.1439219883004623,0.2093236600585015,0.24590611414893332,0.025907202034867557,0.12809574929506573,0.1901086831040191,0.04563594531522659,0.1219861536959257,0.11895093136916156,0.0529018412683833,0.16884195063384183,0.2412145848361536,0.284175839389599,0.21748246480545694,0.13915146898288921,0.08578228160757392,0.21383203097794762,0.08832918656462938,0.13025568283460334,0.3303441867050022,0.33219354928813805,0.04232336379084307,0.10363409716091262,0.10722783942553797,0.17231996193314963,0.03249889343069846,0.2738196284799832,0.11208241584160201,0.015125104084927768,0.17183806799240822,0.3610480626695585,0.27214799776509185,0.0725500969053692,0.14864247295860517,0.05176865071186013,0.09263580268014322,0.26371076777264457,0.3809637281294413,0.031165461535630604,0.026194396531781114,0.14464623263901952,0.07096656089930085,0.24808886793552748,0.14772704418569785,0.2759574122266226,0.005538569638048622,0.04535945829915381,0.24276570184367818,0.22726050858885902,0.1916792659395881,0.012696048597504997,0.07914495663214759,0.18228390343485232,0.06557401592010893,0.09509470734139085,0.08704005282644556,0.1501489951908639,0.2666212257814965,0.20646348851579915,0.2641728438200639,0.19123412252533475,0.35767717053148873,0.06588332560242607,0.14077205492414893,0.01553231917495669,0.348899998227124,0.3552377393713481,0.004239684528298684,0.09353629189963854,0.132318504986211,0.15423010847192434,0.08057688512317884,0.23145587868457454,0.12426004357563837,0.24502130963299573,0.19185211301482516,0.13871535247311823,0.24278513656266637,0.075494539396396,0.03352363115537025,0.16497887178401494,0.009083586732547912,0.34604309808177286,0.1427022360092396,0.016595592916917555,0.22390472262408248,0.2356135987117866,0.026299117477063982,0.14328951975512164,0.022496034575173948,0.20664539833231224,0.10761787270545352,0.08662066395396113,0.32146917607924286,0.06427843609561616,0.15531036717385827,0.2684107282896341,0.26485329683075587,0.04309296612731673,0.002071102839655198,0.05973186050877472,0.08646900357750284,0.19784916657456497,0.1502199653749296,0.09801653602380916,0.18167048111160872,0.21496330193980343,0.13088775959948418,0.21829847590185628,0.3862128330012934,0.11926011879116381,0.06775607536089745,0.13695433951300803,0.1573590897934925,0.1550830218936161,0.30149192652461676,0.3883018260253288,0.1688722561276811,0.057148171352616635,0.023268737218538574,0.14909254160999588,0.029031593623002047,0.23238650935290509,0.2473467377572156,0.1092932287814964,0.06382279530997384,0.16550664558976397,0.05827106313326747,0.18942521395168765,0.272088999224777,0.12071301095453084,0.1393712520419337,0.051783475835933485,0.16290653519043893,0.23048280369351462,0.07324915119200304,0.050754560737258266,0.04200299557713269,0.15853589315607958,0.21435625021841942,0.03704525864200871,0.04554496121633823,0.07978539848518769,0.1027339773639354,0.30965612998733294,0.10305048979861621,0.3194258562349283,0.3045797037001891,0.046276010836738476,0.20849799568192118,0.17729117718514623,0.20440123633908666,0.027155642193790838,0.26306921310971654,0.165222824672979,0.024735538378471523,0.27262901264149336,0.0537952986636891,0.28761892641467857,0.10979937170325281,0.1535021702848779,0.06522827888461756,0.148130466998978,0.23154994915531601,0.3061652318979298,0.2301735539222531,0.03028889910005498,0.09750239128254654,0.10463723104866914,0.24297536620526303,0.15507254578267543,0.11030815589638375,0.20110674239545545
5,Audioset USmall,0.06324125213438958,0.5213896092938836,0.04609410697234745,0.10207790299953656,0.2670329238004938,0.3598469919731195,0.20322631777965633,0.08720026536782335,0.013726695676635392,0.16566809621399897,0.15412424476126663,0.12970058333588172,0.12835940470881446,0.05009274583090002,0.26351899990044003,0.1525960750898997,0.19769750514919304,0.2497188064726257,0.0505217311621513,0.17051513336236487,0.17149341833746018,0.05998290998649605,0.1156860698286271,0.1228430562935135,0.05056175055211066,0.13787011546634179,0.2360714582493895,0.27307042463607695,0.2135529307305357,0.11734045345135821,0.07185585028035352,0.22530289608753068,0.1347625678547415,0.11784969260021026,0.3439513522474271,0.3221543073224503,0.03994739608885224,0.09276559559629036,0.09988810771120626,0.17261399738799596,0.0712257426176087,0.2600522855675021,0.12558540106481442,0.0072118999304547765,0.11903894638182304,0.352205068408127,0.2584679335095677,0.05290087690972588,0.13705434199438213,0.0600355288625897,0.06326371292139803,0.23237158343642084,0.3607666879889368,0.0419820907826943,0.03880331889863493,0.15696514313754625,0.07832549950800508,0.22938730270842028,0.203945778444058,0.31264906049087665,0.015813473382798184,0.058139983625638415,0.24139894020909414,0.20646249581949394,0.19481669781773087,0.012842536201453779,0.06161992263023099,0.12985391406126928,0.046712586685734275,0.07803506206857005,0.07773624900371268,0.11167073664999948,0.3266612206195429,0.17233870658768088,0.2978087723088772,0.19365521136117989,0.3216398970000019,0.05250227322109554,0.12868317706744617,0.011472253279036766,0.3612250310944973,0.3364130222060774,0.012789391762311648,0.09080607153778258,0.1416693897357088,0.1404683444237399,0.038970685691814194,0.2127195350647713,0.125280515905277,0.2288305209221197,0.1862129796520887,0.12901141271299782,0.2748148887532434,0.08496143622231866,0.037887004199066925,0.152414407055593,0.0038250999099027757,0.3660006708929414,0.10801247120880239,0.015992601057389578,0.23492918955920114,0.2421388500392821,0.038206427624327216,0.126825966369294,0.028448658894031753,0.19352373893968988,0.11721089783464617,0.06584960355317795,0.31748713705937665,0.08103294559501127,0.16874810448094205,0.25247228035454955,0.2508771433355081,0.05981798928141979,0.0019903754428975853,0.0739934107571462,0.0873126742491909,0.17862005791582664,0.14059900293451089,0.07835071694468106,0.15719539724027443,0.20758243793932715,0.10806428741686214,0.1988191253806657,0.3861098794753036,0.12325474686543426,0.05928598998510607,0.14410855323295538,0.15313817131424,0.1425516829685536,0.27418832938674076,0.38155093989918315,0.14735761400178932,0.051499343824377715,0.01921746335121005,0.1448867176821646,0.03152581853747175,0.21282090207507603,0.24655244502487728,0.11659456852807404,0.06476148358672303,0.11927023729595976,0.06566430551492589,0.18406222555337673,0.25128167970900417,0.0870297915153576,0.1274095052219511,0.049263856215920214,0.1673540439178645,0.2279617263300996,0.06104263412091227,0.05765015901537521,0.03017045646074293,0.11166481369251863,0.19165725796968813,0.03675690981702744,0.06667131529762632,0.07497256747546513,0.05460141299385964,0.3119884026611978,0.11283810891593578,0.2933577712619148,0.33774783559509075,0.0511681474014881,0.1945593668569933,0.18559098482848,0.1918070014300165,0.021032652425794104,0.25462456232012143,0.1569013642587382,0.011947347024961651,0.26231504888961443,0.04622735755448508,0.28250326295961903,0.11149850838369105,0.13319284200719328,0.05251860480137303,0.15172089827011528,0.27815487007878187,0.3180262031639817,0.2172015533418382,0.03956002073123385,0.09421345527592793,0.09533452682674322,0.2359557704043978,0.13199699412208707,0.09810622775625223,0.19336802139557135
