,model-name,precision_class_<blues>_micro,precision_class_<classical>_micro,precision_class_<country>_micro,precision_class_<disco>_micro,precision_class_<hiphop>_micro,precision_class_<jazz>_micro,precision_class_<metal>_micro,precision_class_<pop>_micro,precision_class_<reggae>_micro,precision_class_<rock>_micro,precision_micro_class_micro_update
0,Musicset Supervised,0.7941176470588235,1.0,0.8928571428571429,0.6756756756756757,0.7419354838709677,0.9259259259259259,1.0,0.8214285714285714,0.9130434782608695,0.6666666666666666,0.8344827586206897
1,Audioset Supervised,0.6428571428571429,1.0,0.7931034482758621,0.5227272727272727,0.6551724137931034,0.5909090909090909,0.9285714285714286,0.6551724137931034,0.875,0.7777777777777778,0.7275862068965517
2,Musicset ULarge,0.6153846153846154,1.0,0.8181818181818182,0.6578947368421053,0.7096774193548387,0.5652173913043478,0.8620689655172413,0.6551724137931034,0.7777777777777778,0.6923076923076923,0.7344827586206897
3,Audioset ULarge,0.6666666666666666,0.96875,0.7666666666666667,0.4583333333333333,0.6060606060606061,0.5714285714285714,0.9615384615384616,0.6666666666666666,0.7727272727272727,0.3333333333333333,0.6724137931034483
4,Musicset USmall,0.625,0.96875,0.8,0.5121951219512195,0.6875,0.5116279069767442,0.8888888888888888,0.6363636363636364,0.6666666666666666,0.7272727272727273,0.6862068965517242
5,Audioset USmall,0.4,1.0,0.7419354838709677,0.4186046511627907,0.6551724137931034,0.5227272727272727,0.896551724137931,0.6756756756756757,0.5862068965517241,0.3333333333333333,0.6482758620689655
