,model-name,roc-auc_Acid Jazz,roc-auc_Acoustic Blues,roc-auc_Adult Alternative,roc-auc_Adult Contemporary,roc-auc_Africa,roc-auc_Album-Oriented Rock (AOR),roc-auc_Alt Industrial,roc-auc_Alternative Metal,roc-auc_Alternative Rock,roc-auc_Ambient,roc-auc_Ambient Pop,roc-auc_American Alternative,roc-auc_American Punk,roc-auc_Americana,roc-auc_Arena Rock,roc-auc_Argentina,roc-auc_Australia & New Zealand,roc-auc_Avant Garde & Free Jazz,roc-auc_Bass,roc-auc_Bebop,roc-auc_Big Beat,roc-auc_Blue-Eyed Soul,roc-auc_Bluegrass,roc-auc_Blues,roc-auc_Blues Rock,roc-auc_Bolero,roc-auc_Bossa Nova,roc-auc_Brazil,roc-auc_Brazilian Jazz,roc-auc_Britain,roc-auc_British & Celtic Folk,roc-auc_British Alternative,roc-auc_British Folk,roc-auc_British Invasion,roc-auc_British Isles,roc-auc_British Metal,roc-auc_British Punk,roc-auc_Britpop,roc-auc_Broadway & Vocalists,roc-auc_Cabaret,roc-auc_Cajun & Zydeco,roc-auc_Caribbean & Cuba,roc-auc_Celtic Folk,roc-auc_Celtic New Age,roc-auc_Chamber Music,roc-auc_Chamber Pop,roc-auc_Chicago Blues,roc-auc_Children's Music,roc-auc_Christian,roc-auc_Christmas,roc-auc_Classic Big Band,roc-auc_Classic Country,roc-auc_Classic R&B,roc-auc_Classic Rock,roc-auc_Classical,roc-auc_Colombia,roc-auc_Comedic Music,roc-auc_Comedy & Spoken Word,roc-auc_Concertos,roc-auc_Contemporary Big Band,roc-auc_Contemporary Blues,roc-auc_Contemporary Folk,roc-auc_Contemporary R&B,roc-auc_Continental Europe,roc-auc_Cool Jazz,roc-auc_Country,roc-auc_Country & Bluegrass,roc-auc_Country Rock,roc-auc_Cowboy,roc-auc_Cuba,roc-auc_Dance & Electronic,roc-auc_Dance Pop,roc-auc_Death Metal,roc-auc_Delta Blues,roc-auc_Disco,roc-auc_Doo Wop,roc-auc_Dream Pop,roc-auc_Drum & Bass,roc-auc_Dub,roc-auc_East Coast,roc-auc_East Coast Blues,roc-auc_Easy Listening,roc-auc_Electric Blues,roc-auc_Electronic Pop,roc-auc_Electronica,roc-auc_Emo,roc-auc_Euro Pop,roc-auc_Europe,roc-auc_European Jazz,roc-auc_Experimental Rap,roc-auc_Far East & Asia,roc-auc_Flamenco,roc-auc_Folk,roc-auc_Folk Rock,roc-auc_Forms & Genres,roc-auc_France,roc-auc_French Pop,roc-auc_Funk,roc-auc_Gangsta & Hardcore,roc-auc_Garage Punk,roc-auc_Germany,roc-auc_Girl Groups,roc-auc_Glam,roc-auc_Gospel,roc-auc_Goth,roc-auc_Goth & Industrial,roc-auc_Hard Rock,roc-auc_Hard Rock & Metal,roc-auc_Hardcore,roc-auc_Hardcore & Punk,roc-auc_Harmonica Blues,roc-auc_Holiday & Wedding,roc-auc_House,roc-auc_IDM,roc-auc_India & Pakistan,roc-auc_Indie & Lo-Fi,roc-auc_Indie Rock,roc-auc_Industrial,roc-auc_Industrial Dance,roc-auc_Instrumental,roc-auc_International Rap,roc-auc_Ireland,roc-auc_Irish Folk,roc-auc_Italian Pop,roc-auc_Italy,roc-auc_Jam Bands,roc-auc_Jamaica,roc-auc_Jamaican Ska,roc-auc_Jangle Pop,roc-auc_Jazz,roc-auc_Jazz Fusion,roc-auc_Jump Blues,roc-auc_Latin Hip-Hop,roc-auc_Latin Jazz,roc-auc_Latin Music,roc-auc_Latin Pop,roc-auc_Latin Rock,roc-auc_Lo-Fi,roc-auc_Mambo,roc-auc_Meditation,roc-auc_Memphis Blues,roc-auc_Merengue,roc-auc_Metal,roc-auc_Middle East,roc-auc_Modern Blues,roc-auc_Modern Postbebop,roc-auc_Motown,roc-auc_Movie Scores,roc-auc_Movie Soundtracks,roc-auc_Musicals,roc-auc_Nashville Sound,roc-auc_Neotraditional,roc-auc_New Age,roc-auc_New Jack,roc-auc_New Orleans Blues,roc-auc_New Orleans Jazz,roc-auc_New Wave,roc-auc_New Wave & Post-Punk,roc-auc_Noels,roc-auc_North America,roc-auc_Northern,roc-auc_Norway,roc-auc_Old School,roc-auc_Old-Time Country,roc-auc_Oldies,roc-auc_Oldies & Retro,roc-auc_Opera & Classical Vocal,roc-auc_Outlaw Country,roc-auc_Piano Blues,roc-auc_Pop,roc-auc_Pop & Contemporary,roc-auc_Pop Metal,roc-auc_Pop Rap,roc-auc_Post Hardcore,roc-auc_Post-Punk,roc-auc_Power Pop,roc-auc_Progressive,roc-auc_Progressive Metal,roc-auc_Progressive Rock,roc-auc_Proto Punk,roc-auc_Psychedelic Rock,roc-auc_Punk,roc-auc_Punk Revival,roc-auc_Punk-Pop,roc-auc_Quiet Storm,roc-auc_R&B,roc-auc_Rap & Hip-Hop,roc-auc_Rap Rock,roc-auc_Reggae,roc-auc_Regional Blues,roc-auc_Roadhouse Country,roc-auc_Rock,roc-auc_Rock & Alternative,roc-auc_Rock Guitarists,roc-auc_Rockabilly,roc-auc_Rocksteady,roc-auc_Roots Rock,roc-auc_Salsa,roc-auc_Samba,roc-auc_Scandinavia,roc-auc_Scotland,roc-auc_Shoegazing,roc-auc_Singer-Songwriters,roc-auc_Ska,roc-auc_Ska Punk,roc-auc_Slide Guitar,roc-auc_Smooth Jazz,roc-auc_Soft Rock,roc-auc_Soul,roc-auc_Soul-Jazz & Boogaloo,roc-auc_Soundtracks,roc-auc_South & Central America,roc-auc_South Africa,roc-auc_Southern Gospel,roc-auc_Southern Rap,roc-auc_Southern Rock,roc-auc_Southern Soul,roc-auc_Spain,roc-auc_Special Interest,roc-auc_Surf Rock,roc-auc_Sweden,roc-auc_Swedish Pop,roc-auc_Swing Jazz,roc-auc_Symphonies,roc-auc_Techno,roc-auc_Teen Pop,roc-auc_Texas Blues,roc-auc_Third Wave Ska,roc-auc_Thrash & Speed Metal,roc-auc_Today's Country,roc-auc_Traditional,roc-auc_Traditional Blues,roc-auc_Traditional Folk,roc-auc_Traditional Jazz & Ragtime,roc-auc_Traditional Pop,roc-auc_Traditional Vocal Pop,roc-auc_Trance,roc-auc_Tributes,roc-auc_Trip-Hop,roc-auc_Urban & Contemporary,roc-auc_Vocal Blues,roc-auc_Vocal Jazz,roc-auc_Vocal Non-Opera,roc-auc_Vocal Pop,roc-auc_West Coast,roc-auc_Western Swing,roc-auc_World Dance,roc-auc_World Music
0,Musicset Supervised,0.9183114568294319,0.9754555552304646,0.8047894479477388,0.8464501815562139,0.958433734939759,0.8741045598567295,0.9419644069252624,0.9085194038727682,0.8778323916239176,0.9452836286916811,0.8733659782840111,0.8311252055438102,0.9316929276137472,0.91698957179233,0.857559921108053,0.8714233278810621,0.7740968749435829,0.8929809218410909,0.8507165556870172,0.9689514922968764,0.9129015783457769,0.6906892412660307,0.910866957190464,0.922867888357292,0.9217271215416284,0.9635213675213675,0.9702885283161816,0.9107846586910626,0.9764146710318582,0.7010836122596024,0.8485688055705277,0.8344056745718994,0.9653878330597297,0.9043874701027999,0.7025915888573849,0.9823131829953888,0.9577606421356422,0.8470053878462899,0.9106659085219282,0.9199354400808183,0.9250946249932822,0.9651757535515497,0.828638362266659,0.9657913776471129,0.9959687475572397,0.8847548889850151,0.9711656176489287,0.7938434133528258,0.8393092724796175,0.9192216953394395,0.8643101482326112,0.9625674248227802,0.9893885227429331,0.8198145871013306,0.8233136312028317,0.9801838864200652,0.8274256910030863,0.8833428759251013,0.985632183908046,0.7881910653642542,0.8959749899324688,0.8459992464650345,0.9431970901568174,0.8499615862429711,0.9669715342719145,0.937071416136755,0.9708596546641398,0.8621727463491116,0.9781434875167123,0.9656028578714413,0.894016338321625,0.8897111354340356,0.9759697187993039,0.9808379193286525,0.8893021630387382,0.97942802852135,0.9159444444444444,0.9554575790640707,0.9740001996145903,0.9329342232907335,0.9875034046957564,0.8652616836208168,0.9756177225436936,0.8808212600493369,0.9221544040050684,0.966618261365689,0.8595873002367884,0.7348732885432038,0.760144790285582,0.9323183937746264,0.7485356715785729,0.8519856217557077,0.8670030969119529,0.8574484160147035,0.9889445036197216,0.8859113642711127,0.8777859784127651,0.9034014883561875,0.9808131437097992,0.9517948839863066,0.7157703890491489,0.9751035018112817,0.7962751584919501,0.8942264957264957,0.9053584695583832,0.9258240873765609,0.8935437361065771,0.9233839952061884,0.9390631734336411,0.9203163306364948,0.9924303136037346,0.8813631398547442,0.9202424992049516,0.9628716285176787,0.8942581011938602,0.8883461400423888,0.8933191268279221,0.9394910796884822,0.981859847353844,0.9132017747457052,0.9525038480190609,0.7971018319041383,0.8583480845528848,0.9293983661642707,0.917205740773508,0.8198156903818431,0.990191082902256,0.9630953132563083,0.958269891351789,0.9259778774990229,0.8865462119281254,0.9912499770648281,0.8766918271733473,0.946626373054899,0.9536948268600041,0.9519715403342378,0.9274861252097352,0.9209954521750024,0.9924005444924231,0.9721192922181007,0.9979133733797028,0.9958812994402666,0.9340402991793243,0.9481099331061467,0.9671560686268257,0.9412297786598807,0.9480969848096081,0.9151253157254975,0.8432851588911426,0.882924592280289,0.926588118975035,0.9758726862090259,0.9137876104982368,0.9228638547035518,0.9727530926533704,0.9764176490765648,0.8958583685681082,0.8553564653528417,0.9356891921219684,0.7410457541334926,0.986194712600164,0.7572752255648241,0.8217311698970895,0.9928549050254157,0.9236847864145659,0.9219951742976911,0.9052336209010455,0.9509604748986743,0.9874710833770728,0.7183264557194344,0.8642718989277928,0.9436468887423708,0.9329568430753337,0.9353889559880874,0.9528255880665519,0.8536808875215406,0.8420931073682246,0.9509695286390792,0.8560240870520475,0.8070710444284589,0.8932460113672427,0.934564449846103,0.9359698271122553,0.9495000466388669,0.9650685679755354,0.9006230071745159,0.9343197295421912,0.8492998211622517,0.9571448245429348,0.9797844333842597,0.9572491651727836,0.8399901781480729,0.9355628242725017,0.8793369658527279,0.9655546303670987,0.9977560232304066,0.8755891287564818,0.958489662270178,0.9839136097665286,0.823996253435378,0.8398938382797099,0.9677235977766548,0.8686651700984067,0.9321692987130423,0.9523591268510445,0.9878751273337,0.9645970441406592,0.9033953600427589,0.9343635454386776,0.9562435105030013,0.8056846423552078,0.915655360288206,0.9061724108908807,0.9157303370786517,0.9904100712764973,0.7030064083927676,0.9962359479600859,0.9357160958656143,0.8292890411376256,0.9537035234098897,0.8307863902742909,0.8619956746857447,0.9201409609586559,0.8489499768609599,0.9082955799526057,0.9041239245894285,0.9756633454320278,0.9483554775179205,0.9620367872663526,0.9597279488354177,0.9949096292554237,0.9763852430176467,0.930201654474663,0.9198510378510378,0.9060007226016891,0.9300718935289058,0.9575305196086724,0.6106499600218828,0.9102529444536055,0.966834471716198,0.977562581720022,0.9675170228358027,0.9490389491340303,0.8641336199225534,0.9229074899809662,0.9565545965280613,0.7854126348815388,0.8347504606809627
1,Audioset Supervised,0.885986604988806,0.9598017211568052,0.7727050254479808,0.8019892810207839,0.9002762931424948,0.850777106436837,0.9034612513703596,0.8861604388984837,0.8378088199795614,0.9281749084347379,0.81449458826508,0.7970002694523899,0.9159589461891511,0.8841880964876475,0.8514907383677093,0.6969549243274641,0.7479328771822137,0.860702756145376,0.8058643558132742,0.9525221370433739,0.8793064033658406,0.710652599658854,0.9017000769033581,0.8816650854366455,0.9035205903217929,0.9133901098901099,0.8907001704653071,0.8448312514661037,0.9364631977797351,0.6467505181210161,0.8212940565554051,0.7845037829222336,0.8982273645662331,0.9185685644448106,0.6581989239098553,0.925047993342726,0.9311462842712843,0.8048389504212214,0.8620132461057246,0.8948967672685946,0.9100285218539589,0.9298002278893999,0.7880245967597971,0.9229121686802334,0.9867039393115976,0.843930814970721,0.9395704749189395,0.7981320827869601,0.7924480314955944,0.8655807941817087,0.8884529106207287,0.9427010355599597,0.9562943327091288,0.7874073748199386,0.7874852512299918,0.8471505561288843,0.721526243026686,0.8464151663591831,0.9516862447896931,0.8085564031017769,0.8583146364898182,0.7871550607506784,0.9295496500486987,0.7627031609034355,0.9138500667968349,0.9028419460506603,0.9611576121288692,0.811049947184683,0.9503308028208616,0.9271541046611173,0.8730705310290249,0.8632952047827677,0.9737387060608059,0.946136167162165,0.8651454016839489,0.9348909154304997,0.8536483516483516,0.9196267763944943,0.9572949535896078,0.9238422118182968,0.960570899384431,0.8308576588530149,0.949102952561343,0.8365947100396997,0.8955352871796183,0.9456881054843732,0.7974092431133787,0.6843150038383353,0.825952816886588,0.8819510288686253,0.6660605762772945,0.7128686434838531,0.8301815942833356,0.8109681537697709,0.9624984203209908,0.810323037168989,0.8115007037143881,0.8649151740358788,0.9643970262980147,0.9337303474071257,0.6878975366125525,0.9374820309355414,0.7568187091607225,0.8429542124542124,0.8628491587715151,0.8953650191172537,0.8734225621414914,0.8499667701694177,0.9145384450971389,0.891460836294782,0.9773165718035163,0.8332181911029473,0.8885142209970724,0.93335374566238,0.7515386706873965,0.8491542548630272,0.8556569992137689,0.9095118191725619,0.9721580353977876,0.8695100540875782,0.913360181612443,0.7251184542164772,0.7803711778760858,0.838796958020439,0.8129502249876813,0.703614152252915,0.9581641702142981,0.8637834880148157,0.9384882095090229,0.902411121596591,0.8598270039505543,0.9746836475282,0.8018944746040009,0.8801256295001347,0.8625762057597293,0.8529172724762396,0.757210792162444,0.8190414315306155,0.9650497164853195,0.94986197314537,0.9861215820747911,0.9820179820179821,0.9179943445664877,0.9036744288779502,0.9522728308110029,0.9269626332419204,0.9312411911387373,0.8797695389762001,0.8057370494616944,0.8546078863940909,0.8915533170219702,0.9633301923680955,0.8865007086020767,0.9245748746537639,0.9469389043170916,0.9687449224603275,0.8482787906543724,0.7975840536716581,0.8925745573580742,0.661932449148591,0.9357688182219699,0.6953768330941901,0.7959467138076899,0.9707921471718836,0.8800782091682827,0.8993347166239608,0.873002073162576,0.9266826728996108,0.9818141171439124,0.6711737551265798,0.8274203361203794,0.929686968829959,0.9136194286612656,0.902114850601054,0.8847261225352538,0.756744521141433,0.8109670895852281,0.9325390488909534,0.818903792733601,0.7490862535539342,0.845117631407698,0.9013273224591909,0.897231589431595,0.9189878295494686,0.9331478472382969,0.8724432239747413,0.9106119339441608,0.7599132281827632,0.9426510860254439,0.9515715115126253,0.9300021902212331,0.8160653387627071,0.8966219264606361,0.84133709700496,0.9312658388241257,0.982949514116497,0.8393932037596348,0.9432518544442896,0.9403053984176046,0.7834825797069299,0.777583735735084,0.9164867472093344,0.8420675236712972,0.9030739839170663,0.9146563224301503,0.9427832217003669,0.9513239592811118,0.8592052638295413,0.9005279314672644,0.9179028710456307,0.7663131014728087,0.8152030821350321,0.6511015023355637,0.9406903589614106,0.9814466741694559,0.6832500324749633,0.9811828975622079,0.8029125334877996,0.8062452871864789,0.9108985717484641,0.7552218985127186,0.761986120778755,0.9224128514693063,0.860982277737797,0.8866354029826432,0.8626288817478098,0.899797443233746,0.9068713344435595,0.9551809998084658,0.9309439509870288,0.9936537004294014,0.9644898232913882,0.8966280592760238,0.8978119658119658,0.8667622398230231,0.8886364924144335,0.9208858439764301,0.23581302865799772,0.8703571637933106,0.9255780485728332,0.8827594478889873,0.9447000750425179,0.9265551048005409,0.8273665856607201,0.9260015535764983,0.8906562858420326,0.715396287825475,0.7598039703076206
2,Musicset ULarge,0.9136890794997912,0.9701503059947907,0.8056720947792232,0.838942043187334,0.9428073195035782,0.8804057355524176,0.9380038839653123,0.9069789891457264,0.8731440627497915,0.9381015250341991,0.8677660841595268,0.8287362337464936,0.9241971137050823,0.9096771920617335,0.842687823377125,0.7226654122879227,0.8315926775107869,0.9008580467136487,0.8297643516406009,0.9694519861546703,0.9188582731421808,0.676942321056289,0.9057567290438349,0.9102062036115327,0.9125748659681114,0.9248992673992674,0.9320874634341394,0.8725318144499179,0.9694913000847556,0.6766919000280208,0.8183109407934234,0.8189149882659648,0.9476299090794292,0.9364633000299718,0.6876537853604484,0.9794624196334655,0.9637265512265513,0.8326150073266364,0.9003332717301346,0.9156735383255462,0.9290111016422139,0.9541304953725336,0.8256310540958439,0.9526591712986356,0.9960853796685415,0.8583437171135458,0.9694210693623244,0.8333609092308465,0.8299237900396849,0.9111161682449629,0.8615247315193656,0.9638067318872691,0.983281046069538,0.8203652697478437,0.8160906298003072,0.9314439225982791,0.8084054598736284,0.8681652070035555,0.9729379815586712,0.7805335368521084,0.8838519979162515,0.8426138798185606,0.939022307036022,0.7797130994414243,0.9678270475798992,0.9304508124635242,0.9614024005053695,0.8402851790273456,0.9841226122233507,0.942522677182565,0.8943274725475155,0.8920196731715057,0.9750601159705559,0.9818064253132885,0.8975762130325049,0.9721900456088868,0.8992063492063492,0.9573112081016297,0.9734128720700801,0.9339451790459319,0.9846685188211581,0.8564258071649713,0.972016882409674,0.8741373191313547,0.919128327971576,0.9610500987697503,0.8165630416788041,0.6937721270544918,0.7624387061472736,0.9370323891509817,0.6683960133761107,0.7139797418347191,0.8652038238286851,0.8488625465265807,0.980664728927082,0.8128029060202168,0.8166816734124174,0.8987347183038386,0.9732594175323042,0.9435748700393052,0.6756516775543857,0.9675809326663216,0.7875744743755754,0.8919175824175825,0.9125703638967289,0.9251850300828959,0.8764344230440393,0.8867832434493653,0.9330101243316309,0.9188861676211657,0.9852536357562595,0.8635941169708116,0.9193925201338949,0.9617468816029747,0.8064666738073071,0.8849540545944719,0.8893537610222045,0.9358832879013729,0.9797212126382427,0.8851586748590613,0.8929568951581729,0.7834030329911714,0.8135586575837351,0.8498905828319646,0.8337301791867006,0.7965596454679283,0.9906012227489858,0.962274554370015,0.947743797678662,0.9233018919292485,0.8955313336306869,0.9881919541378108,0.8033910909496542,0.9307677235772784,0.8947650541339545,0.8902430670025387,0.8061322910235078,0.9008469267948759,0.9952942873369452,0.9566870687475398,0.9972194524834423,0.9919605865174602,0.9329097256740846,0.9189464218099205,0.9562792816597269,0.9426562186883203,0.9479479117728549,0.9162171956609709,0.8417809265616061,0.8590394891656045,0.9212111008020749,0.9697945979671331,0.9061646459437105,0.9284457066722765,0.967464024236304,0.9767268148255132,0.8926796597250666,0.8456694247267125,0.9278547917457906,0.6414227363051629,0.9692220329358319,0.7405741060499201,0.8272870762043059,0.9932359650234445,0.9203705761150615,0.9209295467259941,0.8780278205042467,0.9447507427860937,0.9819866448941506,0.6913445069068629,0.8638346215896353,0.9417051074992389,0.9330084009890922,0.933883095131179,0.9379918168916267,0.8330883140400923,0.834664786960183,0.9374568542819908,0.8465062679113526,0.7994801836056589,0.8962708647887956,0.9313254078099342,0.9343717888161003,0.941408432612954,0.9590272828044153,0.8991319010239873,0.9331059167149098,0.8545668188186378,0.9579002907219885,0.9746354561185028,0.9591508169732803,0.8385239997082102,0.9306964296700367,0.8648540832061554,0.9541135688943596,0.9972816399286988,0.8865548515778262,0.9531914089031122,0.9568680624404657,0.8055256898485352,0.754378944893567,0.9483669438191924,0.8642567398735759,0.92756523599606,0.9458716211684217,0.976994293647288,0.9665951704466165,0.8988659624497775,0.9299079894829292,0.9538804120101005,0.8105659588663942,0.8529994353715195,0.9216797121575558,0.8970563481041955,0.9901313962495798,0.632995026691327,0.9896772767462423,0.842610057200782,0.8190550951702706,0.9372559948594628,0.7939867125745599,0.8352459758819683,0.91752957316546,0.8103944237971267,0.9054010073905903,0.9048674255115211,0.9664755495704528,0.9350010860907972,0.9619518838039292,0.9545418367556258,0.9863251101568858,0.9719889023546422,0.92295056181618,0.9211355311355311,0.896250141290833,0.9280436068940885,0.9483964870732189,0.3113821908008248,0.9034849290619373,0.9443744112404665,0.9758767767514446,0.9652571997450817,0.9450496047225256,0.8689043792305663,0.9180355246344785,0.9528513248187244,0.7389441121276097,0.7918188374185626
3,Audioset ULarge,0.8529501097366101,0.9567031735965676,0.7681546854447119,0.8056903444066361,0.8755110668236857,0.8215813989530238,0.8836470639029356,0.8906188117868186,0.8314077977586882,0.9200911657262667,0.7863524158606126,0.7884520651107518,0.933496861937287,0.8769554104223765,0.7861263088300294,0.6305091993713852,0.6578257298117023,0.7881644155086969,0.8806278931095703,0.9479880704730744,0.8600079444214759,0.5812142270516141,0.8788810561394514,0.8605670279136904,0.8725170665333132,0.8972380952380953,0.8019151040680178,0.8382117933380249,0.9303508217971516,0.6440833428908699,0.7737077181958011,0.75454786568772,0.9294418487182725,0.862803046857555,0.643357363568961,0.9371760964316023,0.9310515873015873,0.774653850536618,0.8586157745467872,0.8771625205202677,0.9310264412557293,0.9126429432161917,0.7523516051335711,0.9231533373145299,0.9908505830985181,0.8338500474533376,0.9491024222773221,0.779503123484869,0.7773811075228698,0.8501324263422574,0.8771938650032419,0.9186733892646147,0.9234482031826325,0.7738708365136026,0.802309156481667,0.9304634134355496,0.704987440732916,0.8567763004432004,0.9742926613616268,0.7863820095863804,0.823821224802964,0.8081157685810395,0.921207633996995,0.7289647901137701,0.93550337409653,0.8941047973985647,0.9558512318382817,0.8001863930691147,0.973019343214382,0.9091800847586261,0.8686296695312907,0.8559130943143003,0.968235558216103,0.9473042781537943,0.8673052862097331,0.939615612326802,0.8260293040293041,0.9059809115648048,0.9442557062901629,0.9156741638196465,0.9621768262788037,0.8111318738021525,0.9435668169917982,0.8287115729230238,0.8920564134773035,0.9450401529855988,0.774246841138315,0.6502536194014271,0.7193720142264873,0.885011396270302,0.7403780225540508,0.7601606642473242,0.8315848403558269,0.8297628262257267,0.9771262479464173,0.7954209410886662,0.793150013757918,0.8393036079614928,0.9691678733351287,0.9002622987194117,0.679058327118549,0.9273848542349491,0.7389827511358278,0.8558968253968254,0.8774175810306234,0.8845753597420533,0.8774219247928617,0.8344631475731329,0.9109210605122882,0.8816668710260037,0.970418417405836,0.8380278568517195,0.885791824262239,0.9358728753248043,0.6924855745331806,0.84287375761775,0.8427877537352484,0.8886505197910405,0.9572302474138552,0.8426799303035087,0.8892121927734553,0.7228268139511962,0.7243909279245864,0.795186339043049,0.781357208174328,0.7614081969880664,0.9522359274678639,0.825763410989751,0.9340192286121394,0.8929632755464899,0.8491935612335925,0.9761759627165845,0.7387242507622518,0.8876877731861177,0.8314824712944024,0.8280101339261814,0.7427299064083915,0.8345698794724407,0.9657618837274292,0.9419811480601948,0.9947226343053089,0.9490230634682832,0.9162273698348531,0.9303925280827969,0.9414627390595246,0.918882675736588,0.8698486983966367,0.9090616642128719,0.8625338066260987,0.8515499885609701,0.832370294213526,0.9637336034136096,0.8718176182049003,0.9394481259422881,0.9231065387528402,0.9417346680868733,0.8587422556061187,0.8078008543320288,0.8933296258115856,0.5436927190813579,0.751618398637138,0.6978347398201966,0.7746617000231496,0.9683174573001592,0.8599143503555269,0.8671249115532529,0.8717147060790477,0.9277817137366985,0.9661432514920005,0.6600675511035515,0.8086073211163386,0.9318145726343211,0.9133439339901325,0.9075814997186995,0.9032755080472264,0.7743043723774011,0.7872139618093776,0.9122779003600047,0.784058433866813,0.6579548179358066,0.841728615895547,0.8892436070098061,0.9013856995684244,0.9223788574548023,0.8838236720899195,0.8585591744889557,0.9081398179389567,0.832059087475547,0.931397866596678,0.9451497333145035,0.8906155767288475,0.8151270685810159,0.8565690174927711,0.8118000246407223,0.8792022663094635,0.9754154447702835,0.8193243709216617,0.9174790828175097,0.8606753367936082,0.742399526749732,0.764920514350822,0.9318382792043732,0.8354028107837977,0.8701865240840317,0.9054895998688339,0.9256371192384318,0.9401752936601413,0.8524887079800375,0.8852168106899542,0.9216337558290275,0.790118931346187,0.8069189236462725,0.6715219038000253,0.8455371796490342,0.9848073390919676,0.6303343993368922,0.9494031830238727,0.8197333647092897,0.8002512865822232,0.9343534898211522,0.7234850208711806,0.7780379252884474,0.9225693154343055,0.8163596071867616,0.8851553131890425,0.8494090158227018,0.878719602496335,0.8903835710665412,0.9669748929765115,0.9150712607210176,0.9843675451152086,0.9565047693240182,0.90092906721294,0.8958119658119658,0.8571085436548306,0.8871192945452762,0.918635287152161,0.29602743761309597,0.8571117089449732,0.8772908410301198,0.9390091842760133,0.9428362049352083,0.9183537473344776,0.8311135709507766,0.9271376233168271,0.8750874788592756,0.6875135614590664,0.7420497578939257
