,model-name,map_Acid Jazz,map_Acoustic Blues,map_Adult Alternative,map_Adult Contemporary,map_Africa,map_Album-Oriented Rock (AOR),map_Alt Industrial,map_Alternative Metal,map_Alternative Rock,map_Ambient,map_Ambient Pop,map_American Alternative,map_American Punk,map_Americana,map_Arena Rock,map_Argentina,map_Australia & New Zealand,map_Avant Garde & Free Jazz,map_Bass,map_Bebop,map_Big Beat,map_Blue-Eyed Soul,map_Bluegrass,map_Blues,map_Blues Rock,map_Bolero,map_Bossa Nova,map_Brazil,map_Brazilian Jazz,map_Britain,map_British & Celtic Folk,map_British Alternative,map_British Folk,map_British Invasion,map_British Isles,map_British Metal,map_British Punk,map_Britpop,map_Broadway & Vocalists,map_Cabaret,map_Cajun & Zydeco,map_Caribbean & Cuba,map_Celtic Folk,map_Celtic New Age,map_Chamber Music,map_Chamber Pop,map_Chicago Blues,map_Children's Music,map_Christian,map_Christmas,map_Classic Big Band,map_Classic Country,map_Classic R&B,map_Classic Rock,map_Classical,map_Colombia,map_Comedic Music,map_Comedy & Spoken Word,map_Concertos,map_Contemporary Big Band,map_Contemporary Blues,map_Contemporary Folk,map_Contemporary R&B,map_Continental Europe,map_Cool Jazz,map_Country,map_Country & Bluegrass,map_Country Rock,map_Cowboy,map_Cuba,map_Dance & Electronic,map_Dance Pop,map_Death Metal,map_Delta Blues,map_Disco,map_Doo Wop,map_Dream Pop,map_Drum & Bass,map_Dub,map_East Coast,map_East Coast Blues,map_Easy Listening,map_Electric Blues,map_Electronic Pop,map_Electronica,map_Emo,map_Euro Pop,map_Europe,map_European Jazz,map_Experimental Rap,map_Far East & Asia,map_Flamenco,map_Folk,map_Folk Rock,map_Forms & Genres,map_France,map_French Pop,map_Funk,map_Gangsta & Hardcore,map_Garage Punk,map_Germany,map_Girl Groups,map_Glam,map_Gospel,map_Goth,map_Goth & Industrial,map_Hard Rock,map_Hard Rock & Metal,map_Hardcore,map_Hardcore & Punk,map_Harmonica Blues,map_Holiday & Wedding,map_House,map_IDM,map_India & Pakistan,map_Indie & Lo-Fi,map_Indie Rock,map_Industrial,map_Industrial Dance,map_Instrumental,map_International Rap,map_Ireland,map_Irish Folk,map_Italian Pop,map_Italy,map_Jam Bands,map_Jamaica,map_Jamaican Ska,map_Jangle Pop,map_Jazz,map_Jazz Fusion,map_Jump Blues,map_Latin Hip-Hop,map_Latin Jazz,map_Latin Music,map_Latin Pop,map_Latin Rock,map_Lo-Fi,map_Mambo,map_Meditation,map_Memphis Blues,map_Merengue,map_Metal,map_Middle East,map_Modern Blues,map_Modern Postbebop,map_Motown,map_Movie Scores,map_Movie Soundtracks,map_Musicals,map_Nashville Sound,map_Neotraditional,map_New Age,map_New Jack,map_New Orleans Blues,map_New Orleans Jazz,map_New Wave,map_New Wave & Post-Punk,map_Noels,map_North America,map_Northern,map_Norway,map_Old School,map_Old-Time Country,map_Oldies,map_Oldies & Retro,map_Opera & Classical Vocal,map_Outlaw Country,map_Piano Blues,map_Pop,map_Pop & Contemporary,map_Pop Metal,map_Pop Rap,map_Post Hardcore,map_Post-Punk,map_Power Pop,map_Progressive,map_Progressive Metal,map_Progressive Rock,map_Proto Punk,map_Psychedelic Rock,map_Punk,map_Punk Revival,map_Punk-Pop,map_Quiet Storm,map_R&B,map_Rap & Hip-Hop,map_Rap Rock,map_Reggae,map_Regional Blues,map_Roadhouse Country,map_Rock,map_Rock & Alternative,map_Rock Guitarists,map_Rockabilly,map_Rocksteady,map_Roots Rock,map_Salsa,map_Samba,map_Scandinavia,map_Scotland,map_Shoegazing,map_Singer-Songwriters,map_Ska,map_Ska Punk,map_Slide Guitar,map_Smooth Jazz,map_Soft Rock,map_Soul,map_Soul-Jazz & Boogaloo,map_Soundtracks,map_South & Central America,map_South Africa,map_Southern Gospel,map_Southern Rap,map_Southern Rock,map_Southern Soul,map_Spain,map_Special Interest,map_Surf Rock,map_Sweden,map_Swedish Pop,map_Swing Jazz,map_Symphonies,map_Techno,map_Teen Pop,map_Texas Blues,map_Third Wave Ska,map_Thrash & Speed Metal,map_Today's Country,map_Traditional,map_Traditional Blues,map_Traditional Folk,map_Traditional Jazz & Ragtime,map_Traditional Pop,map_Traditional Vocal Pop,map_Trance,map_Tributes,map_Trip-Hop,map_Urban & Contemporary,map_Vocal Blues,map_Vocal Jazz,map_Vocal Non-Opera,map_Vocal Pop,map_West Coast,map_Western Swing,map_World Dance,map_World Music
0,Musicset Supervised,0.28999403625559333,0.5923594445946984,0.2883791704825416,0.15681449832641703,0.36395273689115815,0.17683778314239817,0.2721620983136454,0.21984009093102602,0.6222454533448709,0.21956258696485298,0.024842576679940196,0.08835444905290499,0.023514679816582777,0.1904034009384808,0.025981432330838765,0.04216336420082685,0.005510873857047087,0.06540820840103184,0.31860804185026737,0.5566755752075384,0.05155360246451177,0.0029459963755193493,0.5318765136165432,0.6253181588977161,0.17280848664500367,0.16993832903007994,0.13598037457525466,0.4864557869388916,0.06703028580677772,0.07356419908317625,0.1366656187261333,0.06765245050618163,0.03477950044535749,0.2632119738392954,0.10510944516172174,0.15965516280432127,0.059916486764987974,0.06358059161471731,0.4211585327070117,0.022528021203403144,0.7407081501029609,0.35798638991620724,0.01322524889151797,0.1336790151156206,0.40024950813934385,0.018457285670818856,0.2808613529899499,0.07557145258603995,0.33869430160954156,0.21432666110565946,0.2548354422417864,0.3925809224043487,0.39945011517298246,0.1858513285124159,0.370915208565303,0.2078102706859126,0.018924750091545157,0.4691107874388993,0.2603011057566681,0.2939678258580497,0.1386843425093942,0.1993985269836483,0.4268244434344094,0.18378719598617024,0.16552218829333082,0.7054085438226456,0.06741397788145236,0.10415237811250225,0.130441480628848,0.3048916127858594,0.6479706435468195,0.5249859505061679,0.5987017865805545,0.18530084642205058,0.17915158360818506,0.22054619044893783,0.0880981136779554,0.34729350014175353,0.3544437839401216,0.08382663937690271,0.0743879377543263,0.18586565198765043,0.5885297122244798,0.14406065941335272,0.3996927771693598,0.28495420566241103,0.12888523890379133,0.20798135737046805,0.002369029748727109,0.0786423563442708,0.004988996134596557,0.00581370138583992,0.4692820003013002,0.1944648923883566,0.217610819158743,0.10542891934006571,0.07127785238809597,0.1664344489674513,0.5308120561835851,0.1544143411826656,0.025802502616107528,0.19715261176653184,0.09221162519291297,0.4676632286902362,0.05410484299820093,0.33282030161481163,0.23102137403787376,0.03198586449417465,0.32773545355493205,0.627467753362492,0.29468238683668757,0.29474690442534274,0.21800742006924964,0.10480161295939203,0.03578582792751178,0.5170533291159788,0.5211938960947162,0.3433862218553727,0.22747373294558712,0.10939429048217247,0.08169250063721166,0.12537530573487696,0.13802610443497407,0.04345696057455137,0.07247235935483316,0.03627260799234488,0.2364915087221265,0.054434732075371396,0.21513497196734124,0.7597335598219163,0.15414779758902664,0.24079627847972362,0.040666229230746524,0.3637669857036573,0.8071926410322363,0.597409462129387,0.20749587711088838,0.08350862466578543,0.339567368449356,0.5396118331428198,0.7965892273076844,0.5915110437042527,0.7770473791696374,0.028214047260504176,0.4667374842730689,0.26246788287210904,0.14731528772545807,0.12890506059332338,0.16498710651236817,0.06131063830070407,0.25754703888688707,0.35178853816771244,0.3973251693221595,0.09157044719254233,0.014383629633353842,0.06363437180723176,0.22843681550520006,0.2526836020494153,0.2312457739185027,0.005688574102717063,0.02213858002912646,0.005276421047536659,0.008439341404900541,0.43212771609542716,0.3195876895525862,0.26767998178418495,0.3902253532649512,0.13269565923188198,0.5054628281947833,0.4113277374115932,0.3527437037160881,0.4858549248964368,0.5871973353521083,0.14939068789500587,0.35091214633177154,0.06059097707596949,0.19142788074602823,0.20872666536849377,0.1772675601969269,0.04009908619465498,0.08083684009263245,0.6250488794095729,0.380391607035532,0.24289399391169897,0.08330892114051695,0.5726716133194749,0.7570677743635201,0.043800535818452606,0.8336967312685831,0.6953180419718807,0.10432753409050989,0.500636887024942,0.37039770552902584,0.06737080665053273,0.2832779675703558,0.5414740809618654,0.037799988548207306,0.7620432047657997,0.21495802881161247,0.02596236692066314,0.042830007051413856,0.03854945535714831,0.3316614826773675,0.3774815304504847,0.33838318563915576,0.021397186225744186,0.49530527350484094,0.09672242971189779,0.5533576428848472,0.2190113257593099,0.22015601706215496,0.3960277485653995,0.006675533860474457,0.05653045557741942,0.4390621217897813,0.010118426433051891,0.39468187120723097,0.12344192825506349,0.13987550394393122,0.21823388245112302,0.021289725507066436,0.02604073182333768,0.3491967867760265,0.33007051762416495,0.35673094608011124,0.18090518341153702,0.13518937467118025,0.3155105504575841,0.3113552714490332,0.7120073329215936,0.11348125704901338,0.6602477309863131,0.4623903820511595,0.09778095652323528,0.1890126629364044,0.4566913234430327,0.1291187075469831,0.0009932157670039827,0.17428872666782919,0.034420129858323316,0.31867552867902144,0.584629199559277,0.33082346391304035,0.4277764728634993,0.2669637280064764,0.07114931140612013,0.04879435217832421,0.6631467358858063
1,Audioset Supervised,0.19245398367305255,0.46473567252255915,0.24491956921192323,0.1176365381554107,0.21540078537665538,0.1398635841010874,0.17534536425114386,0.1936273348138141,0.5790826784334745,0.19378224906219899,0.018193332495643144,0.07368862911242338,0.024231510252051593,0.17183950945979953,0.01683175179317959,0.015134230655007469,0.004230808996028064,0.022917414797437568,0.16792491946656904,0.512394529889085,0.03101580003326471,0.002786536351272007,0.5052752108537011,0.4727466657780747,0.1706852219315941,0.1303694984207247,0.022476070509559205,0.20751822037594764,0.045901130617958356,0.04753312993813142,0.05820262559615185,0.05568818954298264,0.02203768281578211,0.1684417366586584,0.0664684923656288,0.021196430347017847,0.03480805074169,0.05465339682615859,0.27196546653110204,0.028464532061043067,0.6570062982754428,0.32135614559176706,0.03102816650292239,0.103657204662538,0.2772540448848201,0.018195202665502275,0.2399330625909683,0.03220092696595806,0.21369228323679143,0.1853034555123179,0.1523103192980534,0.321314293359482,0.14378949970875002,0.15488310654946644,0.26433206926141284,0.22858629528587604,0.010454584841294808,0.4640841791868923,0.048793022092116646,0.18860360715135382,0.07687388133733844,0.12675065075986908,0.3908020380257687,0.12361487626241731,0.12500702864299076,0.5852469871482663,0.1104917861660757,0.06386593983448693,0.2808648360913584,0.2510391274816201,0.6041461200636071,0.47055178744959314,0.5664437641230343,0.10442484512892745,0.12745891350975855,0.08147733467874461,0.043542951982265876,0.20859579543655282,0.364418077172215,0.07815956039399893,0.042292301784922846,0.13552277107816418,0.40892797819311794,0.09287680383247458,0.3337362739952611,0.24946509343259596,0.10586742576079194,0.16127148595478694,0.0033348510566255274,0.06758445177886425,0.012050244784546594,0.004089486017488372,0.3622407526888106,0.13026143176028102,0.11882191291177417,0.08532735868542066,0.07723411951812031,0.14115522214304455,0.455521527283712,0.10996514562870205,0.015022345732402928,0.10896555814048604,0.08044410645074072,0.32442441773952485,0.04202396371252099,0.22871134956214803,0.16673993769713671,0.008690361585395627,0.26709124585434485,0.5558664940775798,0.34410622798033347,0.19479721144591242,0.16423743204363503,0.09226794248532189,0.020274995040256674,0.4288631205363378,0.4358022068536405,0.23661468953053508,0.17100057057199053,0.06524784729352065,0.04709274411489516,0.05279223201082554,0.07381388880703488,0.024437722333440586,0.0347057818652159,0.02116462006256949,0.1401753889491093,0.005397345369768726,0.11422080115919471,0.6824304359113728,0.1148220797753872,0.1189385150711171,0.017544557004501242,0.19567309393838156,0.5373602736146801,0.28076034928512517,0.03593526007065725,0.04317759275983968,0.02894252826208576,0.4552087585461966,0.5526054480347409,0.5132128845477186,0.7246820911108278,0.013328032048863033,0.3986384219161035,0.20850254333525192,0.1118663584702103,0.13290856375532697,0.18880191547227324,0.05915130332695203,0.12040037903778068,0.29680762559377494,0.3374008949322654,0.2556719878780533,0.007393015393835245,0.14131535919632784,0.14454479603787077,0.14887892570415065,0.185379097849528,0.004848816451893667,0.0045644015445437955,0.004116636475154785,0.005861520746646971,0.2521686252454095,0.2126204336894876,0.17464497152609496,0.23424474547144264,0.11050871227905734,0.31925082165799956,0.40178779582594404,0.21265190746282422,0.43706436083140177,0.5656475483398424,0.11912934284958225,0.09334365955547255,0.015361728910267285,0.15465883298608682,0.1495602153419032,0.13383624787230772,0.03068979855923276,0.041869136828656985,0.5298940160483803,0.26750669738551475,0.19208867860599618,0.05126802025435572,0.49892675955222254,0.7094088713461445,0.011434752601505654,0.7048890892499463,0.5347815989903669,0.06695896383273697,0.48893482317855885,0.18507638417297095,0.056490533659524444,0.11789235074651272,0.3503199831372891,0.02531771810494549,0.6834872042781434,0.027606598248783584,0.02245032028366448,0.047215247100055056,0.010824961879069435,0.27990990260251725,0.18885386885801517,0.1886853469042039,0.011964049667555238,0.4186851451203174,0.04499440583320434,0.45700773610458395,0.16338679045843305,0.2107880348341858,0.15337684346320654,0.0017745189522008753,0.03660008268692109,0.28968099061000885,0.011334372476762868,0.18224208339967168,0.07538947233517053,0.11015794705815413,0.12063209240074255,0.011847968310416282,0.008491255476715566,0.23232787462276094,0.22369869337649367,0.3052898148851073,0.10804904793683494,0.06204078977138446,0.21198778985328268,0.1917330074367937,0.5757846080615111,0.18293651507793338,0.5318885445659782,0.2883957989174358,0.06224047818399308,0.11698115378536147,0.3322969614080571,0.0871276225631964,0.0005005583975841713,0.1018045380069899,0.02963076431822312,0.15383776687627249,0.36955630210182494,0.21827977991236194,0.3196025887613959,0.2285186252643249,0.025502839666531267,0.029078273856517494,0.5105990840970172
2,Musicset ULarge,0.22068991312974492,0.5509988211590497,0.29280051609788177,0.14914259914557823,0.27642504629764514,0.15276870489428518,0.23409097253069686,0.19929206562893612,0.6120372710091347,0.2393197776409186,0.018388690646042608,0.08055536725855872,0.021862438585425397,0.16934782543178262,0.030328372376882906,0.011252858848008314,0.007315354828791492,0.057743568809562926,0.33981073469709583,0.5710005503650895,0.035590141514658113,0.0029866935910504056,0.5114806500736455,0.5865012507333385,0.17324284403302145,0.13363982153058762,0.08987985652769724,0.2731237534550956,0.09223248995998258,0.05025000279759323,0.05243144438390233,0.058537775902204624,0.022199647938058495,0.24614089925371782,0.06770823036325649,0.2851163561989293,0.08306658544845304,0.05176859515484779,0.3835151155531983,0.011718323106196468,0.7054438829923383,0.3778603256787913,0.007802763115712691,0.03609719080688812,0.4656954182953317,0.013490161910745497,0.2911133773363455,0.04542384777383034,0.3113109450184908,0.2029908173806876,0.24179905753646327,0.4261079054998296,0.3956269124927522,0.19238883246238328,0.39284595811988504,0.25411246412612354,0.013890872985862399,0.4593208205061408,0.26053522233333465,0.27672544512079766,0.13825809169703,0.17860270429320857,0.45196410500116985,0.12163428883766682,0.15405964184057636,0.6846080728175566,0.044448283296821434,0.07870709822334711,0.06052032112123979,0.2754049515690862,0.6471596882349498,0.5219788784059921,0.5686477015871556,0.20079799032298043,0.20386232732283888,0.15640052778443073,0.083726090917344,0.34867558808109916,0.3754665933750658,0.07901664356949896,0.056458695199053235,0.16162942427306587,0.5881802803670757,0.14622191133472723,0.3947174446747926,0.2711285080580587,0.10611153332476937,0.1616028133046718,0.0025238996960737603,0.08670729260444393,0.003746319397902693,0.0029187818791160435,0.4576031969151908,0.17119765553391522,0.2646676493689198,0.06021119356376749,0.04226182767942823,0.17597126371957258,0.5035910450291543,0.10262053130478124,0.015003093411944859,0.1406002158548379,0.08940396968395692,0.4669394312728912,0.061478903555217936,0.3015510465758673,0.24201925848718917,0.014361229166797145,0.303439723046127,0.6051031240510979,0.19647848339957302,0.2605752332241323,0.22501800725183055,0.13310551710318907,0.014956420852858069,0.5120503562808653,0.5141659699347293,0.30948273431294326,0.2393513876691511,0.09742658213490325,0.018152236053219584,0.038826685102799414,0.040215742725667,0.022453954308996733,0.03321901716032178,0.02775726210769922,0.24896195020464465,0.05164399331389894,0.1304859016702614,0.748803808235282,0.17695522373440803,0.26385026126642647,0.011019828219764573,0.35117841591036186,0.6521519588387503,0.3928642908919678,0.048823406605555744,0.0820508166795561,0.3231547025619586,0.486223270331596,0.6971625867921505,0.6116312313321298,0.7694186659285227,0.009869239908132446,0.5117592109456423,0.28595491921656724,0.15083835461541237,0.1235411840160033,0.15446576161731712,0.08539961609356608,0.2319868363056937,0.3305205805116314,0.37472575865752167,0.12926495352581713,0.011813472914794027,0.08054233988893536,0.22965909291935543,0.23243063342753806,0.2165868414134628,0.004233573973386207,0.011044262148609974,0.005262771727149889,0.007114804460897561,0.42423528546332995,0.3143162008111547,0.2357713543039336,0.38601819452027547,0.1302167755782013,0.33962636401527097,0.4057694342258798,0.3234202410038387,0.45568642089528155,0.5878100534137056,0.13650741471538042,0.22126416119189735,0.03731906343476479,0.17902173899333532,0.15948561073230177,0.1685471504312882,0.0411059076001563,0.06313105789890769,0.594074515736288,0.3849587120217099,0.21231238365925986,0.07679536782413315,0.5679297832822867,0.7508759812996921,0.03117574911472993,0.8204409355330425,0.5984265848476583,0.11893562397527761,0.4949391968543211,0.30013610962732823,0.06147650047960408,0.22050157081496166,0.543238414190222,0.036738757407031364,0.7325389401746425,0.14585661350320037,0.02761602124260058,0.013545179025063057,0.02320344398294033,0.3256487178961984,0.31247273575529216,0.1668877781233364,0.013087938489263689,0.473816103354104,0.06959296470555032,0.5332897219784247,0.2091062683912315,0.21967954964152409,0.2276420276757753,0.005756768825888772,0.009799265930841636,0.4426167798827638,0.006908236923066273,0.20855397008414106,0.08578847128437256,0.12816724528384354,0.11729839622134534,0.019315955913725397,0.034921633768088226,0.3167091264857662,0.261049518348064,0.351362854678233,0.13624524177096628,0.1329408775051327,0.24024276941219572,0.22947335941130315,0.686357448522307,0.05107853679346534,0.6481349880416571,0.4232346822790909,0.08886044875454242,0.21042338524583656,0.4602418484135089,0.11046171397299874,0.0005537221084179583,0.15224260325617328,0.026663942067713806,0.16982020715313487,0.5427626500700253,0.3144609957274675,0.42576972066719293,0.2706562219456145,0.03653452958039767,0.03460803854263463,0.5879919580482682
3,Audioset ULarge,0.10821479057883403,0.43297718487670017,0.23867022022099585,0.12092267918918181,0.11454912039127291,0.151111799875324,0.13468032030702337,0.1658659026675029,0.5591638659105244,0.153910527312586,0.009882811188217438,0.06685203153972859,0.021986325860072237,0.15239444251956002,0.010344971111367684,0.00738487930052719,0.0030245572318331445,0.01859350408490596,0.09553504548997922,0.46728372353450065,0.01870119979744806,0.002057167898398422,0.439992961555334,0.38111436652820296,0.11544910248178544,0.14130480757702732,0.003711662111112827,0.1037814788474168,0.02633486522750046,0.04478419798598087,0.028766843907941174,0.03757275585385471,0.0340772846627021,0.10106829163761148,0.06139679337598737,0.01327106511056827,0.027606305034006098,0.03400079337539254,0.25370587252927984,0.03988234804441147,0.5380227622588981,0.282209577560318,0.013093837567098499,0.027521283154138834,0.253530647439489,0.014058364251041263,0.2103612217581984,0.017488818499151373,0.15447822431639188,0.07253313595260219,0.16571797816697745,0.2975120350417663,0.049771620307414985,0.14367333357187262,0.2512179335724971,0.1827040038852267,0.007235336042426712,0.4389188902960678,0.07270245905876357,0.16056356610142838,0.05816134363388317,0.13862541285014968,0.3652961280164781,0.11577025894473658,0.1336159224807958,0.550614068604938,0.04729566311378903,0.055167368895631175,0.2324561928684905,0.22578518337905823,0.59344539381488,0.4689841308498766,0.5424301128586485,0.06599403389786425,0.09862373059280508,0.10699983703063023,0.045274446189274335,0.1663837735490145,0.31548112207591844,0.12447263085045651,0.03972688904918806,0.11981587652517352,0.3421700865980595,0.06561986711571648,0.32089294002926594,0.2112822666615106,0.09681146418939786,0.14176327801640423,0.0023570415069353785,0.062483182896663284,0.008917417220462106,0.003985972308930191,0.3574819461312261,0.1400328348136718,0.1260298797117021,0.08109668581173017,0.053726156704297506,0.10482056174878046,0.42843485419048954,0.11856690252450049,0.010176322515419767,0.04344529005188548,0.047248701021135674,0.1621017805163944,0.04040964351511487,0.17789101876061678,0.15854006573252105,0.01642210374217488,0.24964487778868058,0.49734632863186007,0.11060274490251527,0.11640074935854516,0.16305790428423272,0.07000589297258694,0.007899266095364016,0.42086194334908017,0.4157520119897976,0.1697702995665392,0.09842849637030288,0.047908994178495964,0.013027782082772034,0.014586781822430263,0.01374979668632975,0.016383517507289964,0.026652922907392136,0.03086811552717129,0.14361991541515687,0.004390834421359358,0.09578330382341009,0.6557865942445501,0.11667550123043369,0.0701940486625259,0.01365168833871884,0.16686328121263697,0.4505285756920722,0.2445878282696205,0.026102405421320255,0.04863100168318374,0.01281251457265946,0.37809833293185907,0.32284883463245545,0.37217280530346764,0.718904036356425,0.013905124864225354,0.34290786411748064,0.20768964195415784,0.061404630795828044,0.14051750429841714,0.1680297893970575,0.052903342018689604,0.05893125883974773,0.23172992178654533,0.29334896320954884,0.05123456198960011,0.00446251870849952,0.039573139058392166,0.1427958887147395,0.15767851066236294,0.10846552121823658,0.0030252488937707414,0.0007667411246810327,0.00442102830737832,0.0031818474369945038,0.13131188154913026,0.17447258430934318,0.10294316056576394,0.22225766382881212,0.13342940248418003,0.17399271502210864,0.40259556903628396,0.11782530597192185,0.4470409130052273,0.566698196731236,0.09874651714849175,0.08350808072538736,0.01930313542500195,0.1280268291567778,0.09725684241300282,0.09946996441883492,0.009338358771102895,0.06361402824434849,0.4612426104648371,0.24868669860700754,0.17952554977966534,0.027482724323012717,0.4668330624427487,0.7028569781639394,0.013022361756842377,0.6574463932516917,0.4205494207959538,0.04507003871301277,0.48909472927019687,0.20077807127391248,0.03264053938371123,0.06022248316295174,0.13213013327139833,0.023156021648544665,0.6215482901036381,0.010839386774113282,0.020579314100290354,0.012940335555069666,0.016629781953547883,0.27111063566749827,0.15858604372836163,0.16994289967242898,0.008933316895032416,0.3428442479517197,0.06567216222808431,0.4176967367808218,0.11850637749391023,0.21280853921536586,0.1286923685456641,0.00129533879198697,0.008404351112422078,0.33189862950013094,0.007149628189133593,0.05094935778171021,0.04172664811692998,0.09527664004074671,0.11028419305800262,0.01242537740717574,0.010489074440270902,0.23167876221034078,0.0864398129926803,0.2826978007792881,0.08226630891464515,0.05076982045378767,0.23110656875761945,0.24073026301721084,0.5012648556518573,0.11962603724724273,0.47320375311752777,0.2671231639740654,0.056872664039989744,0.09770363851461657,0.26698039073913943,0.08290914440581426,0.0005339004159860538,0.08683789064391813,0.01893107485339096,0.1431865899273747,0.344090611663536,0.18424196849379335,0.31269310331499256,0.21440021315011354,0.011824370943717815,0.02201858761696672,0.4741270642305188
4,Musicset USmall,0.15160206097498244,0.4366084751565876,0.2641160527621693,0.13380286763835839,0.10624960335539324,0.1190313301865457,0.18882340966110828,0.18809037474560883,0.5786804900376645,0.1766625792232429,0.015364684832495808,0.07573261878580366,0.015707213841037262,0.1475711334323885,0.03171352201429504,0.010815737539155799,0.0063337211411187535,0.025603284090463977,0.2823423929621837,0.5201170924265441,0.04175787134696024,0.0023053133785811888,0.48650982025779965,0.47507155749789026,0.12175470158937575,0.1364349677631291,0.02146339503117483,0.1705401485653254,0.04545076905247656,0.04518329872062164,0.03676364746442745,0.047083911218873405,0.013612513361777927,0.16032081490242234,0.05852881946616652,0.09780807374939604,0.08969217904160023,0.042892387263645616,0.29568512569424366,0.007781694065174694,0.584427596537134,0.298617920224825,0.00606390862149481,0.02588414947726523,0.26567207132845533,0.01939582654452456,0.22622397552341442,0.02081694353173705,0.20440760868252092,0.07886859697987685,0.1767336323585572,0.333201424968001,0.19103165374590844,0.16509567032257116,0.33591782911717016,0.15442293988274242,0.013041724350043232,0.42902994114027443,0.18515006844072754,0.17550191498526255,0.09954777249158958,0.15737537238606372,0.4111367507411688,0.11659257847891503,0.09652668691752643,0.6110089575938159,0.05370318214858536,0.06157987664250309,0.1293738294688271,0.2045895681707698,0.6206536315116121,0.49616670822016073,0.5467295599195714,0.0952628826974474,0.16234759563294004,0.06596137058245051,0.05806836679867445,0.2788080756881745,0.34798749071743784,0.08689850920022395,0.037808944000949765,0.13119707062910618,0.49267657285669086,0.08531175592676135,0.3660103641567486,0.17550470091363846,0.10629882038477087,0.1443689999844277,0.0034357566817412285,0.07664009068665255,0.004409234044690894,0.0057073785181603505,0.38756524516965146,0.14953563046739363,0.20752659371950188,0.07617749083645146,0.05507552560781319,0.148646177703299,0.48009297734297446,0.10677244956026877,0.011898946824735034,0.1126275748875424,0.052864712675909524,0.3880954791047435,0.07738910346344492,0.23477443042648408,0.16987197132499762,0.010824329193137675,0.28511124793765596,0.538941027323678,0.12316127191554736,0.14433636169189706,0.218509016263658,0.10049597591653564,0.019213475340397138,0.4492447994549211,0.4484151165010437,0.25516423596761506,0.2015780270208916,0.07974315892949177,0.01987534796877081,0.01979071483793511,0.01853493408231212,0.013681297027099628,0.026212589722751534,0.025240007467058123,0.1562797747661177,0.014997872622756517,0.1699614310338608,0.7040422467097576,0.15114914309690958,0.14785721321805162,0.008682861726414798,0.21358043524971476,0.5285747866168665,0.27548903407323966,0.03137004711953333,0.04937646241084284,0.03593911286990482,0.4263514004398225,0.404550724123963,0.5788532937843534,0.7262981653197182,0.003133263284181521,0.4599203030504774,0.21768357520999881,0.12380465828493747,0.10801856246498545,0.15300103419196726,0.06535175685886407,0.17755903256921593,0.2702981989389599,0.35183829417872314,0.17291549912475193,0.00552654365547396,0.11464849240870925,0.1828779379776055,0.18335371785029725,0.08246648755759649,0.0032087302429308247,0.00877976544110966,0.004768777895771371,0.006520704687205689,0.3201315769082608,0.1998003101391034,0.14198089471182457,0.26753319941201636,0.11143669812151906,0.3169710066920085,0.39975075359965867,0.1762203772242608,0.46058029807693895,0.5804546885379062,0.10602968541916247,0.14070753644850134,0.04059766808444078,0.14145456085869004,0.1221555342323693,0.12666338797561635,0.022970277888436814,0.06955583802693761,0.5266613434329915,0.3041639704132725,0.1618994395754019,0.05824393423901775,0.5274354613750695,0.7311059977545058,0.02309157402708893,0.7339794370554317,0.44884978977707074,0.07702169970350876,0.49112098141059396,0.18526784331054963,0.039244603412855114,0.10941822137510784,0.2908653476676552,0.044546512470065205,0.6897582771203664,0.0745815869387423,0.01814327458921007,0.010574706637353243,0.020171413927389904,0.2858545923229253,0.16722873025110185,0.11985951079002655,0.010027534840872186,0.4006839182934173,0.052953563288074434,0.4792307914082241,0.13079624483290042,0.19738556758675269,0.19124401725369827,0.0022405829081116185,0.014128249925904007,0.37281571835898397,0.007122803435546269,0.27424090470074486,0.05877175918058731,0.11913273886465867,0.10475113539300707,0.011092279675276453,0.02406370559587369,0.24228678679855362,0.22538827711232243,0.31731122699033903,0.09848347790319703,0.05216515716772579,0.19022098894247003,0.26924786180885857,0.5870363466742645,0.03702759305493197,0.4916725926389941,0.2988910385854422,0.06375610174818705,0.11956203270316955,0.334609796955632,0.10947644685460622,0.0007116693688851428,0.14936661331795678,0.027271394034476818,0.28564936646351485,0.46059371191887666,0.15000831988766924,0.3383999267142625,0.22638721353576927,0.05608742266516908,0.026953776464841157,0.5139284949587366
