,model-name,roc-auc_acoustic,roc-auc_african,roc-auc_alternative,roc-auc_ambient,roc-auc_american,roc-auc_americana,roc-auc_australian,roc-auc_beautiful,roc-auc_bluegrass,roc-auc_blues,roc-auc_brasil,roc-auc_brazilian,roc-auc_british,roc-auc_canadian,roc-auc_catchy,roc-auc_celtic,roc-auc_chill,roc-auc_chillout,roc-auc_christian,roc-auc_classical,roc-auc_comedy,roc-auc_cool,roc-auc_country,roc-auc_dance,roc-auc_darkwave,roc-auc_deathcore,roc-auc_deutsch,roc-auc_disco,roc-auc_downtempo,roc-auc_dub,roc-auc_dubstep,roc-auc_ebm,roc-auc_electro,roc-auc_electronic,roc-auc_electronica,roc-auc_emo,roc-auc_experimental,roc-auc_finnish,roc-auc_flamenco,roc-auc_folk,roc-auc_french,roc-auc_fun,roc-auc_funk,roc-auc_funky,roc-auc_funny,roc-auc_fusion,roc-auc_garage,roc-auc_german,roc-auc_gospel,roc-auc_gothic,roc-auc_grindcore,roc-auc_grunge,roc-auc_guitar,roc-auc_happy,roc-auc_hardcore,roc-auc_house,roc-auc_indie,roc-auc_industrial,roc-auc_irish,roc-auc_italian,roc-auc_jazz,roc-auc_latin,roc-auc_lounge,roc-auc_melancholic,roc-auc_melancholy,roc-auc_mellow,roc-auc_metal,roc-auc_metalcore,roc-auc_minimal,roc-auc_noise,roc-auc_party,roc-auc_piano,roc-auc_pop,roc-auc_progressive,roc-auc_psychedelic,roc-auc_psychobilly,roc-auc_psytrance,roc-auc_punk,roc-auc_rap,roc-auc_reggae,roc-auc_relaxing,roc-auc_rnb,roc-auc_rock,roc-auc_rockabilly,roc-auc_romantic,roc-auc_sad,roc-auc_salsa,roc-auc_screamo,roc-auc_sexy,roc-auc_shoegaze,roc-auc_ska,roc-auc_soul,roc-auc_spanish,roc-auc_swedish,roc-auc_synthpop,roc-auc_techno,roc-auc_trance,roc-auc_world,roc-auc_worship
0,Musicset Supervised,0.9016664786956261,0.9628855471207092,0.8259798946214434,0.943282357788867,0.6941808634575447,0.9154329537895685,0.7177641597257757,0.7857972957553241,0.9866014361240433,0.9426152015018475,0.978153342683497,0.9691266381933068,0.7437526364156799,0.7696825116102367,0.8025989318306068,0.974267415623513,0.8004711474168076,0.8612479096298294,0.9004774061366181,0.8704055274282454,0.9591098512602579,0.6243221926849687,0.9731769686581286,0.9061951267581714,0.9483001659651381,0.9939538588709698,0.9042089513400989,0.9616020060718898,0.8906326189378634,0.9683246987817478,0.9871443262447936,0.9895094801718052,0.9476154161054328,0.923231997085755,0.8968800558087068,0.9247464905122191,0.8794752066667557,0.8944129003217384,0.9821745913792557,0.9135284327665769,0.8834503855826392,0.8012909384613033,0.9352580443691814,0.8819677608876347,0.8565948075402319,0.9348874390172222,0.9395419867170949,0.8263858249620768,0.9436549053420249,0.9318638193249356,0.9905153600805775,0.9079298124816414,0.8596667502418301,0.8019386347033199,0.9655793871633314,0.957749297887188,0.8948009158974559,0.9585140695093419,0.950331331812016,0.863534005821095,0.9536292286836705,0.9455354937764009,0.9166914373827262,0.8239206936121383,0.8342592889088134,0.8187396006655574,0.9604350999630954,0.9879989578182243,0.9737193587380853,0.9296594893002234,0.812218595522717,0.9288217079530638,0.8677362534912096,0.879286669194441,0.8905872941603938,0.9229762231995602,0.9941447800067599,0.9517185112420868,0.981840671416013,0.9792202309301483,0.791754000380394,0.9554200812334387,0.8500605695964725,0.9514697041876503,0.8539524474993234,0.8059165505350273,0.9960897290455094,0.9732333990887593,0.7943667522196498,0.9709070258404447,0.9605891777334143,0.9397877425088034,0.9674599763770415,0.7944487284264042,0.9578672778151501,0.9590214983017298,0.9738587502718115,0.9227288051735386,0.9658149652885571
1,Audioset Supervised,0.8813464794343193,0.9538795354936587,0.7975532105963691,0.930097914722611,0.6327317377476311,0.8777591266580584,0.683607372654431,0.7614830572960464,0.9781506008129538,0.9087599412382844,0.9082247439330188,0.8734763827131602,0.7027236864193386,0.742987024045799,0.7629971968891706,0.9494024913845502,0.7448538309639177,0.8434373194391063,0.8529520241570763,0.8455581561462541,0.9341020662368112,0.5968307504606171,0.9506841754785879,0.8923672008579489,0.9012190277953117,0.9936734813426279,0.7675275392488508,0.9441437979655662,0.8675975800669663,0.9549692649605684,0.9864083012612166,0.9801408542206009,0.9335330665821514,0.9056021168982057,0.8774714850702264,0.9039437317555054,0.8396998891545026,0.8557490961432985,0.9554797970015109,0.8835420651792979,0.7963255423659953,0.7682503877061893,0.9148689872660378,0.8697379066406923,0.8369262896550725,0.9009019993114509,0.8703480589022757,0.7128235724013294,0.9284029672134803,0.9023637568938134,0.9868131330087851,0.8756857827793904,0.8337853425712851,0.7826050488379015,0.9570481895623104,0.9482271091680584,0.8579141794254103,0.9386485738853376,0.8986917237981138,0.7757944325550183,0.9341256942938853,0.892004048902747,0.8853344975569881,0.8069433465085639,0.8079082476757714,0.8014923870269128,0.9461869216591786,0.9834351426337261,0.9624751468072317,0.9116542183872244,0.7903592764792794,0.9003109977523776,0.8374912156222878,0.8176182313055954,0.848337258168456,0.9030949354040682,0.9908797299595956,0.9355515307793059,0.9739450733142294,0.969444387633862,0.7721545859565467,0.9385593789325066,0.8221885085063546,0.9117927007244075,0.8346503674137333,0.8010304658848506,0.9913101109372947,0.9660385185600087,0.7672319052043505,0.9588829552891802,0.9266540447877788,0.9125740191681616,0.8652830305840212,0.7145746982011121,0.9352700093218509,0.9490933654992465,0.9665695310762237,0.8742332295648291,0.9347176774795656
2,Musicset ULarge,0.8948770966190935,0.9486687814454826,0.8192684613142162,0.9421150636043336,0.6722194180641297,0.9048812458426263,0.7022881820928096,0.7842732527736671,0.9840436057275006,0.9334154490047694,0.9498907730885291,0.9307229503081363,0.7246309556092165,0.7485431691197181,0.7976200385445866,0.9728906974372181,0.777814076368445,0.8573003235142145,0.8937050299273057,0.8656076622087251,0.9535774472450176,0.6080453989291781,0.965261604279258,0.9056467656215219,0.9432787198206715,0.9924903883078565,0.819212962962963,0.9619401380584895,0.8865309604397539,0.9651620000445974,0.9900925534220003,0.9889106873185848,0.9448619034413543,0.9209636947438721,0.8939516504453497,0.9125553411800956,0.8704757275070447,0.8931313110110561,0.9772609291301423,0.9097069571621115,0.8100260345803015,0.7954630307498144,0.9325218909941336,0.8764419657671154,0.8376989878919815,0.9174839408519535,0.9327348227862908,0.7381934079245229,0.9462359796933185,0.9297508123585875,0.9879773795534665,0.9059557687873686,0.8510802296744788,0.7882360633855534,0.963541866137708,0.9615799960751711,0.8882815069230775,0.9594937109643188,0.940123975874336,0.83337065828033,0.9487894478336371,0.9178764779898057,0.9128408295712809,0.8180020400357007,0.8325133537356151,0.8177145234133587,0.9594311541234595,0.9880066920057987,0.9719837636816413,0.9304127924572484,0.7995150406963885,0.9176100915046272,0.8600595581825792,0.873541144868173,0.8878324112541648,0.9274592839472238,0.9922455061379848,0.9461650703994761,0.9799930691128845,0.9774528537091791,0.790852005617535,0.9482873773569462,0.8431540904396181,0.9419476770563949,0.8565395635138564,0.8025687690239577,0.9965799309776573,0.9678969699409602,0.7894044527185295,0.9670214093445282,0.9583957194109307,0.9312171948707727,0.8961247919695609,0.7773265053858379,0.949940594305762,0.9586377004746159,0.9754187453620715,0.894065054533195,0.957230463284157
3,Audioset ULarge,0.8851494303817923,0.9432700846842774,0.8029376981401676,0.9320328199304929,0.6579196188082782,0.8796736706186172,0.6695509125396365,0.7747475081298839,0.9735496624157557,0.9169196081334741,0.909080708912406,0.8780076205242219,0.7027566416153372,0.7246865399857205,0.7728540540697312,0.9519113214417743,0.7655063671162481,0.842032794312666,0.862874328406026,0.8483039007363016,0.9415642401817116,0.5870624676585909,0.950264641883788,0.8905715955046443,0.9084709961295329,0.9922145168469344,0.7823363908404892,0.9532954716998394,0.8687378320334136,0.9489757464489322,0.9901393288415173,0.978391668137601,0.9370916197871273,0.9099072947195868,0.88426147692471,0.9007147000155056,0.8443673660171743,0.8523288036517327,0.9610597901691537,0.8890712204791879,0.7912221571111615,0.7636322252212006,0.9151232020050398,0.8754413874808642,0.8138466800214981,0.9026871887884055,0.8890838434644728,0.7061912356221431,0.9313408207407627,0.9004341224989098,0.9853886883778188,0.8774189931429618,0.8355501438568531,0.7795376859042001,0.9561059158763762,0.9557614778853804,0.8631240689785271,0.940476626917206,0.9044197117254361,0.7851120965961644,0.9353353879193037,0.8912088747309853,0.8922188988178176,0.7977997364953887,0.8124099394793302,0.8064056598790376,0.9466680128299089,0.9851269961656154,0.9632258618525784,0.9045944865278026,0.7975458167206785,0.9009623883187624,0.8392108045913738,0.8392616762704291,0.857548623394074,0.8848328408466191,0.989612258738648,0.9361505402750491,0.9762005847252191,0.9683701806771302,0.7885206517416472,0.9400073726507269,0.8294018575100164,0.9121774004506753,0.8330867026773802,0.8025493372158279,0.9900896812791823,0.9575286753753223,0.7735072250088753,0.9562018850002164,0.9265741182767699,0.9184051308883131,0.8542169922189226,0.7194282673595181,0.9448555646295742,0.9499195383554146,0.9669284156182066,0.8782377305784328,0.944027195825757
4,Musicset USmall,0.8807464231089619,0.9394189522447726,0.7948442008157083,0.9325226677358892,0.6453693327989635,0.8844977892553899,0.6703873130172274,0.7730594462444363,0.9805959368493891,0.9131208336035267,0.9154600705512347,0.8801303241282471,0.6980063855063855,0.7397582974709662,0.7666590776271732,0.9539540149357539,0.7639351059362229,0.8491870146332275,0.8652010571091705,0.84481781140077,0.9449727066236812,0.5917782924597124,0.9528787179926059,0.8992276118920547,0.9159169496900855,0.9923481968470546,0.8067254315205135,0.9480630030999879,0.8733410714535159,0.9563874621851238,0.9892856774353312,0.9807549693065035,0.9388880635448855,0.91363448750959,0.8853373507686066,0.9046928687034029,0.8493945699061152,0.8597602335703322,0.9778032915056896,0.8929750617935809,0.7691723737284886,0.7677710418722684,0.9177225287777648,0.8719532091194773,0.8300166422672571,0.9053396142445693,0.8930154274054145,0.7199673459283759,0.9161423994886165,0.8887923770091813,0.9872758239606065,0.8814231433724247,0.8302656697225387,0.7677552603335227,0.9577930281872116,0.956302159714481,0.8604465216929358,0.9464627923718363,0.9260629044868418,0.8124056147897807,0.9388301841862796,0.8881487828669049,0.9002040487735399,0.8044519529091759,0.8192945659483173,0.80143065129546,0.9466579436369831,0.9812188145069511,0.9692606464142045,0.9070233921616708,0.79651417036625,0.9048539845305988,0.8420775997317536,0.8451556628376226,0.8581986206518312,0.8880798172072567,0.9915336236090954,0.9387341737611875,0.9766627231488776,0.9664964053509726,0.771251630602886,0.9407889183880176,0.8306568487815638,0.9028425245376042,0.8395043752542142,0.8023660401600369,0.9910581435616962,0.9595783542706311,0.7750145655227706,0.9569516067831486,0.9352456022336024,0.9209250008305097,0.8549671867867117,0.7502652470073009,0.9416255743957459,0.9555244393458848,0.9740299369522104,0.8746005788268467,0.9441383907079643
5,Audioset USmall,0.8741150686160253,0.9509393326001875,0.7853517896352115,0.9279194246909055,0.6574350869491421,0.8657052862229526,0.6810236760931261,0.7688832203085323,0.9677962638114141,0.9007114726481645,0.8698971482000935,0.8535718464778844,0.677515248167422,0.7202318772229755,0.7625737574881343,0.9350888682435005,0.7585496504321368,0.8407423009471254,0.8527211242680525,0.8680739805659504,0.9316378773446659,0.6053929661152179,0.9430429176491123,0.8877353532452111,0.8988468655990295,0.9906509114522705,0.7885370587214849,0.9515159901739684,0.8683051210307617,0.9469461932405212,0.9875776867491427,0.9766896745312622,0.9295164474552994,0.9030748769173028,0.8827833872844485,0.8896087398122425,0.8358184270623272,0.8428741185429297,0.9539449819153845,0.8783767239289756,0.7659236833678646,0.7571123065503237,0.9028933777439161,0.8596102821418468,0.8191741357813571,0.8769421702731525,0.8665321480095138,0.7144472363119395,0.9213435709135777,0.8883393743738037,0.9833378798052711,0.8738025450950542,0.8168266179448288,0.7866699135077608,0.952601388516543,0.946710105783097,0.8487786588375937,0.9335908077428128,0.8898681430515645,0.7615047662160926,0.9272552282470412,0.8785044853286742,0.8793916931403695,0.7911976709592418,0.8065172176655093,0.7983983374270396,0.940484717431753,0.9820399274210948,0.9661507771370443,0.9043592173599928,0.7824536157572125,0.8941207877076651,0.8281963169271959,0.798194599463471,0.833603915580053,0.8619115929081913,0.9910415465468451,0.9287791966819472,0.9711623720854121,0.9636207348237833,0.7785915049191855,0.9366198218798277,0.8198593667929988,0.8931834422213148,0.832071164682279,0.7932182989627184,0.988529513619374,0.9478189561165674,0.77853712891889,0.9562915256481758,0.9116803011891329,0.9047883031027839,0.8407024970486158,0.7119167560682925,0.9329093327811907,0.9437583882553179,0.9622004544624738,0.8709421917484336,0.9255971261586282
