,model-name,map_acoustic,map_african,map_alternative,map_ambient,map_american,map_americana,map_australian,map_beautiful,map_bluegrass,map_blues,map_brasil,map_brazilian,map_british,map_canadian,map_catchy,map_celtic,map_chill,map_chillout,map_christian,map_classical,map_comedy,map_cool,map_country,map_dance,map_darkwave,map_deathcore,map_deutsch,map_disco,map_downtempo,map_dub,map_dubstep,map_ebm,map_electro,map_electronic,map_electronica,map_emo,map_experimental,map_finnish,map_flamenco,map_folk,map_french,map_fun,map_funk,map_funky,map_funny,map_fusion,map_garage,map_german,map_gospel,map_gothic,map_grindcore,map_grunge,map_guitar,map_happy,map_hardcore,map_house,map_indie,map_industrial,map_irish,map_italian,map_jazz,map_latin,map_lounge,map_melancholic,map_melancholy,map_mellow,map_metal,map_metalcore,map_minimal,map_noise,map_party,map_piano,map_pop,map_progressive,map_psychedelic,map_psychobilly,map_psytrance,map_punk,map_rap,map_reggae,map_relaxing,map_rnb,map_rock,map_rockabilly,map_romantic,map_sad,map_salsa,map_screamo,map_sexy,map_shoegaze,map_ska,map_soul,map_spanish,map_swedish,map_synthpop,map_techno,map_trance,map_world,map_worship
0,Musicset Supervised,0.2489570383970408,0.49733075376509417,0.2741515602880569,0.4907804365649701,0.03350437513863513,0.11966338792122996,0.015700150382968597,0.08842994721831202,0.6780252768246225,0.628174121179359,0.5318310394826615,0.2622847839114118,0.09560598716990248,0.04005635098488362,0.04056638775445626,0.5035994943281041,0.08280847664925155,0.22832406309414424,0.2839730452256471,0.24194289907049518,0.6291628133255425,0.0186182253989218,0.7945223035521192,0.41294922142993673,0.17085195357275415,0.6609442926534591,0.11592471262251688,0.38938789450533756,0.11994443485113468,0.36636348001618324,0.859372006208569,0.646696640897083,0.3256630403898016,0.4695068314497444,0.1896680142516224,0.28088342623563956,0.24531613591092696,0.3600613783147052,0.6944987627101802,0.42629313061141716,0.13897921974470315,0.05832512618644237,0.5233175262126505,0.07565093134403444,0.10751697168887503,0.2305064164466577,0.18021624591964525,0.05953407861170432,0.5075815100117262,0.19876412034947322,0.6295030454022209,0.0921895450015535,0.1834644126985707,0.0434886455259619,0.579226732112429,0.4473469799198606,0.4671887761494543,0.3800928883921662,0.5302657490668284,0.2012543009355631,0.7338345034861217,0.35440231351565976,0.20459793753459574,0.05300090285226087,0.052766163360305714,0.09297833576549792,0.6373541731524381,0.6873247946765868,0.48898216963523344,0.20184983131388326,0.04923298589402138,0.30999589899067176,0.48303058700419593,0.11862511142049816,0.15495608182710024,0.0895709362081066,0.7870035319294669,0.6052921575060325,0.769516230118816,0.7875172120796271,0.06386433659082705,0.5037303117925948,0.5234551845040265,0.38668672575596297,0.061715648874487626,0.05340603040907145,0.8584594578677828,0.4196596697973553,0.06897343718305707,0.4020100994590887,0.6022163387015039,0.5199489507697501,0.4904320550499755,0.0863074239889712,0.4151038025994556,0.2620462800475555,0.7289861427215333,0.29254094637060646,0.27603320999904024
1,Audioset Supervised,0.1886703909419605,0.26612017540707544,0.24423853959484276,0.443957689960051,0.023828177574876323,0.10034363005973206,0.012724747406667004,0.0769967549105786,0.526015893005856,0.4771827578078448,0.22685402195223373,0.08699103638393328,0.06018031074303908,0.03855302134782226,0.03448860671099163,0.35037227957850714,0.058505951021677584,0.19505947784093539,0.16994391604201192,0.1997342708193418,0.5881330821693547,0.01872300935382319,0.6861127230888192,0.37758252607147785,0.09481536793414742,0.5846201319471478,0.023268362860154015,0.27840095886617255,0.09601599336888271,0.35194126032694933,0.705482579194891,0.5508072240507206,0.2344154676665499,0.42320479123022114,0.15901736650655174,0.19933092376894054,0.1882067027336767,0.21771071922440444,0.3966881256738587,0.3164154539961745,0.06719199886804955,0.044114277773497426,0.4272048841682184,0.05970619808420262,0.10258153410704983,0.14899247140951416,0.10949774699907469,0.028818806076415977,0.3790839350501018,0.10087865650541997,0.4877608102310687,0.08580700612497234,0.15134550325771914,0.02984592559492385,0.5641424616008729,0.36527928093471507,0.39324040353105344,0.3124441157408925,0.33320434738024296,0.05119433848109774,0.6682565570818512,0.22504059873323834,0.1382840641055337,0.034584058417281155,0.04360855837281077,0.0746336924860716,0.5676305648272663,0.6201015495728638,0.41471613947146646,0.15457874455342174,0.036934336191696365,0.2332600360225372,0.413901302451471,0.052353038691967155,0.12928965697777478,0.0772060681306009,0.7643427271701133,0.5431992943816896,0.7293176057367917,0.74935314813269,0.061892141720800334,0.4463898266547764,0.4750219694286193,0.2716757481462391,0.04964489820934002,0.04643753243560154,0.8051198730400163,0.3787066808202454,0.05737673873254038,0.32556135138522324,0.4746875132647473,0.40287618137251097,0.20972727258883808,0.037926627314572636,0.35564927795311374,0.22250096271945244,0.6730971763390217,0.21068558824337713,0.16514790615396926
2,Musicset ULarge,0.23628300312472178,0.27283073505488753,0.26890420673051135,0.480419292357538,0.05085426950259195,0.10756209304326844,0.014294373277828355,0.08759113572015731,0.6293640464121114,0.5749354434448374,0.34710960246529077,0.12595724293387792,0.07414250874616585,0.03604341714580872,0.03989007308649222,0.45527765427596417,0.07329653240829431,0.2102172692423081,0.25430150170677457,0.252481323156214,0.6179721432839252,0.016936513152210987,0.7587719867000157,0.3917733655280303,0.17033903329993483,0.6130985915172095,0.03793635972180333,0.39769162271495867,0.11302640788336477,0.3772322336509272,0.8549272015942674,0.6013080958727488,0.3218734712875317,0.4618694141646686,0.19136703656323897,0.22424082709633394,0.23247922573464486,0.29790025390061714,0.5982108927610825,0.3848088599779741,0.06340486912180357,0.046550717601665154,0.5141720819871534,0.07511908409756443,0.08506296810747375,0.2084493392361887,0.18670014857974193,0.03293025900930437,0.45652516307494717,0.185929527127554,0.5822031054647375,0.13392244241419354,0.18303979351106034,0.04438529441765788,0.5802819707717233,0.46086023179924723,0.4533887997052729,0.36723465757942586,0.4462577783676684,0.07205676345470018,0.7156119484960511,0.2821374913647032,0.19186974419125588,0.03912975141812146,0.0531757255322214,0.08390389160612359,0.6291205549250953,0.681339743220234,0.49229224770915964,0.2060386136288553,0.04548835147647501,0.30271681548979623,0.4688734522498372,0.09683923696482936,0.16396863163170672,0.07672075773667923,0.7870141139958984,0.5908479274398188,0.764054440590168,0.7826477180453753,0.05722625292485899,0.500592800163398,0.505792314108441,0.3603690177150589,0.05340199394569858,0.05288222568648921,0.8454821083806571,0.37238549189086295,0.06825152076640088,0.39367146194298436,0.5803276630193843,0.4939798153826008,0.26321570715366666,0.07531047818718113,0.3743771179438673,0.273224711569867,0.7422022591966926,0.22345688553051166,0.2712943708379058
3,Audioset ULarge,0.20330987513835225,0.22215197227854763,0.2581218922150052,0.4366789817138941,0.04082283163695171,0.07831632150400038,0.013437834543000255,0.08741841481165516,0.4951675755274559,0.4930027723635657,0.20081869057166724,0.06930400276207677,0.06487332689113563,0.034066530608151,0.04102788340400779,0.3366402441369415,0.06423765115641786,0.1870470330614045,0.1591784436130778,0.26801753541266693,0.6046759831671917,0.017410497692652512,0.6904586910617916,0.38879086275896696,0.10875740815949093,0.5284790151384897,0.024294853552791727,0.356784699030157,0.10478160877586377,0.29680596213107585,0.7578562273266728,0.5998488620600514,0.28358644513688513,0.435671165654977,0.1757080392644297,0.19355221848301019,0.18963206538027863,0.18830296508705402,0.45939714246863617,0.3276444902879939,0.05851333378315112,0.041875096295124,0.4304062423582482,0.07375366974369633,0.06827698857866236,0.16042571527427094,0.0970988571113283,0.026041575266134865,0.3611363812310966,0.11017399256372565,0.475612100874739,0.07071947534164393,0.15310757832346975,0.028514791224939613,0.5438593075249226,0.3770036936792454,0.40307344734367695,0.3340813398814273,0.3030040288659116,0.06582702385104487,0.6667847799676079,0.21812295770352022,0.15172224211864901,0.03240496980347558,0.05564514804863462,0.07781862757993081,0.5658141348779975,0.6360420505125326,0.4308046849881564,0.15122754431295077,0.041564755318556745,0.26276633649991565,0.4250111387798545,0.058201712785605056,0.12326921918671598,0.061422783843878795,0.7385535694329357,0.5541014419371685,0.7410609602067019,0.7340053568054212,0.060324295066187396,0.4654438068164168,0.4795029316607938,0.27978977779559355,0.07115242099967724,0.04698259080342469,0.7698100651203135,0.3118035544786456,0.06038978946384617,0.34602342216060694,0.4551460019521563,0.42804583256815365,0.18888237072621683,0.039289008031324395,0.3532898055817071,0.22495342036654078,0.6877072610729954,0.19345456202509292,0.1693892980802427
4,Musicset USmall,0.20068485684825407,0.1816773252932573,0.23949109598758989,0.4330502941953353,0.04670936930139103,0.07659700017538988,0.013089264881376385,0.08469419037305832,0.5451318934024547,0.4780112601288446,0.2514907626487234,0.08436851620641839,0.07059990617788427,0.03982355021936958,0.036253516056533895,0.3513260073303076,0.06415032189036421,0.20399891842040815,0.1852084164936237,0.2614704947241085,0.6059074028972051,0.016483879239659594,0.6880212042002435,0.3777394088476289,0.12023135726119862,0.5723812330250552,0.030071718133092264,0.3275714514928568,0.09083083724385096,0.32695867386844574,0.8022039140770116,0.5857706831775675,0.29021773500446096,0.44704771122133286,0.18760120602724234,0.20700717936687638,0.20575187055186434,0.20761889642093082,0.5838437132732244,0.3254837452248628,0.05379543613533469,0.03410958699058378,0.4454247363736772,0.06923204063012911,0.0687352420384098,0.18895010145590233,0.11639178586286891,0.023607438759575272,0.3608695280428655,0.1462562051682104,0.5535697295639087,0.07190381139083357,0.14614631039873616,0.023407596096123053,0.5382942083849466,0.4083597067807821,0.4036940230852743,0.3486635255434821,0.32745331316078424,0.06656536060148806,0.6765190354585481,0.21861623004995984,0.14912365070305073,0.03714238384685352,0.045642136845272664,0.07647711092443195,0.5588388380396473,0.6081556872153644,0.46409606158091443,0.12282673604939172,0.04315221893590029,0.2772575464954578,0.4216843656290456,0.06270666943595184,0.13316446539810042,0.06718561699837419,0.7449204602938626,0.5440394062985416,0.7394127239996781,0.7300713465156716,0.06137789258750514,0.46920956322315954,0.48203923558036377,0.271129521995603,0.052614919221576927,0.04912216960916675,0.8064522135417103,0.34485042189564136,0.06646604969422132,0.3156819402357404,0.4640563672747024,0.45443030817055596,0.18686915626143918,0.05229855514257808,0.3502033076007113,0.26486205562998083,0.6997620616617479,0.18651765253250113,0.20869128578168858
5,Audioset USmall,0.1729965907406827,0.16870651328814712,0.22887488234206366,0.4148846299444653,0.036149897324378184,0.07301689157918935,0.014753562169514095,0.08672051969242875,0.4626803438498439,0.41177348001519415,0.16777656495144302,0.045719433602806725,0.05351403066512773,0.032057859082356005,0.03458449538036462,0.25127253124642157,0.05950386536798726,0.172318344459571,0.1421433940572274,0.211763036172303,0.5922187025282502,0.017369035098821754,0.6471223239806444,0.37115389513093255,0.0842678747163254,0.5023427096060652,0.02233891207700218,0.25402432570784206,0.08657822060254075,0.3197385603318091,0.6624527573113839,0.5705231273786688,0.23625478184813337,0.4218569056470349,0.17843531336161783,0.16801637065952324,0.17270529705930995,0.176206404202935,0.3982029918556832,0.3047871816140669,0.04946097092475045,0.0335068048765232,0.3923833904819747,0.06339947389134588,0.08387708722137002,0.13420504065671995,0.07861654581477112,0.022131134884216565,0.31994323999813495,0.07163807157182102,0.39659135164372894,0.059135180136531885,0.1349663540798503,0.022998252789429678,0.5416621361486365,0.3418940893858352,0.3742947309998018,0.31050840809120367,0.23084324877900064,0.048502003468018924,0.6348686511682813,0.18137185705592396,0.13223146730922453,0.03521044565585538,0.03668339311022985,0.06956282251004106,0.5222137030569522,0.6209375801751307,0.3585207201157259,0.1592658991039311,0.03208577014467726,0.23948739549178238,0.38510693693888476,0.04417042929033804,0.11549058237481354,0.04685929933623573,0.7511073053530005,0.5164664501519303,0.6761194417880844,0.7086381571484477,0.041719108013220804,0.43680345005606847,0.4642066611612902,0.21253132058276433,0.05020242002905788,0.04125542325508411,0.7732430441194207,0.3264709073025459,0.060067889992238804,0.312274222997755,0.4167638915997228,0.37621625357098165,0.1573268972686439,0.03654913391243953,0.3223135703584555,0.21805592984415478,0.6391226692248382,0.17525976071443755,0.1486687610014417
