,model-name,roc-auc_ambient,roc-auc_beat,roc-auc_beats,roc-auc_cello,roc-auc_choir,roc-auc_choral,roc-auc_classic,roc-auc_classical,roc-auc_country,roc-auc_dance,roc-auc_drums,roc-auc_electronic,roc-auc_fast,roc-auc_female,roc-auc_female vocal,roc-auc_female voice,roc-auc_flute,roc-auc_guitar,roc-auc_harp,roc-auc_harpsichord,roc-auc_indian,roc-auc_loud,roc-auc_male,roc-auc_male vocal,roc-auc_male voice,roc-auc_man,roc-auc_metal,roc-auc_new age,roc-auc_no vocal,roc-auc_no vocals,roc-auc_no voice,roc-auc_opera,roc-auc_piano,roc-auc_pop,roc-auc_quiet,roc-auc_rock,roc-auc_singing,roc-auc_sitar,roc-auc_slow,roc-auc_soft,roc-auc_solo,roc-auc_strings,roc-auc_synth,roc-auc_techno,roc-auc_violin,roc-auc_vocal,roc-auc_vocals,roc-auc_voice,roc-auc_weird,roc-auc_woman
0,Musicset Supervised,0.9504162399737369,0.9313615264397844,0.9229859589385164,0.973168204935016,0.9895613900764402,0.9885554925705424,0.8953090978766396,0.9205752123521106,0.9699705577017989,0.9637151357194088,0.901486123660564,0.9060791734246411,0.9106133741218557,0.9528529780584217,0.9480907815825111,0.933960225164922,0.9809964470631525,0.9300006414779652,0.9620332245170251,0.983873757025508,0.9432511678205514,0.9132550598136041,0.9449654491609082,0.9449512168371336,0.9232464494517154,0.955812262011723,0.9870959791563975,0.9000062598788714,0.6793017163065342,0.6851418616226979,0.6605221032299887,0.9852081696949239,0.9666477872801087,0.9521026411733601,0.9098777228257074,0.9816149821764789,0.9037729877510892,0.975365466638157,0.8471819522934612,0.8464084685197483,0.9108657834872207,0.9108054454096143,0.8809725581479932,0.9583141578813051,0.9477640836997447,0.8960735406714297,0.8890198095350513,0.8513442327378576,0.8440606927502945,0.9455333451542393
1,Audioset Supervised,0.9379572147445477,0.924956264141261,0.9157020394974436,0.9605104539461292,0.9864481204501152,0.9858459947895403,0.8800205542684945,0.9116318591508388,0.9456820799083261,0.9561071208493701,0.8859492298796702,0.8896047335856311,0.8971439676032146,0.9197963280054827,0.9091168504546334,0.8875175406054936,0.966499174485756,0.9177643209955738,0.9538432935798378,0.9841002202869907,0.9116949284814431,0.9065528353503037,0.9346188937748662,0.9268159214428895,0.903777071848426,0.9434375846774768,0.9851970518508086,0.8761378633990099,0.6584572302251639,0.6608776634178455,0.6105558385204098,0.978765414467691,0.9579146763300939,0.9332082920836365,0.895862035032474,0.9758593616277079,0.8913873793795412,0.9561008639154915,0.8327113858091727,0.8302983587894887,0.9117343649258542,0.9042738339530649,0.8630071468839222,0.9558331901801892,0.9375020167487802,0.8764431229420027,0.8606250184436509,0.835876256187598,0.797896431099454,0.9193403620649344
2,Musicset ULarge,0.9469402237912544,0.9332060133890042,0.9221442012398277,0.9729139197589,0.9889706034507733,0.98895053587845,0.8950425891410755,0.9192011420202264,0.9686657930416334,0.9645523330403775,0.8981408555961969,0.9018475133991444,0.9065203127677269,0.940001739879524,0.9369595182820661,0.9256649300795174,0.973624162837762,0.931745461543396,0.958116657644209,0.9839128734070368,0.9386077572271091,0.9168557576389855,0.9430195339375991,0.9426339874314223,0.9185727283889594,0.9514496784038563,0.9868248714879234,0.8927891411967845,0.6734678151969372,0.6681192697377928,0.6658420262341493,0.9817217249057119,0.965472743656394,0.9510559922390932,0.9100697729047496,0.9803691961926875,0.8997198709790375,0.9751328884337358,0.8422534616289832,0.8509123106599626,0.9103232242132282,0.9074918097706736,0.876683215430965,0.9594982641355777,0.9438605072186869,0.8877696827924412,0.8763621953635823,0.8461769266068747,0.8495971733109329,0.937034846043161
3,Audioset ULarge,0.940908949853577,0.929012036108325,0.9209847478935692,0.9753060840082878,0.98498822565359,0.9867609092164045,0.8836663240955251,0.9165107821417205,0.9496105561133897,0.9623842066450485,0.8894889809092622,0.8888780427571201,0.8966721413556333,0.928001875674999,0.9160463822789708,0.9107856578331909,0.9671144275040798,0.9152656360254026,0.958249260431875,0.982671442982727,0.9029867219639452,0.9111511510641257,0.9334514942116127,0.9255581302548952,0.9050065013364733,0.9393374121136925,0.9860009858460672,0.8853529267542006,0.6640133265200182,0.6593225645883846,0.6655096344020586,0.9800723579294034,0.9622664776966326,0.9394444510709018,0.9102308727644418,0.9793128083766828,0.8961313912850245,0.9604654565097515,0.8412802170763273,0.8426264111564368,0.9098925829957544,0.906877735433735,0.8657755793582959,0.954619039438868,0.9307070593849723,0.8798707307564035,0.8635282247581949,0.852981587229178,0.8002534738845534,0.9265552990872273
4,Musicset USmall,0.9419983438597866,0.9306885773599869,0.9184350366707669,0.9741665097005086,0.9884180989707276,0.9873453970846098,0.8867895277743908,0.9152649418947771,0.9534624483057914,0.9615394328777364,0.8822717704150742,0.8779810176007689,0.9006569626759945,0.9308668419277016,0.9284411878506481,0.9057694478943209,0.9646510260986746,0.9129686317275002,0.952761965692788,0.9791355279682128,0.9026879382811019,0.9046626501135995,0.9374555027072302,0.9310443400563323,0.9083563425023692,0.9448879761548226,0.9853461023871558,0.8765395389599211,0.6797843261306858,0.664174119687214,0.6505255429066591,0.980301181225887,0.9636648148425451,0.9439749599430655,0.9062843229996635,0.9802158915853632,0.8923281011158024,0.9598352446009971,0.8407274865877136,0.8458882775195269,0.9029998905149447,0.9012991220897042,0.8570459546454745,0.9523006654323685,0.930751215568791,0.8811000098642955,0.8663281466273764,0.8437113911539412,0.8039366285917366,0.9295421700358864
5,Audioset USmall,0.9382720283797755,0.928631242564904,0.9155336879577057,0.9591919382181202,0.9845929883663663,0.9838795896248997,0.877043669111115,0.9092535773103817,0.9319224856334065,0.956167732420119,0.8815969185523058,0.8780160589495605,0.889112473514625,0.9072978397910447,0.8959131360030954,0.882404554912176,0.9609905693061619,0.902428635576368,0.9454113967311363,0.9788246556729047,0.876425075532069,0.9074041069689804,0.9195593646235305,0.9193543494139254,0.8895701561894928,0.926149831001583,0.9862873506560571,0.8735374053845392,0.6774463045876322,0.6833691934681032,0.6578547001197272,0.9760422549535105,0.9545908179237313,0.9353184874183454,0.9088801734482036,0.9789429424065846,0.8815330330027003,0.9388413103906188,0.8384342722528197,0.8491477721911267,0.9100288310645597,0.9019162822273309,0.8507180223923573,0.9510713157152462,0.9245379310110577,0.8662702159341253,0.8548347659658782,0.8327536066602041,0.776144083602325,0.9030439878924632
