,model-name,map_ambient,map_beat,map_beats,map_cello,map_choir,map_choral,map_classic,map_classical,map_country,map_dance,map_drums,map_electronic,map_fast,map_female,map_female vocal,map_female voice,map_flute,map_guitar,map_harp,map_harpsichord,map_indian,map_loud,map_male,map_male vocal,map_male voice,map_man,map_metal,map_new age,map_no vocal,map_no vocals,map_no voice,map_opera,map_piano,map_pop,map_quiet,map_rock,map_singing,map_sitar,map_slow,map_soft,map_solo,map_strings,map_synth,map_techno,map_violin,map_vocal,map_vocals,map_voice,map_weird,map_woman
0,Musicset Supervised,0.6130793983838503,0.4214008967514384,0.20390604235999887,0.39657786883320617,0.7164899881061232,0.5812972739998064,0.1655439148466061,0.6027097800620503,0.35466803295042193,0.441603750443483,0.4795168275427743,0.4826590928281527,0.4801592316862734,0.5358225741443042,0.2773572558716527,0.20711606492845777,0.6795297843753305,0.7133911496761539,0.5166737779733447,0.7879513687100254,0.3740320094430539,0.38410127710913733,0.3991936281808103,0.3130485938366487,0.1887628798156602,0.2929767409511072,0.6421816379196771,0.20362379892661134,0.0587896329073186,0.07920465028843553,0.03396504485535905,0.8004550723629574,0.7949659918489237,0.4231341392898732,0.31560642597373156,0.8255271103700389,0.27889952531381534,0.47504007746502075,0.4238988592456556,0.2022080100665923,0.20677743819453348,0.4267869543945575,0.2850344687553786,0.707872309799739,0.6339526129763771,0.35779588597372314,0.2462497278340649,0.09324235936702806,0.12565526136127578,0.38257217655959036
1,Audioset Supervised,0.5797972261359987,0.3990177883855726,0.19648859627485388,0.3388694325181865,0.6980711671249612,0.5335271755093411,0.13744309385535217,0.5776184962633207,0.2519048347230113,0.4177606693413233,0.4269081529701021,0.442424283064719,0.4438515818939168,0.4836160194575992,0.24945436400708446,0.18887646107976744,0.629902515639175,0.6906813829510129,0.503123391916236,0.7609271287560027,0.2872140037038226,0.3439051422354395,0.3735212210621982,0.28838382616364305,0.15907755560609316,0.2823497725619485,0.5906281663368579,0.17445792670871052,0.06064266837567598,0.07172440335814395,0.03429200356095314,0.7829821668479883,0.767145639651077,0.3300174971617612,0.3179713861649412,0.8064090734123214,0.2535764136702806,0.4334878179428347,0.4094944039926899,0.1843104505894787,0.22621175730764198,0.40700396196248956,0.25616024826165756,0.7246852895009823,0.5852508956176514,0.326810280853531,0.21137482218649395,0.09758439602227002,0.0847178688940224,0.3534114361389208
2,Musicset ULarge,0.5771661197759432,0.4255325934085913,0.20470443541310376,0.29638400318845914,0.7001966759516846,0.5726836156860468,0.1577254407672956,0.5952339405963255,0.3627489194776035,0.43009735484391437,0.4698869507845084,0.44983505840620247,0.4675634039797026,0.5116172676173045,0.2746996121529047,0.1957473337288748,0.6750761117233868,0.7219467573370097,0.5278359573139056,0.7459327611737068,0.37125612280043085,0.3921678850400621,0.39944644276490193,0.3107693372287969,0.20659366737664958,0.320165704509601,0.6125804351974014,0.17621275725665733,0.06375805655599508,0.07414408490240502,0.037799365729977503,0.7970124695338876,0.7795510299909099,0.38375770157166395,0.31570958692329615,0.8199721757127274,0.27729370457961583,0.4566816061132428,0.416317657838163,0.2035514257704041,0.1976930682242378,0.41603418615654536,0.2802828419732075,0.7314567657472768,0.6224051984868776,0.34673778442088765,0.22793639239816868,0.10151271208775915,0.1329855131213946,0.3815541312726226
3,Audioset ULarge,0.5681684558852846,0.42787318918579237,0.20379779413239923,0.3890879488329125,0.6959686212358926,0.5370957821276934,0.13778654372376636,0.5897921198083612,0.25071771172021856,0.44630696804855646,0.4406721988530644,0.4225734268203717,0.46459474683322627,0.483452424119716,0.2590762284199252,0.18023346945139518,0.6135336198200565,0.6937270426649551,0.508938725117,0.7751011208511069,0.28374814352841565,0.39210470685345095,0.3755839719223215,0.29604083697325956,0.18208820438978723,0.27410543950877253,0.5796813115221132,0.1808658210019925,0.06706944838881122,0.07009490488888978,0.03747004300439266,0.783712642825553,0.7758522438452342,0.35254913699624824,0.31974399350897953,0.8188008753276239,0.26460485866411865,0.42534695907886916,0.4229754680118897,0.20588833444331195,0.19914218635135653,0.4317833559809079,0.25547841855715686,0.7314878761975547,0.6002378082440082,0.34430039662557393,0.23284109165586855,0.11170309261963061,0.09376604710690555,0.3370337898534585
4,Musicset USmall,0.5877571763884254,0.4371141579023115,0.20321452137584747,0.4368625861888703,0.6990137334071441,0.5331026106616075,0.1450102495095148,0.5872977228059618,0.21047126219830156,0.443007682439872,0.4324375175578724,0.40719050923156525,0.4887447922478946,0.5117083104607203,0.26643601425997754,0.1757323497142127,0.610281754275732,0.6882616542540767,0.4972782207838479,0.7708179294977658,0.2789112156956196,0.37185304283440757,0.4012850640811291,0.30648662203705057,0.17226315017107283,0.2860953503601473,0.5698393928997291,0.159589623479742,0.061367959316300104,0.07295094922914347,0.03465636850708925,0.7865380400246851,0.785437267524494,0.3531647769197302,0.3236159847699705,0.8239978398620911,0.25987691130818047,0.38817561479257134,0.42404976630322216,0.20199844119059748,0.1888959734557664,0.4044712746865224,0.25592734319004384,0.7169638522101993,0.5690141266215052,0.3410642274058867,0.23804336789808625,0.09531562011688857,0.11210097198019253,0.34874227882021946
5,Audioset USmall,0.5881445710504649,0.4262336186319884,0.18967854495248945,0.37599024432254347,0.7013325435189117,0.5583666588239627,0.13238648295156574,0.5699599910417518,0.19592803066993977,0.42844935244500215,0.4202831571235863,0.40398560612617235,0.4618144739606844,0.44435731584616134,0.26085720947418733,0.1646616212790065,0.5950411838367006,0.6659426509417885,0.4301914850837516,0.7727898726447873,0.24119464249734276,0.3830136138195574,0.3467827899807698,0.2671267600775343,0.1573610724766312,0.25699909060795106,0.5932846426787742,0.150717912366088,0.06320700338139111,0.07790208383709858,0.04250066524406501,0.7483065674723727,0.7561644925930395,0.33700201231829086,0.3178196271178654,0.8167300268593571,0.25329248517716507,0.3715628897896007,0.4245746142145197,0.20954155178409037,0.20670788239697863,0.4179795306360401,0.22873843578169045,0.7308106362903193,0.5465723639843688,0.3197366573310008,0.20132787228056434,0.09050501306086856,0.092995999508313,0.3056307306058809
