,model-name,r2_v
0,Musicset Supervised,0.5658546371774156
1,Audioset Supervised,0.34111539834974947
2,Musicset ULarge,0.5773189962509567
3,Audioset ULarge,0.43837120519910444
4,Musicset USmall,0.3885393624864716
5,Audioset USmall,0.3857526440727729
