,model-name,precision_class_<100>_micro,precision_class_<101>_micro,precision_class_<102>_micro,precision_class_<103>_micro,precision_class_<104>_micro,precision_class_<105>_micro,precision_class_<106>_micro,precision_class_<107>_micro,precision_class_<108>_micro,precision_class_<109>_micro,precision_class_<10>_micro,precision_class_<110>_micro,precision_class_<111>_micro,precision_class_<112>_micro,precision_class_<113>_micro,precision_class_<114>_micro,precision_class_<115>_micro,precision_class_<116>_micro,precision_class_<117>_micro,precision_class_<118>_micro,precision_class_<119>_micro,precision_class_<11>_micro,precision_class_<120>_micro,precision_class_<12>_micro,precision_class_<13>_micro,precision_class_<14>_micro,precision_class_<15>_micro,precision_class_<16>_micro,precision_class_<17>_micro,precision_class_<18>_micro,precision_class_<19>_micro,precision_class_<20>_micro,precision_class_<21>_micro,precision_class_<22>_micro,precision_class_<23>_micro,precision_class_<24>_micro,precision_class_<25>_micro,precision_class_<26>_micro,precision_class_<27>_micro,precision_class_<28>_micro,precision_class_<29>_micro,precision_class_<30>_micro,precision_class_<31>_micro,precision_class_<32>_micro,precision_class_<33>_micro,precision_class_<34>_micro,precision_class_<35>_micro,precision_class_<36>_micro,precision_class_<37>_micro,precision_class_<38>_micro,precision_class_<39>_micro,precision_class_<40>_micro,precision_class_<41>_micro,precision_class_<42>_micro,precision_class_<43>_micro,precision_class_<44>_micro,precision_class_<45>_micro,precision_class_<46>_micro,precision_class_<47>_micro,precision_class_<48>_micro,precision_class_<49>_micro,precision_class_<50>_micro,precision_class_<51>_micro,precision_class_<52>_micro,precision_class_<53>_micro,precision_class_<54>_micro,precision_class_<55>_micro,precision_class_<56>_micro,precision_class_<57>_micro,precision_class_<58>_micro,precision_class_<59>_micro,precision_class_<60>_micro,precision_class_<61>_micro,precision_class_<62>_micro,precision_class_<63>_micro,precision_class_<64>_micro,precision_class_<65>_micro,precision_class_<66>_micro,precision_class_<67>_micro,precision_class_<68>_micro,precision_class_<69>_micro,precision_class_<70>_micro,precision_class_<71>_micro,precision_class_<72>_micro,precision_class_<73>_micro,precision_class_<74>_micro,precision_class_<75>_micro,precision_class_<76>_micro,precision_class_<77>_micro,precision_class_<78>_micro,precision_class_<79>_micro,precision_class_<80>_micro,precision_class_<81>_micro,precision_class_<82>_micro,precision_class_<83>_micro,precision_class_<84>_micro,precision_class_<85>_micro,precision_class_<86>_micro,precision_class_<87>_micro,precision_class_<88>_micro,precision_class_<89>_micro,precision_class_<90>_micro,precision_class_<91>_micro,precision_class_<92>_micro,precision_class_<93>_micro,precision_class_<94>_micro,precision_class_<95>_micro,precision_class_<96>_micro,precision_class_<97>_micro,precision_class_<98>_micro,precision_class_<99>_micro,precision_class_<9>_micro,precision_micro_class_micro_update
0,Musicset Supervised,0.6875,0.6551724137931034,0.8461538461538461,0.6785714285714286,0.8695652173913043,0.875,0.65,0.8095238095238095,0.7,0.0,0.75,0.0,0.0,0.0,0.9999999999999998,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.75,0.9999999999999998,0.6,0.5135135135135135,0.3389830508474576,0.33766233766233766,0.6341463414634146,0.75,0.6888888888888889,0.7027027027027027,0.6,0.7555555555555555,0.4883720930232558,0.717391304347826,0.5833333333333334,0.7560975609756098,0.6585365853658537,0.8947368421052632,0.75,0.734375,0.5490196078431373,0.6865671641791045,0.686046511627907,0.7407407407407407,0.7857142857142857,0.7884615384615384,0.9038461538461539,0.9193548387096774,0.8421052631578947,0.9130434782608695,0.9090909090909091,0.9361702127659575,0.8771929824561403,0.8688524590163934,0.9180327868852459,0.8070175438596491,0.8333333333333334,0.8571428571428571,0.9130434782608695,0.921875,0.9206349206349206,0.8679245283018868,0.8688524590163934,0.8840579710144928,0.9411764705882353,0.8771929824561403,0.9298245614035088,0.9354838709677419,0.8636363636363636,0.8392857142857143,0.8448275862068966,0.9215686274509803,0.8823529411764706,0.7704918032786885,0.9122807017543859,0.94,0.8363636363636363,0.782608695652174,0.8974358974358975,0.9285714285714286,0.7894736842105263,0.8837209302325582,0.9302325581395349,0.8536585365853658,0.75,0.7659574468085106,0.8979591836734694,0.8333333333333334,0.8780487804878049,0.8780487804878049,0.8611111111111112,0.75,0.96875,0.7631578947368421,0.8529411764705882,0.6666666666666666,0.68,0.7,0.6666666666666666,0.8461538461538461,0.7368421052631579,0.8076923076923077,0.9999999999999998,0.79248046875
1,Audioset Supervised,0.7037037037037037,0.9545454545454546,0.8709677419354839,0.8333333333333334,0.90625,0.6470588235294118,0.7692307692307693,0.85,0.6451612903225806,0.0,0.6666666666666666,0.0,0.0,0.0,0.9999999999999998,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.2,0.0,0.9999999999999998,0.6,0.0,0.9999999999999998,1.0,0.9999999999999998,0.0,0.6,0.0,0.6296296296296297,0.6176470588235294,0.5806451612903226,0.5238095238095238,0.7241379310344828,0.46153846153846156,0.5365853658536586,0.5625,0.43548387096774194,0.5319148936170213,0.6,0.34210526315789475,0.7142857142857143,0.5909090909090909,0.5769230769230769,0.6944444444444444,0.6440677966101694,0.421875,0.6911764705882353,0.7833333333333333,0.6724137931034483,0.7894736842105263,0.9024390243902439,0.7666666666666667,0.8870967741935484,0.8333333333333334,0.9555555555555556,0.9272727272727272,0.9166666666666666,0.8928571428571429,0.9473684210526315,0.9655172413793104,0.8867924528301887,0.8888888888888888,0.9591836734693877,0.8301886792452831,0.9482758620689655,0.8823529411764706,0.9056603773584906,0.95,0.9393939393939394,0.9558823529411765,0.9818181818181818,0.9,0.9666666666666667,0.9565217391304348,0.8421052631578947,0.8448275862068966,0.9615384615384616,0.9375,0.8909090909090909,0.9393939393939394,0.9491525423728814,0.9074074074074074,0.8809523809523809,0.8163265306122449,0.875,0.7142857142857143,0.8666666666666667,0.8666666666666667,0.7906976744186046,0.9069767441860465,0.8666666666666667,0.9777777777777777,0.9230769230769231,0.8958333333333334,0.9743589743589743,0.8333333333333334,0.9230769230769231,0.8717948717948718,0.78125,0.8888888888888888,0.8529411764705882,0.7692307692307693,0.8064516129032258,0.6888888888888889,1.0,0.9444444444444444,0.8888888888888888,0.4,0.8046875
2,Musicset ULarge,0.8260869565217391,0.96,0.9583333333333334,0.7241379310344828,0.8529411764705882,0.84,0.7142857142857143,0.8260869565217391,0.9473684210526315,0.0,0.8,0.0,0.0,0.0,0.9999999999999998,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.6,0.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0,0.0,0.75,1.0,1.0,0.6571428571428571,0.7631578947368421,0.37142857142857144,0.825,0.7941176470588235,0.9459459459459459,0.7659574468085106,0.7755102040816326,0.8723404255319149,0.9523809523809523,0.9555555555555556,0.7540983606557377,0.9333333333333333,0.9024390243902439,0.8679245283018868,0.9107142857142857,0.8,0.775,0.9672131147540983,0.8918918918918919,0.9591836734693877,0.9019607843137255,0.92,0.9791666666666666,0.9666666666666667,0.8571428571428571,1.0,0.9491525423728814,0.98,0.8709677419354839,0.9322033898305084,0.9672131147540983,0.9622641509433962,0.9344262295081968,0.9310344827586207,0.8518518518518519,0.9253731343283582,0.953125,0.9090909090909091,0.9491525423728814,0.8648648648648649,0.9242424242424242,0.9642857142857143,0.9482758620689655,0.953125,0.8823529411764706,0.8867924528301887,0.9230769230769231,0.9444444444444444,0.9375,0.8571428571428571,0.8970588235294118,0.9818181818181818,0.9090909090909091,0.9743589743589743,0.8888888888888888,0.9322033898305084,0.8918918918918919,0.8478260869565217,0.9565217391304348,0.8974358974358975,0.9166666666666666,0.8636363636363636,0.9591836734693877,0.8863636363636364,0.926829268292683,0.9318181818181818,0.8857142857142857,0.9230769230769231,0.95,0.9642857142857143,1.0,0.8823529411764706,0.84,0.9666666666666667,0.8372093023255814,1.0,0.8,0.8928571428571429,0.6666666666666666,0.892333984375
3,Audioset ULarge,0.8636363636363636,0.8518518518518519,0.90625,0.9565217391304348,0.9375,1.0,0.9090909090909091,0.8695652173913043,0.782608695652174,0.0,0.75,0.0,0.0,0.0,0.9999999999999998,0.0,0.9999999999999998,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.9999999999999998,0.75,1.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.5,0.36,0.3,0.24,0.5625,0.4888888888888889,0.6,0.5263157894736842,0.5294117647058824,0.6440677966101694,0.4696969696969697,0.6666666666666666,0.5714285714285714,0.6060606060606061,0.5434782608695652,0.6326530612244898,0.5454545454545454,0.5666666666666667,0.3684210526315789,0.6610169491525424,0.7592592592592593,0.582089552238806,0.7647058823529411,0.92,0.7678571428571429,0.7741935483870968,0.7441860465116279,0.86,0.84375,0.7894736842105263,0.9607843137254902,0.8666666666666667,0.8805970149253731,0.8909090909090909,0.9807692307692307,0.9444444444444444,0.8301886792452831,0.9354838709677419,0.8769230769230769,0.8947368421052632,0.9824561403508771,0.8571428571428571,0.9508196721311475,0.9622641509433962,0.8769230769230769,1.0,0.7894736842105263,0.9423076923076923,0.9122807017543859,0.9107142857142857,0.9777777777777777,0.9245283018867925,0.9142857142857143,0.9661016949152542,0.9107142857142857,0.8717948717948718,0.8666666666666667,0.9491525423728814,0.8421052631578947,0.9285714285714286,0.8627450980392157,0.9428571428571428,0.9782608695652174,0.9347826086956522,0.9583333333333334,0.975,0.9130434782608695,0.9512195121951219,0.9090909090909091,0.8846153846153846,0.95,0.9142857142857143,0.9375,0.8333333333333334,0.88,0.9032258064516129,0.8571428571428571,0.9411764705882353,0.8076923076923077,0.8888888888888888,0.5,0.805419921875
4,Musicset USmall,0.8260869565217391,0.9565217391304348,0.8461538461538461,0.6,1.0,1.0,0.875,0.7916666666666666,0.7142857142857143,0.0,0.5,0.0,0.0,0.0,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,0.0,0.0,0.0,0.25,0.0,0.9999999999999998,0.75,0.0,0.0,0.25,0.9999999999999998,0.75,1.0,0.6666666666666666,0.32608695652173914,0.36,0.2153846153846154,0.5714285714285714,0.525,0.5945945945945946,0.5952380952380952,0.5555555555555556,0.43478260869565216,0.5227272727272727,0.6571428571428571,0.5833333333333334,0.5277777777777778,0.5116279069767442,0.7317073170731707,0.8157894736842105,0.4888888888888889,0.6585365853658537,0.8103448275862069,0.875,0.7843137254901961,0.8333333333333334,0.9574468085106383,0.7076923076923077,0.90625,0.8372093023255814,0.9318181818181818,0.9193548387096774,0.8620689655172413,0.9107142857142857,0.9482758620689655,0.9666666666666667,0.9433962264150944,0.9827586206896551,0.9629629629629629,0.8979591836734694,0.9841269841269841,0.9523809523809523,0.9272727272727272,0.9666666666666667,0.9206349206349206,0.9142857142857143,0.9824561403508771,0.9491525423728814,0.9666666666666667,0.9183673469387755,0.9107142857142857,0.9444444444444444,0.9454545454545454,0.8490566037735849,0.9230769230769231,0.9552238805970149,0.9464285714285714,0.9074074074074074,0.9743589743589743,0.9302325581395349,0.9473684210526315,0.8421052631578947,0.9148936170212766,0.8541666666666666,0.9722222222222222,1.0,0.9,0.9433962264150944,0.95,0.9090909090909091,0.9523809523809523,1.0,0.8823529411764706,0.9743589743589743,0.8928571428571429,0.8378378378378378,0.8205128205128205,0.75,0.8235294117647058,0.7291666666666666,0.9333333333333333,0.8076923076923077,0.9285714285714286,0.5,0.823486328125
5,Audioset USmall,0.8235294117647058,0.75,0.9583333333333334,0.6206896551724138,0.8928571428571429,0.75,0.875,0.7727272727272727,0.9473684210526315,0.0,0.8,0.0,0.0,0.0,0.9999999999999998,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6,1.0,0.9999999999999998,0.9999999999999998,0.0,0.5,0.0,0.9999999999999998,0.42105263157894735,0.4827586206896552,0.6,0.6052631578947368,0.34375,0.6216216216216216,0.574468085106383,0.5918367346938775,0.559322033898305,0.5636363636363636,0.5641025641025641,0.6666666666666666,0.7878787878787878,0.5319148936170213,0.6470588235294118,0.5490196078431373,0.717391304347826,0.5,0.66,0.7361111111111112,0.5689655172413793,0.7192982456140351,0.8333333333333334,0.6333333333333333,0.7910447761194029,0.8055555555555556,0.74,0.8909090909090909,0.7017543859649122,0.8148148148148148,1.0,0.9629629629629629,0.7540983606557377,0.9074074074074074,0.7692307692307693,0.88,0.890625,0.9824561403508771,0.8166666666666667,0.9333333333333333,0.8428571428571429,0.9672131147540983,0.8153846153846154,0.9152542372881356,0.9491525423728814,0.9574468085106383,0.9591836734693877,0.9090909090909091,0.92,0.875,0.7741935483870968,0.921875,0.9818181818181818,0.9090909090909091,0.9024390243902439,0.875,0.9137931034482759,0.8333333333333334,0.75,0.9111111111111111,0.8333333333333334,0.8181818181818182,0.8431372549019608,0.9166666666666666,0.9743589743589743,0.5119047619047619,0.8444444444444444,0.7894736842105263,0.8275862068965517,0.8709677419354839,0.717948717948718,0.6904761904761905,0.8235294117647058,0.8888888888888888,0.7058823529411765,0.775,0.9333333333333333,0.6666666666666666,0.7692307692307693,0.0,0.777099609375
