,model-name,roc-auc_genre---alternative,roc-auc_genre---ambient,roc-auc_genre---atmospheric,roc-auc_genre---chillout,roc-auc_genre---classical,roc-auc_genre---dance,roc-auc_genre---downtempo,roc-auc_genre---easylistening,roc-auc_genre---electronic,roc-auc_genre---experimental,roc-auc_genre---folk,roc-auc_genre---funk,roc-auc_genre---hiphop,roc-auc_genre---house,roc-auc_genre---indie,roc-auc_genre---instrumentalpop,roc-auc_genre---jazz,roc-auc_genre---lounge,roc-auc_genre---metal,roc-auc_genre---newage,roc-auc_genre---orchestral,roc-auc_genre---pop,roc-auc_genre---popfolk,roc-auc_genre---poprock,roc-auc_genre---reggae,roc-auc_genre---rock,roc-auc_genre---soundtrack,roc-auc_genre---techno,roc-auc_genre---trance,roc-auc_genre---triphop,roc-auc_genre---world,roc-auc_instrument---acousticguitar,roc-auc_instrument---bass,roc-auc_instrument---computer,roc-auc_instrument---drummachine,roc-auc_instrument---drums,roc-auc_instrument---electricguitar,roc-auc_instrument---electricpiano,roc-auc_instrument---guitar,roc-auc_instrument---keyboard,roc-auc_instrument---piano,roc-auc_instrument---strings,roc-auc_instrument---synthesizer,roc-auc_instrument---violin,roc-auc_instrument---voice,roc-auc_mood/theme---emotional,roc-auc_mood/theme---energetic,roc-auc_mood/theme---film,roc-auc_mood/theme---happy,roc-auc_mood/theme---relaxing
0,Musicset Supervised,0.7768501677205866,0.8686833435008805,0.7433117367055939,0.8462147025353306,0.9536741676489097,0.9082802694721299,0.8661840339892666,0.7790124690168776,0.8712508841474735,0.8701244203318446,0.9404301084035144,0.9081133353917936,0.9778187534241312,0.9654109120691644,0.8873177761249536,0.8481360416928984,0.9111357279200021,0.8631042979248505,0.959907192174966,0.8332384946002814,0.8360389953416895,0.8508103415459908,0.9341384032436373,0.8921848627308877,0.9471687455680694,0.9379220544894658,0.8059308352650387,0.9270015533425379,0.9544235548352242,0.9310336125449545,0.7915324846829774,0.839357749644272,0.8011163492586882,0.6384374145782545,0.7499219611839366,0.7932066999796084,0.8118279015426865,0.6809665982051265,0.8150950807333623,0.7347916866666346,0.8664628898591283,0.8336502050168837,0.7170397166380913,0.7843865416566906,0.8206455901084049,0.7061478708912976,0.7299165789359027,0.8341569450827927,0.8209949077410713,0.8048722683280587
1,Audioset Supervised,0.759477488044242,0.8592414946997053,0.7374571393475017,0.8222741226909437,0.9473292174957436,0.8987289519266264,0.8439258416002602,0.760299116275143,0.8528882573441976,0.8288088877037706,0.9295794302361289,0.8604528326700517,0.9645045945058768,0.949725758109408,0.8821420602454444,0.7963458244669085,0.8867797416184513,0.8468191202878506,0.94972485572866,0.8152054347008683,0.8297930912193987,0.8169510218186911,0.9150097617739518,0.8576417574815546,0.9076797103422213,0.9307164247465289,0.7846890641426133,0.9249162711205128,0.9412454529083378,0.9086209742578386,0.7230512482144851,0.8239864775156054,0.7787596581440323,0.6258131265763692,0.7682075458229651,0.769388380543759,0.7935870444389769,0.6725884805256447,0.777794150506274,0.7434217941940611,0.8423245364245042,0.8170534852870236,0.6986743176176463,0.7538452357684057,0.7996112109194667,0.7023115219308823,0.6830371090154801,0.8120858554762999,0.7353435099745333,0.7850197581794527
2,Musicset ULarge,0.7756300854468394,0.8687421947148981,0.7413443753598293,0.845894147303234,0.952791646303093,0.9091404719311696,0.8488976866157099,0.7739912147909574,0.8697452115659622,0.863182760630597,0.9360163814586238,0.8975740902749189,0.9755756461903082,0.9671327390852695,0.8883480537994298,0.8327724002604104,0.9086058657631239,0.8667106837783188,0.9571521159947932,0.8253493734097767,0.837123299310304,0.8421212421355869,0.9336249689703061,0.8904239742635043,0.9355608970125994,0.937821465969925,0.8058197465889861,0.9265415877524477,0.9544059067170899,0.9252623840427807,0.7726985821794875,0.836878604954264,0.8031739524730408,0.6378290790894642,0.744651206042153,0.793115824988335,0.8098009885351635,0.6693828181219665,0.8052204438276904,0.7549544406007919,0.8622604986024774,0.8230945489628557,0.7211128492838921,0.7522253117417553,0.8028602973485586,0.6903289604813551,0.7341627816883688,0.826276926776568,0.8040570513447065,0.802243312847167
3,Audioset ULarge,0.7719484485845742,0.857789583826498,0.7361926593442992,0.8310314997618166,0.9481231972248043,0.8987348084731805,0.8375182956578305,0.7712150944364654,0.8501116946559908,0.8150309469722221,0.9271637901281874,0.8538360979598372,0.9672083539662646,0.9528062520580557,0.8784300235527458,0.79499298844566,0.8795511512245383,0.8400192752351832,0.9346257574642762,0.8161790920629876,0.8366573943753025,0.8205263548462918,0.9144598000532257,0.8742433055896777,0.9141571864834497,0.9319958785735131,0.7965567546599855,0.9248006406087671,0.9481390239510175,0.9060679813483824,0.7505038086214251,0.8300862423706428,0.7874376970936132,0.6457677823837962,0.7615797448661263,0.7801862542898399,0.7969901276813531,0.67553648256418,0.7881956416920489,0.7626402541285633,0.8425453325375829,0.8247117703810902,0.700343860710381,0.7401368853922475,0.8065660301798219,0.7165572627774602,0.7072443826135357,0.8063906580253554,0.7699979377479134,0.7966921564612279
4,Musicset USmall,0.7628224088302622,0.8566768387847555,0.7422854750021879,0.8331605951939872,0.9492933041375587,0.9052659227077832,0.8437057854935762,0.7663260267189873,0.8582795961857357,0.8396237477202141,0.9327775920777658,0.8702308763322812,0.9720012381917392,0.9568713020256744,0.8814035577042271,0.7965633567296132,0.8908056012390689,0.8465962836601115,0.947636747792896,0.8200323151946264,0.849961913416747,0.8231526333422238,0.9194703967402608,0.8764623501456824,0.913881670246075,0.9339709053003283,0.7911059138293866,0.9228787749773213,0.9464041058887088,0.9117308183188308,0.7622073401481083,0.8256681623056689,0.7896474795994451,0.6304478239046322,0.7656979564055302,0.7847146213680078,0.7890426114119339,0.654871596335011,0.7833478767066904,0.7612856177792728,0.8523791934125305,0.8246795103714424,0.7081034465050272,0.7310715924275981,0.799476330587522,0.7013658142303241,0.7157567154142361,0.8190121123144551,0.7529513297766646,0.794794703302131
5,Audioset USmall,0.7594202590603114,0.8536105762602316,0.7442555835112121,0.8162697493780765,0.9436743553132158,0.8902273759831899,0.829086030248821,0.7664947732863898,0.8361292227381447,0.8079663882208354,0.920004239395397,0.8421689881524176,0.9508564231484292,0.9426948159025407,0.8742032354034958,0.7873102515285503,0.8699978616813294,0.8268551415491805,0.9384713278595156,0.8162296321261869,0.8252719071736504,0.8092245765566826,0.9037928535912817,0.8694278987149957,0.8967297685541696,0.9289948051179614,0.7931350243329292,0.9164522356510499,0.9388874482261841,0.8858529606815925,0.7376564502293379,0.8224625933801865,0.7791858959587613,0.6047103752971436,0.7525079495412013,0.7717999598477686,0.7827286385638418,0.6588843612407068,0.763497465689791,0.7524189301564392,0.8361189969122027,0.8069003256150507,0.6994600724554786,0.730921800795007,0.7994134791338736,0.7117128783849409,0.6879297667526918,0.8135290428839114,0.764259345385335,0.7826137395295125
