,model-name,map_genre---alternative,map_genre---ambient,map_genre---atmospheric,map_genre---chillout,map_genre---classical,map_genre---dance,map_genre---downtempo,map_genre---easylistening,map_genre---electronic,map_genre---experimental,map_genre---folk,map_genre---funk,map_genre---hiphop,map_genre---house,map_genre---indie,map_genre---instrumentalpop,map_genre---jazz,map_genre---lounge,map_genre---metal,map_genre---newage,map_genre---orchestral,map_genre---pop,map_genre---popfolk,map_genre---poprock,map_genre---reggae,map_genre---rock,map_genre---soundtrack,map_genre---techno,map_genre---trance,map_genre---triphop,map_genre---world,map_instrument---acousticguitar,map_instrument---bass,map_instrument---computer,map_instrument---drummachine,map_instrument---drums,map_instrument---electricguitar,map_instrument---electricpiano,map_instrument---guitar,map_instrument---keyboard,map_instrument---piano,map_instrument---strings,map_instrument---synthesizer,map_instrument---violin,map_instrument---voice,map_mood/theme---emotional,map_mood/theme---energetic,map_mood/theme---film,map_mood/theme---happy,map_mood/theme---relaxing
0,Musicset Supervised,0.15410587702109269,0.5444999235870034,0.06913913952927793,0.2896423690615688,0.7312662729784491,0.3820922407134564,0.08058252825234584,0.2297332167975931,0.6642582170183471,0.4737285606776464,0.5411768965083734,0.2586259512184625,0.8138088936135303,0.5292646414240455,0.2945114809211113,0.15750253924888866,0.5425939389294888,0.14498459367092986,0.7320707624585637,0.11750587731440942,0.336965351270609,0.46056012971846133,0.37019550146362606,0.2715902352716783,0.5276054211058697,0.6954126998283477,0.4965629305241431,0.34665137204891566,0.3905596360124866,0.26865789505396637,0.18400252159996194,0.2464505691399797,0.355218498285524,0.08147675023298334,0.0488383217287355,0.36279188300770704,0.2515648005715044,0.04815138126116789,0.21320267627692938,0.34119444897489004,0.6566838909638149,0.10731342624596868,0.27842175817427806,0.12813145842104096,0.12121211136135171,0.0903028181271023,0.06093581042608177,0.21589230902347228,0.21232742123579318,0.10965568686193142
1,Audioset Supervised,0.1552303039637812,0.5332917638176428,0.06801516245323402,0.2443211015606288,0.6942802605225261,0.3351537217320451,0.06961458539960562,0.21667290669750489,0.6274762859553565,0.4152429630006011,0.4934456030639857,0.1685574159597203,0.7522737161569379,0.4485381479193067,0.30236944892204404,0.09680771754415411,0.4655873849801852,0.14058771261467973,0.6878016165299247,0.10196614038384302,0.32294078412104205,0.3915313632855484,0.3116179214082728,0.19236713010802745,0.3775669507108764,0.6626341292253303,0.4402498180263575,0.3287879517343667,0.3885517593504708,0.20942599358659084,0.1129337018686216,0.20655013150242071,0.2983163372540149,0.08305715103361762,0.05697434561977449,0.31621073861712,0.2246720836851741,0.04184657058691292,0.1850699956055392,0.2794310251059682,0.6206175752512687,0.08710810203951626,0.233256567942776,0.11947321523925457,0.10566579996143514,0.08007103734489318,0.04391973242409845,0.1939372601741321,0.17235100901333772,0.10707309309798284
2,Musicset ULarge,0.15168536773002833,0.5557594589277215,0.07648449908614523,0.301228499787172,0.728321773706527,0.4036898935270315,0.08041845796870001,0.2213170197074546,0.6602526327762888,0.4454714603303472,0.52501921231136,0.24383596131399776,0.7943849708400427,0.5352983985033263,0.3020467301400018,0.17282624546939138,0.5451334410633252,0.1456740515128109,0.7118535636277777,0.1052736341107076,0.3396970915739335,0.450479780267737,0.37859039509563885,0.2479794297956911,0.5026220337973046,0.686284245279554,0.4922472614388305,0.3308570961915697,0.4074773941354366,0.243670450922314,0.16734768785153714,0.23563987658719804,0.35789783804116027,0.08296055960949421,0.04546399537425936,0.3660249646961407,0.2560106624546762,0.04441181002737791,0.206975128399766,0.3460852990099178,0.653747213947029,0.10200565035769354,0.29162132968264,0.11569449962237534,0.1201469632134986,0.08564879174658815,0.056988564690276675,0.21107299662556522,0.19903303230071576,0.11633313390118179
3,Audioset ULarge,0.18159478180529656,0.5358924403569503,0.0711297462148878,0.2578078742104638,0.7081678355389844,0.33598750329143906,0.06553895454394758,0.23106268307640423,0.6288971436697945,0.37732284347606826,0.5086882402187616,0.15133264831066998,0.7472867513864314,0.4846741154383758,0.291522243444347,0.10495532219939903,0.46340058097741804,0.12860062283252946,0.566984625471134,0.09921605784047915,0.3373266297825586,0.4064170340507252,0.3193401525206983,0.2289583827873754,0.3379697271595442,0.6666000148591703,0.454517967582598,0.31068709701248365,0.3980170685613008,0.15994533925580556,0.11750792693130072,0.24366348824153952,0.3118182545578167,0.08694296027869204,0.05186144762034438,0.3162471663170687,0.23110190427713215,0.03599065471220673,0.19227441489708924,0.32173617856368564,0.6216770196440187,0.09712991372976984,0.2310552621934552,0.11348447957464247,0.11536142505658131,0.09536002403707597,0.04641074511000402,0.19248180234348722,0.16935087494223483,0.10248758729776825
4,Musicset USmall,0.16005392756045686,0.5304473124751202,0.08491205167504867,0.26253116410494337,0.727233691275731,0.39666891618082756,0.07751413540537934,0.21001186764145463,0.6448191951858536,0.4326658436760256,0.4929213029867998,0.18040411025234232,0.7693681171878679,0.4945095116690621,0.30009357887809046,0.09650647065592027,0.4862068688879389,0.126981305001176,0.6636823083872895,0.09752223995296345,0.3340916590812984,0.41248390994234785,0.3244334299821946,0.24226496687468327,0.3447301580604972,0.683361084528251,0.4434296223662618,0.302912573628032,0.359554104953975,0.16721741987176236,0.10867446114895708,0.23568320089354344,0.3356792363779856,0.08494675185793553,0.050821171976905874,0.3438000417155671,0.23186877570696415,0.03360015333931003,0.19291793219402348,0.30883853844620157,0.6389630090899726,0.09815509696660035,0.26713944137909834,0.09980566190525715,0.11197659296935589,0.08117317538578811,0.04919301328662539,0.19749667853531994,0.16194904495555498,0.10367034613368745
5,Audioset USmall,0.17754083519553368,0.5285012341983869,0.07801411867758305,0.2243462284628594,0.6942207561310318,0.31059918712452483,0.06349759512070469,0.22318091548069607,0.5995195628066637,0.376063806280374,0.45186538138148197,0.12543374373179117,0.6593041032883895,0.42085090024687,0.29434518536989923,0.09761984864654318,0.4151992216327058,0.1328183917683227,0.5746787251154151,0.09438065623966387,0.3245034911425692,0.3839516793933688,0.2886189765428877,0.20524090266774575,0.24932762191861244,0.6760222635828668,0.4380739665541658,0.2850958137999302,0.3337161438567297,0.16715401310274033,0.10177686330132724,0.22114562543077307,0.29613015838423623,0.078623651585851,0.04509943228415901,0.3103094213478448,0.22533512200714592,0.03224731627945574,0.17112548928471036,0.2606816876353887,0.6081616028050211,0.09586040424926577,0.22338434374320942,0.11278818908959572,0.11108497335159094,0.09279859200647642,0.041314515322323116,0.2031442873767365,0.16496787963644807,0.09456069545409172
